name,latex
17-animal_inheritance_puzzle_0,{\displaystyle n}
17-animal_inheritance_puzzle_1,{\displaystyle n}
17-animal_inheritance_puzzle_2,"{\displaystyle d_{1},d_{2},\dots }"
17-animal_inheritance_puzzle_3,{\displaystyle n+1}
17-animal_inheritance_puzzle_4,{\displaystyle n}
17-animal_inheritance_puzzle_5,"{\displaystyle {\frac {d_{1}}{n+1}},{\frac {d_{2}}{n+1}},\dots .}"
17-animal_inheritance_puzzle_6,{\displaystyle d_{i}}
17-animal_inheritance_puzzle_7,{\displaystyle n+1}
17-animal_inheritance_puzzle_8,{\displaystyle 1/(n+1)}
17-animal_inheritance_puzzle_9,{\displaystyle n}
17-animal_inheritance_puzzle_10,{\displaystyle n+1}
17-animal_inheritance_puzzle_11,{\displaystyle n+1}
