name,latex
Algebra_0,{\displaystyle \mathbb {Z} }
Algebra_1,{\displaystyle +}
Algebra_2,{\displaystyle \times }
Algebra_3,{\displaystyle x}
Algebra_4,{\displaystyle y}
Algebra_5,{\displaystyle c}
Algebra_6,{\displaystyle 2+5=7}
Algebra_7,{\displaystyle 2\times 3=3\times 2}
Algebra_8,{\displaystyle a\times b=b\times a}
Algebra_9,{\displaystyle x}
Algebra_10,{\displaystyle y}
Algebra_11,{\displaystyle z}
Algebra_12,{\displaystyle x_{1}}
Algebra_13,{\displaystyle x_{2}}
Algebra_14,{\displaystyle x_{3}}
Algebra_15,{\displaystyle a}
Algebra_16,{\displaystyle b}
Algebra_17,{\displaystyle c}
Algebra_18,{\displaystyle 5x+3}
Algebra_19,{\displaystyle x}
Algebra_20,{\displaystyle 32xyz}
Algebra_21,{\displaystyle 64x_{1}^{2}+7x_{2}-13}
Algebra_22,{\displaystyle =}
Algebra_23,{\displaystyle 5x^{2}+6x=3y+4}
Algebra_24,{\displaystyle <}
Algebra_25,{\displaystyle >}
Algebra_26,{\displaystyle \neq }
Algebra_27,{\displaystyle x^{2}=4}
Algebra_28,{\displaystyle x}
Algebra_29,{\displaystyle 2x+5x=7x}
Algebra_30,{\displaystyle x+4=9}
Algebra_31,{\displaystyle x}
Algebra_32,{\displaystyle x-7=4}
Algebra_33,{\displaystyle x}
Algebra_34,{\displaystyle x}
Algebra_35,{\displaystyle x=11}
Algebra_36,{\displaystyle 7x-3x}
Algebra_37,{\displaystyle 4x}
Algebra_38,{\displaystyle x^{2}-3x-10}
Algebra_39,{\displaystyle (x+2)(x-5)}
Algebra_40,{\displaystyle x}
Algebra_41,{\displaystyle y=3x}
Algebra_42,{\displaystyle 7xy}
Algebra_43,{\displaystyle 21x^{2}}
Algebra_44,{\displaystyle x}
Algebra_45,{\displaystyle y}
Algebra_46,{\displaystyle x}
Algebra_47,{\displaystyle y=0.5x-1}
Algebra_48,{\displaystyle y}
Algebra_49,{\displaystyle x}
Algebra_50,{\displaystyle y}
Algebra_51,"{\displaystyle (0,-1)}"
Algebra_52,{\displaystyle x}
Algebra_53,{\displaystyle y}
Algebra_54,"{\displaystyle (0,7)}"
Algebra_55,{\displaystyle x}
Algebra_56,{\displaystyle y}
Algebra_57,{\displaystyle 0.25x-4=y}
