name,latex
Algebraic_number_0,{\displaystyle (1+{\sqrt {5}})/2}
Algebraic_number_1,{\displaystyle 1+i}
Algebraic_number_2,{\displaystyle 3+i{\sqrt {2}}}
Algebraic_number_3,{\displaystyle {\sqrt {2}}}
Algebraic_number_4,{\displaystyle {\frac {\sqrt[{3}]{3}}{2}}}
Algebraic_number_5,{\displaystyle {\overline {\mathbb {Q} }}}
Algebraic_number_6,{\displaystyle \mathbb {A} }
Algebraic_number_7,{\displaystyle x^{5}-x-1=0}
Algebraic_number_8,"{\displaystyle 5+13{\sqrt {2}},}"
Algebraic_number_9,"{\displaystyle 2-6i,}"
Algebraic_number_11,{\displaystyle k\in \mathbb {Z} }
Algebraic_number_12,{\displaystyle \mathbb {N} }
Algebraic_number_13,{\displaystyle \mathbb {Z} }
Algebraic_number_14,{\displaystyle \mathbb {Q} }
Algebraic_number_15,{\displaystyle \mathbb {A} }
Algebraic_number_16,{\displaystyle \mathbb {R} }
Algebraic_number_17,{\displaystyle \mathbb {C} }
Algebraic_number_18,{\displaystyle \mathbb {H} }
Algebraic_number_19,{\displaystyle \mathbb {O} }
Algebraic_number_20,{\displaystyle \mathbb {R} }
Algebraic_number_21,{\displaystyle \mathbb {C} }
Algebraic_number_22,{\displaystyle \mathbb {S} }
