name,latex
Analytic_geometry_0,"{\displaystyle x=r\,\cos \theta ,\,y=r\,\sin \theta ;\,r={\sqrt {x^{2}+y^{2}}},\,\theta =\arctan(y/x).}"
Analytic_geometry_1,{\displaystyle y=mx+b}
Analytic_geometry_2,{\displaystyle \mathbf {r} _{0}}
Analytic_geometry_3,"{\displaystyle P_{0}=(x_{0},y_{0},z_{0})}"
Analytic_geometry_4,"{\displaystyle \mathbf {n} =(a,b,c)}"
Analytic_geometry_5,{\displaystyle P}
Analytic_geometry_6,{\displaystyle \mathbf {r} }
Analytic_geometry_7,{\displaystyle P_{0}}
Analytic_geometry_8,{\displaystyle P}
Analytic_geometry_9,{\displaystyle \mathbf {n} }
Analytic_geometry_10,{\displaystyle \mathbf {r} }
Analytic_geometry_11,{\displaystyle \mathbf {n} \cdot (\mathbf {r} -\mathbf {r} _{0})=0.}
Analytic_geometry_12,"{\displaystyle a(x-x_{0})+b(y-y_{0})+c(z-z_{0})=0,}"
Analytic_geometry_13,"{\displaystyle ax+by+cz+d=0,{\text{ where }}d=-(ax_{0}+by_{0}+cz_{0}).}"
Analytic_geometry_14,"{\displaystyle ax+by+cz+d=0,}"
Analytic_geometry_15,"{\displaystyle \mathbf {n} =(a,b,c)}"
Analytic_geometry_16,{\displaystyle x=x_{0}+at}
Analytic_geometry_17,{\displaystyle y=y_{0}+bt}
Analytic_geometry_18,{\displaystyle z=z_{0}+ct}
Analytic_geometry_19,"{\displaystyle Ax^{2}+Bxy+Cy^{2}+Dx+Ey+F=0{\text{ with }}A,B,C{\text{ not all zero.}}}"
Analytic_geometry_20,{\displaystyle \mathbf {P} ^{5}.}
Analytic_geometry_21,{\displaystyle B^{2}-4AC.}
Analytic_geometry_22,{\displaystyle B^{2}-4AC<0}
Analytic_geometry_23,{\displaystyle A=C}
Analytic_geometry_24,{\displaystyle B=0}
Analytic_geometry_25,{\displaystyle B^{2}-4AC=0}
Analytic_geometry_26,{\displaystyle B^{2}-4AC>0}
Analytic_geometry_27,{\displaystyle A+C=0}
Analytic_geometry_28,"{\displaystyle \sum _{i,j=1}^{3}x_{i}Q_{ij}x_{j}+\sum _{i=1}^{3}P_{i}x_{i}+R=0.}"
Analytic_geometry_29,"{\displaystyle d={\sqrt {(x_{2}-x_{1})^{2}+(y_{2}-y_{1})^{2}}},}"
Analytic_geometry_30,"{\displaystyle \theta =\arctan(m),}"
Analytic_geometry_31,"{\displaystyle d={\sqrt {(x_{2}-x_{1})^{2}+(y_{2}-y_{1})^{2}+(z_{2}-z_{1})^{2}}},}"
Analytic_geometry_32,"{\displaystyle \mathbf {A} \cdot \mathbf {B} {\stackrel {\mathrm {def} }{=}}\left\|\mathbf {A} \right\|\left\|\mathbf {B} \right\|\cos \theta ,}"
Analytic_geometry_33,"{\displaystyle R(x,y)}"
Analytic_geometry_34,{\displaystyle x}
Analytic_geometry_35,{\displaystyle x-h}
Analytic_geometry_36,{\displaystyle h}
Analytic_geometry_37,{\displaystyle y}
Analytic_geometry_38,{\displaystyle y-k}
Analytic_geometry_39,{\displaystyle k}
Analytic_geometry_40,{\displaystyle x}
Analytic_geometry_41,{\displaystyle x/b}
Analytic_geometry_42,{\displaystyle b}
Analytic_geometry_43,{\displaystyle x}
Analytic_geometry_44,{\displaystyle y}
Analytic_geometry_45,{\displaystyle y/a}
Analytic_geometry_46,{\displaystyle x}
Analytic_geometry_47,{\displaystyle x\cos A+y\sin A}
Analytic_geometry_48,{\displaystyle y}
Analytic_geometry_49,{\displaystyle -x\sin A+y\cos A}
Analytic_geometry_50,{\displaystyle A}
Analytic_geometry_51,{\displaystyle y=1/x}
Analytic_geometry_52,{\displaystyle y=f(x)}
Analytic_geometry_53,{\displaystyle y=af(b(x-k))+h}
Analytic_geometry_54,{\displaystyle a}
Analytic_geometry_55,{\displaystyle a}
Analytic_geometry_56,{\displaystyle x}
Analytic_geometry_57,{\displaystyle b}
Analytic_geometry_58,{\displaystyle a}
Analytic_geometry_59,{\displaystyle y}
