name,latex
Associative_property_0,{\displaystyle (x\circ y)\circ z=x\circ (y\circ z)}
Associative_property_1,"{\displaystyle (x\,*\,y)\,*\,z=x\,*\,(y\,*\,z)\forall x,y,z\in S}"
Associative_property_2,{\displaystyle (P\lor (Q\lor R))\Leftrightarrow ((P\lor Q)\lor R)}
Associative_property_3,"{\displaystyle (P\land (Q\land R))\Leftrightarrow ((P\land Q)\land R),}"
Associative_property_4,"{\displaystyle {\begin{aligned}(2+3)+4&=2+(3+4)=9\,\\2\times (3\times 4)&=(2\times 3)\times 4=24.\end{aligned}}}"
Associative_property_5,"{\displaystyle \left.{\begin{matrix}(x+y)+z=x+(y+z)=x+y+z\quad \\(x\,y)z=x(y\,z)=x\,y\,z\qquad \qquad \qquad \quad \ \ \,\end{matrix}}\right\}{\mbox{for all }}x,y,z\in \mathbb {R} .}"
Associative_property_6,"{\displaystyle \left.{\begin{matrix}\operatorname {gcd} (\operatorname {gcd} (x,y),z)=\operatorname {gcd} (x,\operatorname {gcd} (y,z))=\operatorname {gcd} (x,y,z)\ \quad \\\operatorname {lcm} (\operatorname {lcm} (x,y),z)=\operatorname {lcm} (x,\operatorname {lcm} (y,z))=\operatorname {lcm} (x,y,z)\quad \end{matrix}}\right\}{\mbox{ for all }}x,y,z\in \mathbb {Z} .}"
Associative_property_7,"{\displaystyle \left.{\begin{matrix}(A\cap B)\cap C=A\cap (B\cap C)=A\cap B\cap C\quad \\(A\cup B)\cup C=A\cup (B\cup C)=A\cup B\cup C\quad \end{matrix}}\right\}{\mbox{for all sets }}A,B,C.}"
Associative_property_8,"{\displaystyle (f\circ g)\circ h=f\circ (g\circ h)=f\circ g\circ h\qquad {\mbox{for all }}f,g,h\in S.}"
Associative_property_9,{\displaystyle (f\circ g)\circ h=f\circ (g\circ h)=f\circ g\circ h}
Associative_property_10,"{\displaystyle \max(a,\max(b,c))=\max(\max(a,b),c)\quad {\text{ and }}\quad \min(a,\min(b,c))=\min(\min(a,b),c).}"
Associative_property_11,{\displaystyle (P\lor (Q\lor R))\Leftrightarrow ((P\lor Q)\lor R)}
Associative_property_12,"{\displaystyle (P\land (Q\land R))\Leftrightarrow ((P\land Q)\land R),}"
Associative_property_13,{\displaystyle \Leftrightarrow }
Associative_property_14,{\displaystyle ((P\lor Q)\lor R)\leftrightarrow (P\lor (Q\lor R))}
Associative_property_15,{\displaystyle ((P\land Q)\land R)\leftrightarrow (P\land (Q\land R))}
Associative_property_16,{\displaystyle ((P\leftrightarrow Q)\leftrightarrow R)\leftrightarrow (P\leftrightarrow (Q\leftrightarrow R))}
Associative_property_17,{\displaystyle *}
Associative_property_18,"{\displaystyle (x*y)*z\neq x*(y*z)\qquad {\mbox{for some }}x,y,z\in S.}"
Associative_property_19,"{\displaystyle (5-3)-2\,\neq \,5-(3-2)}"
