name,latex
Binary_numeral_system_0,{\displaystyle \lor }
Binary_numeral_system_1,{\displaystyle 1\lor 1=1}
Binary_numeral_system_2,{\displaystyle 1+1=10}
Binary_numeral_system_3,{\displaystyle \land }
Binary_numeral_system_13,{\displaystyle {\begin{aligned}x&=&1100&.1{\overline {01110}}\ldots \\x\times 2^{6}&=&1100101110&.{\overline {01110}}\ldots \\x\times 2&=&11001&.{\overline {01110}}\ldots \\x\times (2^{6}-2)&=&1100010101\\x&=&1100010101/111110\\x&=&(789/62)_{10}\end{aligned}}}
Binary_numeral_system_14,{\displaystyle x}
Binary_numeral_system_15,{\displaystyle x}
Binary_numeral_system_16,{\displaystyle x}
Binary_numeral_system_17,{\displaystyle x}
Binary_numeral_system_18,{\displaystyle {\frac {p}{2^{a}}}}
Binary_numeral_system_19,"{\displaystyle {\frac {1_{10}}{3_{10}}}={\frac {1_{2}}{11_{2}}}=0.01010101{\overline {01}}\ldots \,_{2}}"
Binary_numeral_system_20,"{\displaystyle {\frac {12_{10}}{17_{10}}}={\frac {1100_{2}}{10001_{2}}}=0.1011010010110100{\overline {10110100}}\ldots \,_{2}}"
Binary_numeral_system_21,{\displaystyle {\sqrt {2}}}
