name,latex
Calculus_of_variations_0,"{\displaystyle \int _{a}^{b}f'(t)\,dt=f(b)-f(a)}"
Calculus_of_variations_1,{\displaystyle y}
Calculus_of_variations_2,{\displaystyle J[y]}
Calculus_of_variations_3,{\displaystyle f}
Calculus_of_variations_4,{\displaystyle \Delta J=J[y]-J[f]}
Calculus_of_variations_5,{\displaystyle y}
Calculus_of_variations_6,{\displaystyle f.}
Calculus_of_variations_7,{\displaystyle f}
Calculus_of_variations_8,{\displaystyle J[f]}
Calculus_of_variations_9,{\displaystyle \Delta J\leq 0}
Calculus_of_variations_10,"{\displaystyle f,}"
Calculus_of_variations_11,{\displaystyle \Delta J\geq 0}
Calculus_of_variations_12,"{\displaystyle J[y]=\int _{x_{1}}^{x_{2}}L\left(x,y(x),y'(x)\right)\,dx\,.}"
Calculus_of_variations_13,"{\displaystyle x_{1},x_{2}}"
Calculus_of_variations_14,{\displaystyle y(x)}
Calculus_of_variations_15,"{\displaystyle y'(x)={\frac {dy}{dx}},}"
Calculus_of_variations_16,"{\displaystyle L\left(x,y(x),y'(x)\right)}"
Calculus_of_variations_17,"{\displaystyle x,y,}"
Calculus_of_variations_18,{\displaystyle y'.}
Calculus_of_variations_19,{\displaystyle J[y]}
Calculus_of_variations_20,"{\displaystyle f,}"
Calculus_of_variations_21,{\displaystyle \eta (x)}
Calculus_of_variations_22,{\displaystyle x_{1}}
Calculus_of_variations_23,"{\displaystyle x_{2},}"
Calculus_of_variations_24,{\displaystyle \varepsilon }
Calculus_of_variations_25,"{\displaystyle J[f]\leq J[f+\varepsilon \eta ]\,.}"
Calculus_of_variations_26,{\displaystyle \varepsilon \eta }
Calculus_of_variations_27,{\displaystyle f}
Calculus_of_variations_28,{\displaystyle \delta f.}
Calculus_of_variations_29,{\displaystyle f+\varepsilon \eta }
Calculus_of_variations_30,{\displaystyle y}
Calculus_of_variations_31,"{\displaystyle J[y],}"
Calculus_of_variations_32,"{\displaystyle \varepsilon ,}"
Calculus_of_variations_33,"{\displaystyle \Phi (\varepsilon )=J[f+\varepsilon \eta ]\,.}"
Calculus_of_variations_34,{\displaystyle J[y]}
Calculus_of_variations_35,{\displaystyle y=f}
Calculus_of_variations_36,{\displaystyle \Phi (\varepsilon )}
Calculus_of_variations_37,{\displaystyle \varepsilon =0}
Calculus_of_variations_38,"{\displaystyle \Phi '(0)\equiv \left.{\frac {d\Phi }{d\varepsilon }}\right|_{\varepsilon =0}=\int _{x_{1}}^{x_{2}}\left.{\frac {dL}{d\varepsilon }}\right|_{\varepsilon =0}dx=0\,.}"
Calculus_of_variations_39,"{\displaystyle L\left[x,y,y'\right],}"
Calculus_of_variations_40,{\displaystyle y=f+\varepsilon \eta }
Calculus_of_variations_41,{\displaystyle y'=f'+\varepsilon \eta '}
Calculus_of_variations_42,{\displaystyle \varepsilon }
Calculus_of_variations_43,"{\displaystyle x,}"
Calculus_of_variations_44,{\displaystyle {\frac {dL}{d\varepsilon }}={\frac {\partial L}{\partial y}}{\frac {dy}{d\varepsilon }}+{\frac {\partial L}{\partial y'}}{\frac {dy'}{d\varepsilon }}}
Calculus_of_variations_45,{\displaystyle {\frac {dy}{d\varepsilon }}=\eta }
