name,latex
Complex_number_0,{\displaystyle i^{2}=-1}
Complex_number_1,{\displaystyle a+bi}
Complex_number_2,{\displaystyle a+bi}
Complex_number_3,{\displaystyle \mathbb {C} }
Complex_number_4,{\displaystyle (x+1)^{2}=-9}
Complex_number_5,{\displaystyle -1+3i}
Complex_number_6,{\displaystyle -1-3i}
Complex_number_7,{\displaystyle i^{2}=-1}
Complex_number_8,"{\displaystyle \{1,i\}}"
Complex_number_9,{\displaystyle i}
Complex_number_10,{\displaystyle a+bi\neq 0+0i}
Complex_number_11,{\displaystyle {\frac {1}{a+bi}}\ =\ \left({\frac {a}{a^{2}+b^{2}}}\right)+\left({\frac {-b\ \ }{a^{2}+b^{2}}}\right)i.}
Complex_number_12,{\displaystyle {\mathcal {Re}}(z)}
Complex_number_13,{\displaystyle {\mathfrak {R}}(z)}
Complex_number_14,{\displaystyle {\mathcal {Im}}(z)}
Complex_number_15,{\displaystyle {\mathfrak {I}}(z)}
Complex_number_17,{\displaystyle \operatorname {Im} (2+3i)=3}
Complex_number_18,{\displaystyle \mathbb {C} }
Complex_number_19,"{\displaystyle (\Re (z),\Im (z))}"
Complex_number_20,"{\displaystyle (x+yi)\,i=-y+xi.}"
Complex_number_21,{\displaystyle z=r(\cos \varphi +i\sin \varphi )}
Complex_number_22,{\displaystyle \varphi }
Complex_number_24,{\displaystyle z=re^{i\varphi }=r\exp(i\varphi ).}
Complex_number_25,{\displaystyle z=r\angle \varphi .}
Complex_number_26,{\displaystyle r=|z|={\sqrt {x^{2}+y^{2}}}.}
Complex_number_27,{\displaystyle z=x=x+0i}
Complex_number_28,{\displaystyle r=|z|=|x|}
Complex_number_29,{\displaystyle 2\pi }
Complex_number_30,"{\displaystyle (-\pi ,\pi ]}"
Complex_number_31,{\displaystyle z=0}
Complex_number_32,{\displaystyle \operatorname {arg} (0)=0}
Complex_number_33,"{\displaystyle \varphi =\arg(x+yi)=\left\{{\begin{array}{cl}2\arctan {\tfrac {y}{x+{\sqrt {x^{2}+y^{2}}}}}&{\text{if }}x>0{\text{ or }}y\neq 0,\\\pi &{\text{if }}x<0{\text{ and }}y=0,\\{\text{undefined}}&{\text{if }}x=0{\text{ and }}y=0.\end{array}}\right.}"
Complex_number_35,{\displaystyle \pm {\sqrt {-2-2i}}.}
Complex_number_36,{\displaystyle {\sqrt {81-144}}}
Complex_number_37,{\displaystyle {\sqrt {-63}}=3i{\sqrt {7}}}
Complex_number_38,{\displaystyle {\sqrt {144-81}}=3{\sqrt {7}}.}
Complex_number_39,{\displaystyle {\sqrt {-1}}^{2}={\sqrt {-1}}{\sqrt {-1}}=-1}
Complex_number_40,{\displaystyle {\sqrt {a}}{\sqrt {b}}={\sqrt {ab}}}
Complex_number_42,{\displaystyle {\sqrt {-1}}}
Complex_number_43,{\displaystyle (\cos \theta +i\sin \theta )^{n}=\cos n\theta +i\sin n\theta .}
Complex_number_44,{\displaystyle \cos \theta +i\sin \theta =e^{i\theta }}
Complex_number_45,{\displaystyle {\sqrt {-1}}}
Complex_number_46,{\displaystyle r={\sqrt {a^{2}+b^{2}}}}
Complex_number_47,{\displaystyle {\sqrt {-1}}}
Complex_number_48,"{\displaystyle {\overline {\overline {z}}}=z,}"
Complex_number_49,{\displaystyle \operatorname {Re} ({\overline {z}})=\operatorname {Re} (z)\quad }
Complex_number_50,{\displaystyle \quad |{\overline {z}}|=|z|.}
Complex_number_51,{\displaystyle \operatorname {Im} ({\overline {z}})=-\operatorname {Im} (z)\quad {\text{ and }}\quad \operatorname {arg} {\overline {z}}\equiv -\operatorname {arg} z{\pmod {2\pi }}.}
Complex_number_52,{\displaystyle z\cdot {\overline {z}}=x^{2}+y^{2}=|z|^{2}=|{\overline {z}}|^{2}.}
Complex_number_53,"{\displaystyle \operatorname {Re} (z)={\dfrac {z+{\overline {z}}}{2}},\quad {\text{ and }}\quad \operatorname {Im} (z)={\dfrac {z-{\overline {z}}}{2i}}.}"
