name,latex
Conservation_law_0,"{\displaystyle {\frac {\partial \rho }{\partial t}}=-\nabla \cdot \mathbf {j} \,}"
Conservation_law_1,"{\displaystyle {\begin{aligned}\mathbf {j} &=\rho \mathbf {u} \\{\frac {\partial \rho }{\partial t}}&=-\nabla \cdot (\rho \mathbf {u} )\,.\end{aligned}}}"
Conservation_law_2,{\displaystyle y_{t}+A(y)y_{x}=0}
Conservation_law_3,{\displaystyle y_{t}+A(y)y_{x}=s}
Conservation_law_4,{\displaystyle y_{t}+a(y)y_{x}=0}
Conservation_law_5,{\displaystyle a(y)=j_{y}(y)}
Conservation_law_6,{\displaystyle j_{x}=j_{y}(y)y_{x}=a(y)y_{x}}
Conservation_law_7,{\displaystyle y_{t}+j_{x}(y)=0}
Conservation_law_8,{\displaystyle y_{t}+\mathbf {a} (y)\cdot \nabla y=0}
Conservation_law_9,{\displaystyle y_{t}+\nabla \cdot \mathbf {j} (y)=0}
Conservation_law_10,{\displaystyle \rho _{t}+\nabla \cdot (\rho \mathbf {u} )=0}
Conservation_law_11,{\displaystyle \mathbf {y} _{t}+\mathbf {A} (\mathbf {y} )\cdot \nabla \mathbf {y} =\mathbf {0} }
Conservation_law_12,{\displaystyle \mathbf {A} (\mathbf {y} )=\mathbf {J} _{\mathbf {y} }(\mathbf {y} )}
Conservation_law_13,{\displaystyle \mathbf {y} _{t}+\nabla \cdot \mathbf {J} (\mathbf {y} )=\mathbf {0} }
Conservation_law_14,"{\displaystyle \nabla \cdot \mathbf {u} =0\,,\qquad {\frac {\partial \mathbf {u} }{\partial t}}+\mathbf {u} \cdot \nabla \mathbf {u} +\nabla s=\mathbf {0} ,}"
Conservation_law_15,{\displaystyle {\mathbf {y} }={\begin{pmatrix}1\\\mathbf {u} \end{pmatrix}};\qquad {\mathbf {J} }={\begin{pmatrix}\mathbf {u} \\\mathbf {u} \otimes \mathbf {u} +s\mathbf {I} \end{pmatrix}};\qquad }
Conservation_law_16,{\displaystyle \otimes }
Conservation_law_17,{\displaystyle y_{t}+j_{x}(y)=0}
Conservation_law_18,"{\displaystyle \int _{-\infty }^{\infty }y\,dx+\int _{0}^{\infty }j(y)\,dt=0}"
Conservation_law_19,"{\displaystyle \oint \left[y\,d^{N}r+j(y)\,dt\right]=0}"
Conservation_law_20,"{\displaystyle \int _{0}^{\infty }\int _{-\infty }^{\infty }\phi _{t}y+\phi _{x}j(y)\,dx\,dt=-\int _{-\infty }^{\infty }\phi (x,0)y(x,0)\,dx}"
