name,latex
Countability_0,{\displaystyle S}
Countability_1,{\displaystyle |S|}
Countability_2,{\displaystyle \aleph _{0}}
Countability_3,{\displaystyle \mathbb {N} }
Countability_4,{\displaystyle S}
Countability_5,{\displaystyle \mathbb {N} }
Countability_6,{\displaystyle S}
Countability_7,{\displaystyle \mathbb {N} }
Countability_8,{\displaystyle S}
Countability_9,{\displaystyle S}
Countability_10,{\displaystyle \mathbb {N} }
Countability_11,{\displaystyle S}
Countability_12,{\displaystyle |S|<\aleph _{0}}
Countability_13,{\displaystyle S}
Countability_14,{\displaystyle |S|}
Countability_15,{\displaystyle \aleph _{0}}
Countability_16,{\displaystyle S}
Countability_17,{\displaystyle \mathbb {N} }
Countability_18,{\displaystyle S}
Countability_19,{\displaystyle \mathbb {N} }
Countability_20,{\displaystyle S}
Countability_21,"{\displaystyle a_{0},a_{1},a_{2},\ldots }"
Countability_22,{\displaystyle a_{i}}
Countability_23,{\displaystyle a_{j}}
Countability_24,{\displaystyle i\neq j}
Countability_25,{\displaystyle S}
Countability_26,{\displaystyle \aleph _{0}}
Countability_27,"{\displaystyle \{3,4,5\}}"
Countability_28,"{\displaystyle \{1,2,3,\dots ,100\}}"
Countability_29,{\displaystyle n}
Countability_30,{\displaystyle n}
Countability_31,{\displaystyle n}
Countability_32,{\displaystyle n}
Countability_33,{\displaystyle n}
Countability_34,{\displaystyle n=10^{1000}}
Countability_35,{\displaystyle n}
Countability_36,"{\displaystyle \{0,1,2,3,4,5,\dots \}}"
Countability_37,"{\displaystyle \ldots \,-\!2\!\rightarrow \!-\!4,\,-\!1\!\rightarrow \!-\!2,\,0\!\rightarrow \!0,\,1\!\rightarrow \!2,\,2\!\rightarrow \!4\,\cdots }"
Countability_38,{\displaystyle n\rightarrow 2n}
Countability_39,{\displaystyle \aleph _{0}}
Countability_40,{\displaystyle S}
Countability_41,{\displaystyle S}
Countability_42,"{\displaystyle \mathbb {N} =\{0,1,2,\dots \}}"
Countability_43,"{\displaystyle a\leftrightarrow 1,\ b\leftrightarrow 2,\ c\leftrightarrow 3}"
Countability_44,"{\displaystyle S=\{a,b,c\}}"
Countability_45,"{\displaystyle \{1,2,3\}}"
Countability_46,{\displaystyle S}
Countability_47,{\displaystyle S}
Countability_48,{\displaystyle S}
Countability_49,{\displaystyle \mathbb {N} }
Countability_50,"{\displaystyle A=\{1,2,3,\dots \}}"
Countability_51,"{\displaystyle B=\{0,2,4,6,\dots \}}"
Countability_52,{\displaystyle n\leftrightarrow n+1}
Countability_53,{\displaystyle n\leftrightarrow 2n}
Countability_54,"{\displaystyle {\begin{matrix}0\leftrightarrow 1,&1\leftrightarrow 2,&2\leftrightarrow 3,&3\leftrightarrow 4,&4\leftrightarrow 5,&\ldots \\[6pt]0\leftrightarrow 0,&1\leftrightarrow 2,&2\leftrightarrow 4,&3\leftrightarrow 6,&4\leftrightarrow 8,&\ldots \end{matrix}}}"
Countability_55,{\displaystyle \mathbb {N} \times \mathbb {N} }
Countability_56,"{\displaystyle 0\leftrightarrow (0,0),1\leftrightarrow (1,0),2\leftrightarrow (0,1),3\leftrightarrow (2,0),4\leftrightarrow (1,1),5\leftrightarrow (0,2),6\leftrightarrow (3,0),\ldots }"
Countability_57,{\displaystyle n}
Countability_58,"{\displaystyle (a_{1},a_{2},a_{3},\dots ,a_{n})}"
Countability_59,{\displaystyle a_{i}}
Countability_60,{\displaystyle n}
Countability_61,{\displaystyle n}
Countability_62,"{\displaystyle (0,2,3)}"
Countability_63,"{\displaystyle ((0,2),3)}"
Countability_64,"{\displaystyle (0,2)}"
Countability_65,"{\displaystyle ((0,2),3)}"
Countability_66,"{\displaystyle (5,3)}"
Countability_67,"{\displaystyle (5,3)}"
Countability_68,"{\displaystyle (a,b)}"
Countability_69,{\displaystyle n}
Countability_70,{\displaystyle \mathbb {N} }
Countability_71,{\displaystyle n}
Countability_72,{\displaystyle \mathbb {Z} }
Countability_73,{\displaystyle \mathbb {Q} }
Countability_74,{\displaystyle \mathbb {N} }
Countability_75,{\displaystyle a/b}
Countability_76,{\displaystyle a}
Countability_77,{\displaystyle b\neq 0}
Countability_78,{\displaystyle n}
Countability_79,{\displaystyle n/1}
