name,latex
Derivative_0,"{\displaystyle \int _{a}^{b}f'(t)\,dt=f(b)-f(a)}"
Derivative_1,{\displaystyle f(x)}
Derivative_2,{\displaystyle a}
Derivative_3,{\displaystyle a}
Derivative_4,{\displaystyle L=\lim _{h\to 0}{\frac {f(a+h)-f(a)}{h}}}
Derivative_5,{\displaystyle \varepsilon }
Derivative_6,{\displaystyle \delta }
Derivative_7,{\displaystyle h}
Derivative_8,{\displaystyle |h|<\delta }
Derivative_9,{\displaystyle h\neq 0}
Derivative_10,{\displaystyle f(a+h)}
Derivative_11,"{\displaystyle \left|L-{\frac {f(a+h)-f(a)}{h}}\right|<\varepsilon ,}"
Derivative_12,{\displaystyle f}
Derivative_13,{\displaystyle a}
Derivative_14,{\displaystyle L}
Derivative_15,{\displaystyle f}
Derivative_16,{\displaystyle a}
Derivative_17,{\displaystyle f}
Derivative_18,{\displaystyle a}
Derivative_19,{\displaystyle f'(a)}
Derivative_20,{\displaystyle f}
Derivative_21,{\displaystyle a}
Derivative_23,{\displaystyle f}
Derivative_24,{\displaystyle x}
Derivative_25,{\displaystyle a}
Derivative_26,{\displaystyle df}
Derivative_27,{\displaystyle dx}
Derivative_28,{\displaystyle a}
Derivative_29,{\displaystyle f}
Derivative_30,{\displaystyle x}
Derivative_31,{\displaystyle f}
Derivative_32,{\displaystyle x}
Derivative_33,{\displaystyle f'}
Derivative_34,{\displaystyle f}
Derivative_35,{\displaystyle f}
Derivative_36,{\displaystyle a}
Derivative_37,{\displaystyle f'(a)}
Derivative_38,{\displaystyle f'(a)}
Derivative_39,{\displaystyle f}
Derivative_40,{\displaystyle f}
Derivative_41,{\displaystyle f}
Derivative_42,{\displaystyle f(x)=x^{2}}
Derivative_43,{\displaystyle {\frac {f(a+h)-f(a)}{h}}={\frac {(a+h)^{2}-a^{2}}{h}}={\frac {a^{2}+2ah+h^{2}-a^{2}}{h}}=2a+h.}
Derivative_44,{\displaystyle h\neq 0}
Derivative_45,{\displaystyle h}
Derivative_46,{\displaystyle 0}
Derivative_47,{\displaystyle 2a}
Derivative_48,{\displaystyle a}
Derivative_49,{\displaystyle 2a}
Derivative_50,{\displaystyle f'(x)=2x}
Derivative_51,{\displaystyle \sin \left(x^{2}\right)+2x^{2}\cos \left(x^{2}\right)}
Derivative_52,{\displaystyle f}
Derivative_53,"{\displaystyle (a,f(a))}"
Derivative_54,"{\displaystyle (a+h,f(a+h))}"
Derivative_55,{\displaystyle h}
Derivative_56,{\displaystyle f}
Derivative_57,{\displaystyle a}
Derivative_59,{\displaystyle f}
Derivative_60,{\displaystyle 1+1+\cdots +1}
Derivative_61,{\displaystyle d}
Derivative_62,{\displaystyle f(x)}
Derivative_63,{\displaystyle f'(x)=\operatorname {st} \left({\frac {f(x+dx)-f(x)}{dx}}\right)}
Derivative_64,{\displaystyle dx}
Derivative_65,{\displaystyle \operatorname {st} }
Derivative_66,{\displaystyle f(x)=x^{2}}
Derivative_67,{\displaystyle {\begin{aligned}f'(x)&=\operatorname {st} \left({\frac {x^{2}+2x\cdot dx+(dx)^{2}-x^{2}}{dx}}\right)\\&=\operatorname {st} \left({\frac {2x\cdot dx+(dx)^{2}}{dx}}\right)\\&=\operatorname {st} \left({\frac {2x\cdot dx}{dx}}+{\frac {(dx)^{2}}{dx}}\right)\\&=\operatorname {st} \left(2x+dx\right)\\&=2x.\end{aligned}}}
Derivative_68,{\displaystyle f}
Derivative_69,{\displaystyle a}
Derivative_70,{\displaystyle f}
Derivative_71,{\displaystyle a}
Derivative_72,{\displaystyle a}
Derivative_73,{\displaystyle f}
Derivative_74,{\displaystyle x}
Derivative_75,{\displaystyle a}
Derivative_76,{\displaystyle x}
Derivative_77,{\displaystyle a}
Derivative_78,{\displaystyle f}
Derivative_79,{\displaystyle a}
