name,latex
Diophantine_equation_0,{\displaystyle a^{2}+b^{2}=c^{2}.}
Diophantine_equation_1,{\displaystyle ax+by=c}
Diophantine_equation_2,{\displaystyle w^{3}+x^{3}=y^{3}+z^{3}}
Diophantine_equation_3,{\displaystyle x^{n}+y^{n}=z^{n}}
Diophantine_equation_4,{\displaystyle x^{2}-ny^{2}=\pm 1}
Diophantine_equation_5,{\displaystyle {\frac {4}{n}}={\frac {1}{x}}+{\frac {1}{y}}+{\frac {1}{z}}}
Diophantine_equation_6,{\displaystyle 4xyz=yzn+xzn+xyn=n(yz+xz+xy).}
Diophantine_equation_7,{\displaystyle x^{4}+y^{4}+z^{4}=w^{4}}
Diophantine_equation_8,"{\displaystyle ax+by=c,}"
Diophantine_equation_9,"{\displaystyle {\begin{aligned}a(x+kv)+b(y-ku)&=ax+by+k(av-bu)\\&=ax+by+k(udv-vdu)\\&=ax+by,\end{aligned}}}"
Diophantine_equation_10,"{\displaystyle ax_{1}+by_{1}=ax_{2}+by_{2}=c,}"
Diophantine_equation_11,{\displaystyle u(x_{2}-x_{1})+v(y_{2}-y_{1})=0.}
Diophantine_equation_12,"{\displaystyle x_{2}-x_{1}=kv,\quad y_{2}-y_{1}=-ku.}"
Diophantine_equation_13,"{\displaystyle x_{2}=x_{1}+kv,\quad y_{2}=y_{1}-ku,}"
Diophantine_equation_14,"{\displaystyle n_{1},\dots ,n_{k}}"
Diophantine_equation_15,"{\displaystyle a_{1},\dots ,a_{k}}"
Diophantine_equation_16,{\displaystyle n_{1}\cdots n_{k}.}
Diophantine_equation_17,"{\displaystyle (x,x_{1},\dots ,x_{k})}"
Diophantine_equation_18,"{\displaystyle {\begin{aligned}x&=a_{1}+n_{1}\,x_{1}\\&\;\;\vdots \\x&=a_{k}+n_{k}\,x_{k}\end{aligned}}}"
Diophantine_equation_19,"{\displaystyle AX=C,}"
Diophantine_equation_20,"{\displaystyle B=[b_{i,j}]=UAV}"
Diophantine_equation_21,{\displaystyle B(V^{-1}X)=UC.}
Diophantine_equation_22,"{\displaystyle {\begin{aligned}&b_{i,i}y_{i}=d_{i},\quad 1\leq i\leq k\\&0y_{i}=d_{i},\quad k<i\leq n.\end{aligned}}}"
Diophantine_equation_23,"{\displaystyle V\,{\begin{bmatrix}{\frac {d_{1}}{b_{1,1}}}\\\vdots \\{\frac {d_{k}}{b_{k,k}}}\\h_{k+1}\\\vdots \\h_{n}\end{bmatrix}}\,,}"
Diophantine_equation_24,{\displaystyle x^{d}+y^{d}-z^{d}=0.}
Diophantine_equation_25,"{\displaystyle x^{2}+y^{2}=3z^{2},}"
Diophantine_equation_26,"{\displaystyle {\sqrt {3}},}"
