name,latex
Divisor_(algebraic_geometry)_0,"{\displaystyle (f):=\sum _{p\in X}\operatorname {ord} _{p}(f)p,}"
Divisor_(algebraic_geometry)_1,"{\displaystyle \sum _{Z}n_{Z}Z,}"
Divisor_(algebraic_geometry)_2,{\displaystyle \{Z:n_{Z}\neq 0\}}
Divisor_(algebraic_geometry)_3,{\displaystyle \{Z:n_{Z}\neq 0\}}
Divisor_(algebraic_geometry)_4,"{\displaystyle \operatorname {Spec} {\mathcal {O}}_{K},}"
Divisor_(algebraic_geometry)_5,"{\displaystyle {\mathcal {O}}_{X,Z}}"
Divisor_(algebraic_geometry)_6,"{\displaystyle f\in {\mathcal {O}}_{X,Z}}"
Divisor_(algebraic_geometry)_7,"{\displaystyle {\mathcal {O}}_{X,Z}/(f).}"
Divisor_(algebraic_geometry)_8,"{\displaystyle {\mathcal {O}}_{X,Z},}"
Divisor_(algebraic_geometry)_9,"{\displaystyle {\mathcal {O}}_{X,Z}}"
Divisor_(algebraic_geometry)_10,{\displaystyle \operatorname {div} f=\sum _{Z}\operatorname {ord} _{Z}(f)Z.}
Divisor_(algebraic_geometry)_11,{\displaystyle \operatorname {div} fg=\operatorname {div} f+\operatorname {div} g.}
Divisor_(algebraic_geometry)_12,{\displaystyle {\mathcal {O}}_{X}(D)}
Divisor_(algebraic_geometry)_13,"{\displaystyle \Gamma (U,{\mathcal {O}}_{X}(D))=\{f\in k(X):f=0{\text{ or }}\operatorname {div} (f)+D\geq 0{\text{ on }}U\}.}"
Divisor_(algebraic_geometry)_14,{\displaystyle {\mathcal {O}}_{X}(D)}
Divisor_(algebraic_geometry)_15,{\displaystyle \operatorname {ord} _{Z}(f)\geq -n_{Z}}
Divisor_(algebraic_geometry)_16,{\displaystyle {\begin{cases}{\mathcal {O}}(D)\to {\mathcal {O}}_{X}\\f\mapsto fg\end{cases}}}
Divisor_(algebraic_geometry)_17,{\displaystyle \operatorname {div} (fg)}
Divisor_(algebraic_geometry)_18,{\displaystyle fg}
Divisor_(algebraic_geometry)_19,{\displaystyle {\mathcal {O}}(D)}
Divisor_(algebraic_geometry)_20,{\displaystyle {\mathcal {O}}_{X}}
Divisor_(algebraic_geometry)_21,{\displaystyle {\mathcal {O}}_{X}}
Divisor_(algebraic_geometry)_22,{\displaystyle {\mathcal {O}}(D)}
Divisor_(algebraic_geometry)_23,{\displaystyle {\mathcal {O}}(-D).}
Divisor_(algebraic_geometry)_24,{\displaystyle 0\to {\mathcal {O}}_{X}(-D)\to {\mathcal {O}}_{X}\to {\mathcal {O}}_{D}\to 0.}
Divisor_(algebraic_geometry)_25,"{\displaystyle H^{1}(X,{\mathcal {O}}_{X}(-D))}"
Divisor_(algebraic_geometry)_26,{\displaystyle 0\to {\mathcal {O}}_{X}\to {\mathcal {O}}_{X}(D).}
Divisor_(algebraic_geometry)_27,"{\displaystyle \Gamma (X,{\mathcal {O}}_{X}(D)),}"
Divisor_(algebraic_geometry)_28,{\displaystyle {\mathcal {O}}(D)}
Divisor_(algebraic_geometry)_29,{\displaystyle {\mathcal {O}}(D)}
Divisor_(algebraic_geometry)_30,{\displaystyle {\mathcal {O}}(D)}
Divisor_(algebraic_geometry)_31,"{\displaystyle {\mathcal {M}}_{X},}"
Divisor_(algebraic_geometry)_32,{\displaystyle {\mathcal {O}}(D)}
Divisor_(algebraic_geometry)_33,{\displaystyle {\mathcal {O}}(E)}
