name,latex
Elementary_algebra_0,{\displaystyle {\overset {}{\underset {}{x={\frac {-b\pm {\sqrt {b^{2}-4ac}}}{2a}}}}}}
Elementary_algebra_1,{\displaystyle ax^{2}+bx+c=0}
Elementary_algebra_2,{\displaystyle a\neq 0}
Elementary_algebra_3,{\displaystyle y=x^{2}-x-2}
Elementary_algebra_4,{\displaystyle 3x^{2}-2xy+c}
Elementary_algebra_5,"{\displaystyle a,b,c}"
Elementary_algebra_6,"{\displaystyle x,y}"
Elementary_algebra_7,{\displaystyle 3\times x^{2}}
Elementary_algebra_8,{\displaystyle 3x^{2}}
Elementary_algebra_9,{\displaystyle 2\times x\times y}
Elementary_algebra_10,{\displaystyle 2xy}
Elementary_algebra_11,{\displaystyle x^{2}}
Elementary_algebra_12,{\displaystyle 1x^{2}}
Elementary_algebra_13,{\displaystyle x^{2}}
Elementary_algebra_14,{\displaystyle 3x^{1}}
Elementary_algebra_15,{\displaystyle 3x}
Elementary_algebra_16,{\displaystyle x^{0}}
Elementary_algebra_17,{\displaystyle 0^{0}}
Elementary_algebra_18,{\displaystyle x^{2}}
Elementary_algebra_19,{\displaystyle x^{2}}
Elementary_algebra_20,{\displaystyle x^{2}}
Elementary_algebra_21,{\displaystyle 3x}
Elementary_algebra_22,{\displaystyle \pi }
Elementary_algebra_23,{\displaystyle C=P+20}
Elementary_algebra_24,{\displaystyle 60\times 5=300}
Elementary_algebra_25,{\displaystyle s=60\times m}
Elementary_algebra_26,{\displaystyle \pi =c/d}
Elementary_algebra_27,{\displaystyle (a+b)=(b+a)}
Elementary_algebra_28,{\displaystyle x+x+x}
Elementary_algebra_29,{\displaystyle 3x}
Elementary_algebra_30,{\displaystyle x\times x\times x}
Elementary_algebra_31,{\displaystyle x^{3}}
Elementary_algebra_32,{\displaystyle 2x^{2}+3ab-x^{2}+ab}
Elementary_algebra_33,{\displaystyle x^{2}+4ab}
Elementary_algebra_34,{\displaystyle x^{2}}
Elementary_algebra_35,{\displaystyle ab}
Elementary_algebra_36,{\displaystyle x(2x+3)}
Elementary_algebra_37,{\displaystyle (x\times 2x)+(x\times 3)}
Elementary_algebra_38,{\displaystyle 2x^{2}+3x}
Elementary_algebra_39,{\displaystyle 6x^{5}+3x^{2}}
Elementary_algebra_40,{\displaystyle 3x^{2}}
Elementary_algebra_41,{\displaystyle 3x^{2}(2x^{3}+1)}
Elementary_algebra_42,{\displaystyle c^{2}=a^{2}+b^{2}}
Elementary_algebra_43,{\displaystyle c^{2}}
Elementary_algebra_44,{\displaystyle a+b=b+a}
Elementary_algebra_45,{\displaystyle x^{2}-1=8}
Elementary_algebra_46,{\displaystyle x=3}
Elementary_algebra_47,{\displaystyle x=-3}
Elementary_algebra_48,{\displaystyle a>b}
Elementary_algebra_49,{\displaystyle >}
Elementary_algebra_50,{\displaystyle a<b}
Elementary_algebra_51,{\displaystyle <}
Elementary_algebra_52,{\displaystyle b=b}
Elementary_algebra_53,{\displaystyle a=b}
Elementary_algebra_54,{\displaystyle b=a}
Elementary_algebra_55,{\displaystyle a=b}
Elementary_algebra_56,{\displaystyle b=c}
Elementary_algebra_57,{\displaystyle a=c}
Elementary_algebra_58,{\displaystyle a=b}
Elementary_algebra_59,{\displaystyle c=d}
Elementary_algebra_60,{\displaystyle a+c=b+d}
Elementary_algebra_61,{\displaystyle ac=bd}
Elementary_algebra_62,{\displaystyle a=b}
Elementary_algebra_63,{\displaystyle a+c=b+c}
Elementary_algebra_64,{\displaystyle ac=bc}
Elementary_algebra_65,{\displaystyle a=b}
Elementary_algebra_66,{\displaystyle f(a)=f(b)}
Elementary_algebra_67,{\displaystyle <}
Elementary_algebra_68,{\displaystyle >}
Elementary_algebra_69,{\displaystyle a<b}
Elementary_algebra_70,{\displaystyle b<c}
Elementary_algebra_71,{\displaystyle a<c}
Elementary_algebra_72,{\displaystyle a<b}
Elementary_algebra_73,{\displaystyle c<d}
