name,latex
Ellipse_0,{\displaystyle e}
Ellipse_1,{\displaystyle e=0}
Ellipse_2,{\displaystyle e=1}
Ellipse_3,{\displaystyle 2a}
Ellipse_4,{\displaystyle 2b}
Ellipse_5,{\displaystyle {\frac {x^{2}}{a^{2}}}+{\frac {y^{2}}{b^{2}}}=1.}
Ellipse_6,{\displaystyle a\geq b}
Ellipse_7,"{\displaystyle (\pm c,0)}"
Ellipse_9,"{\displaystyle (x,y)=(a\cos(t),b\sin(t))\quad {\text{for}}\quad 0\leq t\leq 2\pi .}"
Ellipse_10,{\displaystyle e={\frac {c}{a}}={\sqrt {1-{\frac {b^{2}}{a^{2}}}}}.}
Ellipse_11,"{\displaystyle F_{1},F_{2}}"
Ellipse_12,{\displaystyle 2a}
Ellipse_13,{\displaystyle P}
Ellipse_14,"{\displaystyle |PF_{1}|,\ |PF_{2}|}"
Ellipse_15,{\displaystyle 2a}
Ellipse_16,"{\displaystyle E=\left\{P\in \mathbb {R} ^{2}\,\mid \,\left|PF_{2}\right|+\left|PF_{1}\right|=2a\right\}.}"
Ellipse_17,{\displaystyle C}
Ellipse_18,"{\displaystyle V_{1},V_{2}}"
Ellipse_19,{\displaystyle a}
Ellipse_20,{\displaystyle c}
Ellipse_21,{\displaystyle e={\tfrac {c}{a}}}
Ellipse_22,{\displaystyle F_{1}=F_{2}}
Ellipse_23,{\displaystyle \left|PF_{2}\right|+\left|PF_{1}\right|=2a}
Ellipse_24,{\displaystyle c_{2}}
Ellipse_25,{\displaystyle F_{2}}
Ellipse_26,{\displaystyle 2a}
Ellipse_27,{\displaystyle P}
Ellipse_28,{\displaystyle c_{2}}
Ellipse_29,{\displaystyle F_{1}}
Ellipse_30,{\displaystyle \left|PF_{1}\right|=\left|Pc_{2}\right|.}
Ellipse_31,{\displaystyle c_{2}}
Ellipse_32,{\displaystyle F_{2}}
Ellipse_33,{\displaystyle \ell }
Ellipse_34,"{\displaystyle F_{1}=(c,\,0),\ F_{2}=(-c,\,0)}"
Ellipse_35,"{\displaystyle V_{1}=(a,\,0),\ V_{2}=(-a,\,0)}"
Ellipse_36,"{\displaystyle (x,y)}"
Ellipse_37,"{\displaystyle (c,0)}"
Ellipse_40,"{\displaystyle (x,\,y)}"
Ellipse_41,{\displaystyle {\sqrt {(x-c)^{2}+y^{2}}}+{\sqrt {(x+c)^{2}+y^{2}}}=2a\ .}
Ellipse_42,{\displaystyle b^{2}=a^{2}-c^{2}}
Ellipse_43,"{\displaystyle {\frac {x^{2}}{a^{2}}}+{\frac {y^{2}}{b^{2}}}=1,}"
Ellipse_44,{\displaystyle y=\pm {\frac {b}{a}}{\sqrt {a^{2}-x^{2}}}=\pm {\sqrt {\left(a^{2}-x^{2}\right)\left(1-e^{2}\right)}}.}
Ellipse_45,"{\displaystyle a,\;b}"
Ellipse_46,"{\displaystyle V_{3}=(0,\,b),\;V_{4}=(0,\,-b)}"
Ellipse_47,"{\displaystyle (x,\,y)}"
Ellipse_48,{\displaystyle a+ex}
Ellipse_49,{\displaystyle a-ex}
Ellipse_50,{\displaystyle a}
Ellipse_51,{\displaystyle b}
Ellipse_52,{\displaystyle a\geq b>0\ .}
Ellipse_53,{\displaystyle {\tfrac {x^{2}}{a^{2}}}+{\tfrac {y^{2}}{b^{2}}}=1}
Ellipse_54,{\displaystyle a<b}
Ellipse_55,{\displaystyle x}
Ellipse_56,{\displaystyle y}
Ellipse_57,{\displaystyle a}
Ellipse_58,{\displaystyle b.}
Ellipse_59,{\displaystyle c={\sqrt {a^{2}-b^{2}}}}
Ellipse_60,"{\displaystyle e={\frac {c}{a}}={\sqrt {1-\left({\frac {b}{a}}\right)^{2}}},}"
Ellipse_61,{\displaystyle a>b.}
Ellipse_62,{\displaystyle a=b}
Ellipse_63,{\displaystyle \ell }
Ellipse_64,{\displaystyle \ell ={\frac {b^{2}}{a}}=a\left(1-e^{2}\right).}
Ellipse_65,{\displaystyle \ell }
Ellipse_66,{\displaystyle g}
Ellipse_67,"{\displaystyle (x_{1},\,y_{1})}"
Ellipse_68,{\displaystyle {\tfrac {x^{2}}{a^{2}}}+{\tfrac {y^{2}}{b^{2}}}=1}
Ellipse_69,{\displaystyle {\frac {x_{1}}{a^{2}}}x+{\frac {y_{1}}{b^{2}}}y=1.}
Ellipse_70,"{\displaystyle {\vec {x}}={\begin{pmatrix}x_{1}\\y_{1}\end{pmatrix}}+s\left({\begin{array}{r}-y_{1}a^{2}\\x_{1}b^{2}\end{array}}\right),\quad s\in \mathbb {R} .}"
Ellipse_71,"{\displaystyle (x_{1},\,y_{1})}"
Ellipse_73,{\displaystyle g}
Ellipse_74,"{\displaystyle (x_{1},\,y_{1})}"
Ellipse_76,{\displaystyle {\frac {\left(x_{1}+su\right)^{2}}{a^{2}}}+{\frac {\left(y_{1}+sv\right)^{2}}{b^{2}}}=1\ \quad \Longrightarrow \quad 2s\left({\frac {x_{1}u}{a^{2}}}+{\frac {y_{1}v}{b^{2}}}\right)+s^{2}\left({\frac {u^{2}}{a^{2}}}+{\frac {v^{2}}{b^{2}}}\right)=0\ .}
Ellipse_77,{\displaystyle {\frac {x_{1}}{a^{2}}}u+{\frac {y_{1}}{b^{2}}}v=0.}
Ellipse_78,{\displaystyle g}
Ellipse_79,"{\displaystyle (x_{1},\,y_{1})}"
Ellipse_80,{\displaystyle g}
Ellipse_81,{\displaystyle {\begin{pmatrix}{\frac {x_{1}}{a^{2}}}&{\frac {y_{1}}{b^{2}}}\end{pmatrix}}}
Ellipse_83,{\displaystyle k}
Ellipse_84,"{\displaystyle (x_{1},\,y_{1})}"
Ellipse_85,{\displaystyle k=1}
Ellipse_86,{\displaystyle {\frac {x_{1}}{a^{2}}}u+{\frac {y_{1}}{b^{2}}}v\neq 0.}
Ellipse_87,{\displaystyle g}
Ellipse_88,{\displaystyle {\begin{pmatrix}-y_{1}a^{2}&x_{1}b^{2}\end{pmatrix}}}
Ellipse_89,"{\displaystyle (x_{1},\,y_{1})}"
Ellipse_90,"{\displaystyle (x_{1},y_{1})}"
Ellipse_91,"{\displaystyle (u,v)}"
Ellipse_93,{\displaystyle a=b}
Ellipse_94,"{\displaystyle \left(x_{\circ },\,y_{\circ }\right)}"
Ellipse_95,{\displaystyle {\frac {\left(x-x_{\circ }\right)^{2}}{a^{2}}}+{\frac {\left(y-y_{\circ }\right)^{2}}{b^{2}}}=1\ .}
Ellipse_96,"{\displaystyle (x,\,y)}"
Ellipse_97,{\displaystyle Ax^{2}+Bxy+Cy^{2}+Dx+Ey+F=0}
Ellipse_98,{\displaystyle B^{2}-4AC<0.}
Ellipse_99,{\displaystyle \Delta ={\begin{vmatrix}A&{\frac {1}{2}}B&{\frac {1}{2}}D\\{\frac {1}{2}}B&C&{\frac {1}{2}}E\\{\frac {1}{2}}D&{\frac {1}{2}}E&F\end{vmatrix}}=ACF+{\tfrac {1}{4}}BDE-{\tfrac {1}{4}}(AE^{2}+CD^{2}+FB^{2}).}
Ellipse_100,{\displaystyle a}
Ellipse_101,{\displaystyle b}
Ellipse_102,"{\displaystyle \left(x_{\circ },\,y_{\circ }\right)}"
Ellipse_103,{\displaystyle \theta }
Ellipse_104,{\displaystyle {\begin{aligned}A&=a^{2}\sin ^{2}\theta +b^{2}\cos ^{2}\theta &B&=2\left(b^{2}-a^{2}\right)\sin \theta \cos \theta \\[1ex]C&=a^{2}\cos ^{2}\theta +b^{2}\sin ^{2}\theta &D&=-2Ax_{\circ }-By_{\circ }\\[1ex]E&=-Bx_{\circ }-2Cy_{\circ }&F&=Ax_{\circ }^{2}+Bx_{\circ }y_{\circ }+Cy_{\circ }^{2}-a^{2}b^{2}.\end{aligned}}}
Ellipse_105,{\displaystyle {\frac {X^{2}}{a^{2}}}+{\frac {Y^{2}}{b^{2}}}=1}
Ellipse_106,"{\displaystyle (X,\,Y)}"
Ellipse_107,"{\displaystyle {\begin{aligned}X&=\left(x-x_{\circ }\right)\cos \theta +\left(y-y_{\circ }\right)\sin \theta ,\\Y&=-\left(x-x_{\circ }\right)\sin \theta +\left(y-y_{\circ }\right)\cos \theta .\end{aligned}}}"
Ellipse_109,{\displaystyle \Delta u=0.2}
Ellipse_110,{\displaystyle {\tfrac {x^{2}}{a^{2}}}+{\tfrac {y^{2}}{b^{2}}}=1}
Ellipse_111,"{\displaystyle (x,\,y)=(a\cos t,\,b\sin t),\ 0\leq t<2\pi \,.}"
Ellipse_112,"{\displaystyle (x(t),y(t))}"
Ellipse_114,"{\displaystyle \cos t={\frac {1-u^{2}}{1+u^{2}}}\ ,\quad \sin t={\frac {2u}{1+u^{2}}}}"
Ellipse_116,{\displaystyle {\tfrac {x^{2}}{a^{2}}}+{\tfrac {y^{2}}{b^{2}}}=1}
Ellipse_117,"{\displaystyle (-a,\,0)}"
Ellipse_118,"{\displaystyle u\in [0,\,1],}"
Ellipse_119,{\displaystyle u.}
Ellipse_121,{\displaystyle [u:v]}
Ellipse_123,"{\displaystyle [u:v]\mapsto \left(a{\frac {v^{2}-u^{2}}{v^{2}+u^{2}}},b{\frac {2uv}{v^{2}+u^{2}}}\right).}"
Ellipse_125,{\displaystyle m}
Ellipse_126,"{\displaystyle {\vec {x}}(t)=(a\cos t,\,b\sin t)^{\mathsf {T}}}"
Ellipse_127,"{\displaystyle {\vec {x}}'(t)=(-a\sin t,\,b\cos t)^{\mathsf {T}}\quad \rightarrow \quad m=-{\frac {b}{a}}\cot t\quad \rightarrow \quad \cot t=-{\frac {ma}{b}}.}"
Ellipse_128,"{\displaystyle \cos t={\frac {\cot t}{\pm {\sqrt {1+\cot ^{2}t}}}}={\frac {-ma}{\pm {\sqrt {m^{2}a^{2}+b^{2}}}}}\ ,\quad \quad \sin t={\frac {1}{\pm {\sqrt {1+\cot ^{2}t}}}}={\frac {b}{\pm {\sqrt {m^{2}a^{2}+b^{2}}}}}.}"
Ellipse_129,{\displaystyle \cos t}
Ellipse_130,{\displaystyle \sin t}
Ellipse_131,"{\displaystyle {\vec {c}}_{\pm }(m)=\left(-{\frac {ma^{2}}{\pm {\sqrt {m^{2}a^{2}+b^{2}}}}},\;{\frac {b^{2}}{\pm {\sqrt {m^{2}a^{2}+b^{2}}}}}\right),\,m\in \mathbb {R} .}"
Ellipse_132,{\displaystyle m}
Ellipse_133,{\displaystyle {\vec {c}}_{+}}
Ellipse_134,{\displaystyle {\vec {c}}_{-}}
Ellipse_135,"{\displaystyle (\pm a,\,0)}"
Ellipse_136,{\displaystyle {\vec {c}}_{\pm }(m)}
Ellipse_137,{\displaystyle y=mx+n}
Ellipse_138,{\displaystyle n}
Ellipse_139,{\displaystyle {\vec {c}}_{\pm }(m)}
Ellipse_140,"{\displaystyle y=mx\pm {\sqrt {m^{2}a^{2}+b^{2}}}\,.}"
Ellipse_141,{\displaystyle x^{2}+y^{2}=1}
Ellipse_142,{\displaystyle {\vec {x}}\mapsto {\vec {f}}\!_{0}+A{\vec {x}}}
Ellipse_143,{\displaystyle A}
Ellipse_144,{\displaystyle {\vec {f}}\!_{0}}
Ellipse_145,"{\displaystyle {\vec {f}}\!_{1},{\vec {f}}\!_{2}}"
Ellipse_146,{\displaystyle A}
Ellipse_147,"{\displaystyle (\cos(t),\sin(t))}"
Ellipse_148,{\displaystyle 0\leq t\leq 2\pi }
Ellipse_149,"{\displaystyle {\vec {x}}={\vec {p}}(t)={\vec {f}}\!_{0}+{\vec {f}}\!_{1}\cos t+{\vec {f}}\!_{2}\sin t\,.}"
Ellipse_150,{\displaystyle {\vec {f}}\!_{0}}
Ellipse_151,"{\displaystyle {\vec {f}}\!_{1},\;{\vec {f}}\!_{2}}"
Ellipse_152,"{\displaystyle {\vec {p}}(t_{0}),\;{\vec {p}}\left(t_{0}\pm {\tfrac {\pi }{2}}\right),\;{\vec {p}}\left(t_{0}+\pi \right)}"
Ellipse_153,{\displaystyle t=t_{0}}
Ellipse_154,"{\displaystyle \cot(2t_{0})={\frac {{\vec {f}}\!_{1}^{\,2}-{\vec {f}}\!_{2}^{\,2}}{2{\vec {f}}\!_{1}\cdot {\vec {f}}\!_{2}}}.}"
Ellipse_155,{\displaystyle {\vec {f}}\!_{1}\cdot {\vec {f}}\!_{2}=0}
Ellipse_156,{\displaystyle t_{0}=0}
Ellipse_157,{\displaystyle {\vec {p}}(t)}
Ellipse_158,"{\displaystyle {\vec {p}}\,'(t)=-{\vec {f}}\!_{1}\sin t+{\vec {f}}\!_{2}\cos t\ .}"
Ellipse_159,{\displaystyle t=t_{0}}
Ellipse_160,{\displaystyle 0={\vec {p}}'(t)\cdot \left({\vec {p}}(t)-{\vec {f}}\!_{0}\right)=\left(-{\vec {f}}\!_{1}\sin t+{\vec {f}}\!_{2}\cos t\right)\cdot \left({\vec {f}}\!_{1}\cos t+{\vec {f}}\!_{2}\sin t\right).}
Ellipse_161,"{\displaystyle \;\cos ^{2}t-\sin ^{2}t=\cos 2t,\ \ 2\sin t\cos t=\sin 2t\;}"
Ellipse_162,{\displaystyle t=t_{0}\;.}
Ellipse_163,{\displaystyle \;{\vec {x}}={\vec {f}}_{0}+{\vec {f}}_{1}\cos t+{\vec {f}}_{2}\sin t\;}
Ellipse_164,"{\displaystyle A=\pi \left|\det({\vec {f}}_{1},{\vec {f}}_{2})\right|.}"
Ellipse_165,"{\displaystyle \;M={\vec {f}}_{1}^{2}+{\vec {f}}_{2}^{2},\ N=\left|\det({\vec {f}}_{1},{\vec {f}}_{2})\right|}"
Ellipse_166,"{\displaystyle a^{2}+b^{2}=M,\quad ab=N\ .}"
Ellipse_167,"{\displaystyle a,b}"
Ellipse_168,"{\displaystyle {\begin{aligned}a&={\frac {1}{2}}({\sqrt {M+2N}}+{\sqrt {M-2N}})\\[1ex]b&={\frac {1}{2}}({\sqrt {M+2N}}-{\sqrt {M-2N}})\,.\end{aligned}}}"
Ellipse_169,"{\displaystyle \;\cos t,\sin t\;}"
Ellipse_170,{\displaystyle \;\cos ^{2}t+\sin ^{2}t-1=0\;}
Ellipse_171,"{\displaystyle \det {\left({\vec {x}}\!-\!{\vec {f}}\!_{0},{\vec {f}}\!_{2}\right)^{2}}+\det {\left({\vec {f}}\!_{1},{\vec {x}}\!-\!{\vec {f}}\!_{0}\right)^{2}}-\det {\left({\vec {f}}\!_{1},{\vec {f}}\!_{2}\right)^{2}}=0.}"
Ellipse_172,"{\displaystyle x^{2}+2cxy+d^{2}y^{2}-e^{2}=0\ ,}"
Ellipse_173,"{\displaystyle \;d^{2}-c^{2}>0\;,}"
Ellipse_174,"{\displaystyle {\vec {f}}_{1}={e \choose 0},\quad {\vec {f}}_{2}={\frac {e}{\sqrt {d^{2}-c^{2}}}}{-c \choose 1}}"
Ellipse_175,{\displaystyle \;x^{2}+2xy+3y^{2}-1=0\;}
Ellipse_176,"{\displaystyle {\vec {f}}_{1}={1 \choose 0},\quad {\vec {f}}_{2}={\frac {1}{\sqrt {2}}}{-1 \choose 1}.}"
Ellipse_177,"{\displaystyle {\vec {f}}_{0}={0 \choose 0},\;{\vec {f}}_{1}=a{\cos \theta  \choose \sin \theta },\;{\vec {f}}_{2}=b{-\sin \theta  \choose \;\cos \theta }}"
Ellipse_178,{\displaystyle \theta }
Ellipse_179,"{\displaystyle {\begin{aligned}x&=x_{\theta }(t)=a\cos \theta \cos t-b\sin \theta \sin t\,,\\y&=y_{\theta }(t)=a\sin \theta \cos t+b\cos \theta \sin t\,.\end{aligned}}}"
Ellipse_180,"{\displaystyle {\vec {f}}\!_{0},{\vec {f}}\!_{1},{\vec {f}}\!_{2}}"
Ellipse_181,{\displaystyle \theta }
Ellipse_182,{\displaystyle r(\theta )={\frac {ab}{\sqrt {(b\cos \theta )^{2}+(a\sin \theta )^{2}}}}={\frac {b}{\sqrt {1-(e\cos \theta )^{2}}}}}
Ellipse_183,{\displaystyle e}
Ellipse_184,{\displaystyle \theta =0}
Ellipse_185,{\displaystyle r(\theta )={\frac {a(1-e^{2})}{1\pm e\cos \theta }}}
Ellipse_186,{\displaystyle \theta =0}
Ellipse_187,{\displaystyle \phi }
Ellipse_188,{\displaystyle r(\theta )={\frac {a(1-e^{2})}{1-e\cos(\theta -\phi )}}.}
Ellipse_189,{\displaystyle \theta }
Ellipse_190,{\displaystyle \ell =a(1-e^{2})}
Ellipse_192,{\displaystyle P}
Ellipse_193,{\displaystyle {\frac {\left|PF_{1}\right|}{\left|Pl_{1}\right|}}={\frac {\left|PF_{2}\right|}{\left|Pl_{2}\right|}}=e={\frac {c}{a}}\ .}
Ellipse_194,"{\displaystyle F_{1},l_{1}}"
Ellipse_196,{\displaystyle y^{2}=b^{2}-{\tfrac {b^{2}}{a^{2}}}x^{2}}
Ellipse_197,"{\displaystyle \left|PF_{1}\right|^{2}-{\frac {c^{2}}{a^{2}}}\left|Pl_{1}\right|^{2}=0\,.}"
Ellipse_198,{\displaystyle F}
Ellipse_199,{\displaystyle l}
Ellipse_200,{\displaystyle F}
Ellipse_201,{\displaystyle e}
Ellipse_202,"{\displaystyle 0<e<1,}"
Ellipse_203,"{\displaystyle e,}"
Ellipse_204,{\displaystyle E=\left\{P\ \left|\ {\frac {|PF|}{|Pl|}}=e\right.\right\}.}
Ellipse_205,{\displaystyle e=0}
Ellipse_206,{\displaystyle e=1}
Ellipse_207,{\displaystyle e>1}
Ellipse_208,"{\displaystyle F=(f,\,0),\ e>0}"
Ellipse_209,"{\displaystyle (0,\,0)}"
Ellipse_210,{\displaystyle l}
Ellipse_211,{\displaystyle x=-{\tfrac {f}{e}}}
Ellipse_212,"{\displaystyle P=(x,\,y)}"
Ellipse_213,{\displaystyle |PF|^{2}=e^{2}|Pl|^{2}}
Ellipse_214,{\displaystyle (x-f)^{2}+y^{2}=e^{2}\left(x+{\frac {f}{e}}\right)^{2}=(ex+f)^{2}}
Ellipse_215,{\displaystyle x^{2}\left(e^{2}-1\right)+2xf(1+e)-y^{2}=0.}
Ellipse_216,{\displaystyle p=f(1+e)}
Ellipse_217,{\displaystyle x^{2}\left(e^{2}-1\right)+2px-y^{2}=0.}
Ellipse_218,{\displaystyle e<1}
Ellipse_219,{\displaystyle e=1}
Ellipse_220,{\displaystyle e>1}
Ellipse_221,{\displaystyle e<1}
Ellipse_222,"{\displaystyle a,\,b}"
Ellipse_223,"{\displaystyle 1-e^{2}={\tfrac {b^{2}}{a^{2}}},{\text{ and }}\ p={\tfrac {b^{2}}{a}}}"
Ellipse_224,"{\displaystyle {\frac {(x-a)^{2}}{a^{2}}}+{\frac {y^{2}}{b^{2}}}=1\,,}"
Ellipse_225,"{\displaystyle (a,\,0)}"
Ellipse_226,"{\displaystyle a,\,b}"
Ellipse_227,{\displaystyle c\cdot {\tfrac {a^{2}}{c}}=a^{2}}
Ellipse_228,{\displaystyle L_{1}}
Ellipse_229,{\displaystyle l_{1}}
Ellipse_230,{\displaystyle F_{1}}
Ellipse_231,{\displaystyle x^{2}+y^{2}=a^{2}}
Ellipse_232,{\displaystyle L_{1}}
Ellipse_233,{\displaystyle l_{1}}
Ellipse_234,{\displaystyle L_{1}}
Ellipse_235,"{\displaystyle F=\left(f_{1},\,f_{2}\right)}"
Ellipse_236,{\displaystyle ux+vy+w=0}
Ellipse_237,{\displaystyle \left(x-f_{1}\right)^{2}+\left(y-f_{2}\right)^{2}=e^{2}{\frac {\left(ux+vy+w\right)^{2}}{u^{2}+v^{2}}}\ .}
Ellipse_238,{\displaystyle |Pl|}
Ellipse_239,{\displaystyle P}
Ellipse_240,"{\displaystyle {\overline {PF_{1}}},\,{\overline {PF_{2}}}}"
Ellipse_241,{\displaystyle L}
Ellipse_242,{\displaystyle {\overline {PF_{2}}}}
Ellipse_243,{\displaystyle 2a}
Ellipse_244,{\displaystyle F_{2}}
Ellipse_245,{\displaystyle a}
Ellipse_246,{\displaystyle w}
Ellipse_247,{\displaystyle {\overline {PF_{1}}}}
Ellipse_248,{\displaystyle {\overline {PF_{2}}}.}
Ellipse_249,{\displaystyle Q}
Ellipse_250,{\displaystyle w.}
Ellipse_251,{\displaystyle 2a=\left|LF_{2}\right|<{}}
Ellipse_252,{\displaystyle \left|QF_{2}\right|+\left|QL\right|={}}
Ellipse_253,"{\displaystyle \left|QF_{2}\right|+\left|QF_{1}\right|,}"
Ellipse_254,{\displaystyle Q}
Ellipse_255,"{\displaystyle Q,}"
Ellipse_256,{\displaystyle w}
Ellipse_257,{\displaystyle P}
Ellipse_258,"{\displaystyle d_{1},\,d_{2}}"
Ellipse_259,{\displaystyle d_{1}}
Ellipse_260,{\displaystyle d_{2}\ .}
Ellipse_261,"{\displaystyle {\overline {P_{1}Q_{1}}},\,{\overline {P_{2}Q_{2}}}}"
Ellipse_262,{\displaystyle P_{1}}
Ellipse_263,{\displaystyle Q_{1}}
Ellipse_264,{\displaystyle {\overline {P_{2}Q_{2}}}}
Ellipse_265,"{\displaystyle {\vec {x}}={\vec {p}}(t)={\vec {f}}\!_{0}+{\vec {f}}\!_{1}\cos t+{\vec {f}}\!_{2}\sin t,}"
Ellipse_266,"{\displaystyle {\vec {p}}(t),\ {\vec {p}}(t+\pi )}"
Ellipse_267,"{\displaystyle {\vec {p}}\left(t+{\tfrac {\pi }{2}}\right),\ {\vec {p}}\left(t-{\tfrac {\pi }{2}}\right)}"
Ellipse_268,"{\displaystyle (a\cos t,b\sin t)}"
Ellipse_269,{\displaystyle {\tfrac {x^{2}}{a^{2}}}+{\tfrac {y^{2}}{b^{2}}}=1}
Ellipse_270,"{\displaystyle (x_{1},y_{1})=(\pm a\cos t,\pm b\sin t)\quad }"
Ellipse_272,{\displaystyle {\frac {x_{1}x_{2}}{a^{2}}}+{\frac {y_{1}y_{2}}{b^{2}}}=0\ .}
Ellipse_273,{\displaystyle x_{1}x_{2}+y_{1}y_{2}=0\ .}
Ellipse_274,"{\displaystyle a,\,b}"
Ellipse_275,{\displaystyle c_{1}}
Ellipse_276,{\displaystyle c_{2}}
