name,latex
Epicyclic_gearing_0,{\displaystyle n_{\text{p}}}
Epicyclic_gearing_1,{\displaystyle {\frac {N_{\text{s}}+N_{\text{r}}}{n_{\text{p}}}}=A}
Epicyclic_gearing_2,"{\displaystyle N_{\text{s}},N_{\text{r}}}"
Epicyclic_gearing_3,{\displaystyle n_{\text{p}}}
Epicyclic_gearing_4,{\displaystyle A}
Epicyclic_gearing_5,"{\displaystyle {\begin{aligned}N_{\text{s}}\,\omega _{\text{s}}+N_{\text{p}}\,\omega _{\text{p}}-\left(N_{\text{s}}+N_{\text{p}}\,\right)\,\omega _{\text{c}}&=0\\N_{\text{r}}\,\omega _{\text{r}}-N_{\text{p}}\,\omega _{\text{p}}-\left(N_{\text{r}}-N_{\text{p}}\right)\,\omega _{\text{c}}&=0\end{aligned}}}"
Epicyclic_gearing_6,"{\displaystyle \omega _{\text{r}},\omega _{\text{s}},\omega _{\text{p}},\omega _{\text{c}}}"
Epicyclic_gearing_7,"{\displaystyle N_{\text{r}},N_{\text{s}},N_{\text{p}}}"
Epicyclic_gearing_8,"{\displaystyle N_{\text{s}}\,\omega _{\text{s}}+N_{\text{r}}\,\omega _{\text{r}}=(N_{\text{s}}+N_{\text{r}})\,\omega _{\text{c}}}"
Epicyclic_gearing_9,"{\displaystyle \omega _{\text{s}}={\frac {\,N_{\text{s}}+N_{\text{r}}\,}{N_{\text{s}}}}\,\omega _{\text{c}}-{\frac {\,N_{\text{r}}\,}{N_{\text{s}}}}\omega _{\text{r}}}"
Epicyclic_gearing_10,"{\displaystyle \omega _{\text{r}}={\frac {\,N_{\text{s}}+N_{\text{r}}\,}{N_{\text{r}}}}\,\omega _{\text{c}}-{\frac {\,N_{\text{s}}\,}{N_{\text{r}}}}\,\omega _{\text{s}}}"
