name,latex
Erd%C5%91s%E2%80%93Straus_conjecture_0,{\displaystyle {\tfrac {4}{n}}={\tfrac {1}{x}}+{\tfrac {1}{y}}+{\tfrac {1}{z}}}
Erd%C5%91s%E2%80%93Straus_conjecture_1,{\displaystyle n\geq 2}
Erd%C5%91s%E2%80%93Straus_conjecture_2,{\displaystyle n}
Erd%C5%91s%E2%80%93Straus_conjecture_3,{\displaystyle x}
Erd%C5%91s%E2%80%93Straus_conjecture_4,{\displaystyle y}
Erd%C5%91s%E2%80%93Straus_conjecture_5,{\displaystyle z}
Erd%C5%91s%E2%80%93Straus_conjecture_6,{\displaystyle {\frac {4}{n}}={\frac {1}{x}}+{\frac {1}{y}}+{\frac {1}{z}}.}
Erd%C5%91s%E2%80%93Straus_conjecture_7,{\displaystyle 4/n}
Erd%C5%91s%E2%80%93Straus_conjecture_8,{\displaystyle n}
Erd%C5%91s%E2%80%93Straus_conjecture_9,{\displaystyle n\leq 10^{17}}
Erd%C5%91s%E2%80%93Straus_conjecture_10,{\displaystyle {\tfrac {a}{b}}}
Erd%C5%91s%E2%80%93Straus_conjecture_11,{\displaystyle a}
Erd%C5%91s%E2%80%93Straus_conjecture_12,{\displaystyle b}
Erd%C5%91s%E2%80%93Straus_conjecture_13,{\displaystyle {\tfrac {2}{n}}}
Erd%C5%91s%E2%80%93Straus_conjecture_14,{\displaystyle {\tfrac {2}{n}}={\tfrac {1}{n}}+{\tfrac {1}{n}}}
Erd%C5%91s%E2%80%93Straus_conjecture_15,{\displaystyle n>2}
Erd%C5%91s%E2%80%93Straus_conjecture_16,{\displaystyle {\tfrac {4}{n}}={\tfrac {1}{x}}+{\tfrac {1}{y}}+{\tfrac {1}{z}}}
Erd%C5%91s%E2%80%93Straus_conjecture_17,{\displaystyle {\tfrac {a}{b}}}
Erd%C5%91s%E2%80%93Straus_conjecture_18,{\displaystyle a}
Erd%C5%91s%E2%80%93Straus_conjecture_19,{\displaystyle {\tfrac {2}{n}}}
Erd%C5%91s%E2%80%93Straus_conjecture_20,{\displaystyle {\tfrac {3}{n}}}
Erd%C5%91s%E2%80%93Straus_conjecture_21,{\displaystyle {\tfrac {4}{n}}}
Erd%C5%91s%E2%80%93Straus_conjecture_22,{\displaystyle {\tfrac {2}{n}}}
Erd%C5%91s%E2%80%93Straus_conjecture_23,{\displaystyle {\tfrac {3}{n}}}
Erd%C5%91s%E2%80%93Straus_conjecture_24,{\displaystyle {\tfrac {4}{n}}}
Erd%C5%91s%E2%80%93Straus_conjecture_25,{\displaystyle {\tfrac {4}{n}}}
Erd%C5%91s%E2%80%93Straus_conjecture_26,{\displaystyle a}
Erd%C5%91s%E2%80%93Straus_conjecture_27,{\displaystyle {\tfrac {a}{b}}}
Erd%C5%91s%E2%80%93Straus_conjecture_28,{\displaystyle {\tfrac {3}{n}}}
Erd%C5%91s%E2%80%93Straus_conjecture_29,{\displaystyle n}
Erd%C5%91s%E2%80%93Straus_conjecture_30,{\displaystyle n}
Erd%C5%91s%E2%80%93Straus_conjecture_31,{\displaystyle {\tfrac {4}{n}}}
Erd%C5%91s%E2%80%93Straus_conjecture_32,{\displaystyle n}
Erd%C5%91s%E2%80%93Straus_conjecture_33,{\displaystyle {\tfrac {4}{n}}}
Erd%C5%91s%E2%80%93Straus_conjecture_34,{\displaystyle n\leq 10^{5}}
Erd%C5%91s%E2%80%93Straus_conjecture_35,{\displaystyle n\geq 2}
Erd%C5%91s%E2%80%93Straus_conjecture_36,{\displaystyle x}
Erd%C5%91s%E2%80%93Straus_conjecture_37,{\displaystyle y}
Erd%C5%91s%E2%80%93Straus_conjecture_38,{\displaystyle z}
Erd%C5%91s%E2%80%93Straus_conjecture_39,{\displaystyle {\frac {4}{n}}={\frac {1}{x}}+{\frac {1}{y}}+{\frac {1}{z}}.}
Erd%C5%91s%E2%80%93Straus_conjecture_40,{\displaystyle n=5}
Erd%C5%91s%E2%80%93Straus_conjecture_41,{\displaystyle {\frac {4}{5}}={\frac {1}{2}}+{\frac {1}{4}}+{\frac {1}{20}}={\frac {1}{2}}+{\frac {1}{5}}+{\frac {1}{10}}.}
Erd%C5%91s%E2%80%93Straus_conjecture_42,{\displaystyle {\tfrac {4}{n}}={\tfrac {1}{x}}+{\tfrac {1}{y}}+{\tfrac {1}{z}}}
Erd%C5%91s%E2%80%93Straus_conjecture_43,{\displaystyle nxyz}
Erd%C5%91s%E2%80%93Straus_conjecture_44,{\displaystyle 4xyz=n(xy+xz+yz)}
Erd%C5%91s%E2%80%93Straus_conjecture_45,{\displaystyle x}
Erd%C5%91s%E2%80%93Straus_conjecture_46,{\displaystyle y}
Erd%C5%91s%E2%80%93Straus_conjecture_47,{\displaystyle z}
Erd%C5%91s%E2%80%93Straus_conjecture_48,{\displaystyle n\geq 3}
Erd%C5%91s%E2%80%93Straus_conjecture_49,{\displaystyle {\begin{aligned}{\frac {1}{2r}}+{\frac {1}{2r}}&\Rightarrow {\frac {1}{r+1}}+{\frac {1}{r(r+1)}}\\{\frac {1}{2r+1}}+{\frac {1}{2r+1}}&\Rightarrow {\frac {1}{r+1}}+{\frac {1}{(r+1)(2r+1)}}\\\end{aligned}}}
Erd%C5%91s%E2%80%93Straus_conjecture_50,{\displaystyle n=2}
Erd%C5%91s%E2%80%93Straus_conjecture_51,{\displaystyle {\tfrac {4}{2}}={\tfrac {1}{2}}+{\tfrac {1}{2}}+{\tfrac {1}{1}}}
Erd%C5%91s%E2%80%93Straus_conjecture_52,{\displaystyle x}
Erd%C5%91s%E2%80%93Straus_conjecture_53,{\displaystyle y}
Erd%C5%91s%E2%80%93Straus_conjecture_54,{\displaystyle z}
Erd%C5%91s%E2%80%93Straus_conjecture_55,{\displaystyle n}
Erd%C5%91s%E2%80%93Straus_conjecture_56,{\displaystyle n}
