name,latex
Euclidean_geometry_0,{\displaystyle A\propto L^{2}}
Euclidean_geometry_1,{\displaystyle V\propto L^{3}}
Euclidean_geometry_2,"{\displaystyle |PQ|={\sqrt {(p_{x}-q_{x})^{2}+(p_{y}-q_{y})^{2}}}\,}"
Euclidean_geometry_3,{\displaystyle n}
Euclidean_geometry_4,{\displaystyle 1}
Euclidean_geometry_5,{\displaystyle 1}
Euclidean_geometry_6,{\displaystyle 1}
Euclidean_geometry_7,{\displaystyle 1}
Euclidean_geometry_8,{\displaystyle 1}
Euclidean_geometry_9,{\displaystyle 1}
Euclidean_geometry_10,{\displaystyle {\sqrt {\tfrac {5}{2}}}\approx 1.581}
Euclidean_geometry_11,{\displaystyle {\sqrt {2}}\approx 1.414}
Euclidean_geometry_12,{\displaystyle 1}
Euclidean_geometry_13,{\displaystyle 1}
Euclidean_geometry_14,{\displaystyle {\tfrac {1}{\phi }}\approx 0.618}
Euclidean_geometry_15,{\displaystyle {\tfrac {1}{\phi ^{2}{\sqrt {2}}}}\approx 0.270}
Euclidean_geometry_16,{\displaystyle {\tfrac {1}{4}}}
Euclidean_geometry_17,{\displaystyle {\tfrac {1}{2}}}
Euclidean_geometry_18,{\displaystyle {\tfrac {1}{2}}}
Euclidean_geometry_19,{\displaystyle {\sqrt {\tfrac {1}{2}}}\approx 0.707}
Euclidean_geometry_20,{\displaystyle {\sqrt {\tfrac {\phi ^{4}}{8}}}\approx 0.926}
Euclidean_geometry_21,{\displaystyle {\sqrt {\tfrac {\phi ^{4}}{8}}}\approx 0.926}
Euclidean_geometry_22,{\displaystyle 10\left({\tfrac {5{\sqrt {3}}}{8}}\right)\approx 10.825}
Euclidean_geometry_23,{\displaystyle 32\left({\sqrt {\tfrac {3}{4}}}\right)\approx 27.713}
Euclidean_geometry_24,{\displaystyle 24}
Euclidean_geometry_25,{\displaystyle 96\left({\sqrt {\tfrac {3}{16}}}\right)\approx 41.569}
Euclidean_geometry_26,{\displaystyle 1200\left({\tfrac {\sqrt {3}}{4\phi ^{2}}}\right)\approx 198.48}
Euclidean_geometry_27,{\displaystyle 720\left({\tfrac {\sqrt {25+10{\sqrt {5}}}}{8\phi ^{4}}}\right)\approx 90.366}
Euclidean_geometry_28,{\displaystyle 5\left({\tfrac {5{\sqrt {5}}}{24}}\right)\approx 2.329}
Euclidean_geometry_29,{\displaystyle 16\left({\tfrac {1}{3}}\right)\approx 5.333}
Euclidean_geometry_30,{\displaystyle 8}
Euclidean_geometry_31,{\displaystyle 24\left({\tfrac {\sqrt {2}}{3}}\right)\approx 11.314}
Euclidean_geometry_32,{\displaystyle 600\left({\tfrac {\sqrt {2}}{12\phi ^{3}}}\right)\approx 16.693}
Euclidean_geometry_33,{\displaystyle 120\left({\tfrac {15+7{\sqrt {5}}}{4\phi ^{6}{\sqrt {8}}}}\right)\approx 18.118}
Euclidean_geometry_34,{\displaystyle {\tfrac {\sqrt {5}}{24}}\left({\tfrac {\sqrt {5}}{2}}\right)^{4}\approx 0.146}
Euclidean_geometry_35,{\displaystyle {\tfrac {2}{3}}\approx 0.667}
Euclidean_geometry_36,{\displaystyle 1}
Euclidean_geometry_37,{\displaystyle 2}
Euclidean_geometry_38,{\displaystyle {\tfrac {{\text{Short}}\times {\text{Vol}}}{4}}\approx 3.863}
Euclidean_geometry_39,{\displaystyle {\tfrac {{\text{Short}}\times {\text{Vol}}}{4}}\approx 4.193}
