name,latex
Euclidean_vector_1,"{\displaystyle {\stackrel {\,\longrightarrow }{AB}}}"
Euclidean_vector_2,"{\displaystyle {\stackrel {\,\longrightarrow }{A'B'}}}"
Euclidean_vector_3,{\displaystyle {\overrightarrow {AB}}.}
Euclidean_vector_4,"{\displaystyle {\overrightarrow {E}},}"
Euclidean_vector_5,"{\displaystyle {\overrightarrow {E}},}"
Euclidean_vector_6,{\displaystyle {\overrightarrow {E}}}
Euclidean_vector_7,{\displaystyle \mathbb {R} ^{n}}
Euclidean_vector_8,{\displaystyle \mathbb {R} ^{n}}
Euclidean_vector_9,{\displaystyle \mathbb {R} ^{n}}
Euclidean_vector_10,{\displaystyle \mathbb {R} ^{n}.}
Euclidean_vector_11,{\displaystyle {\overrightarrow {OP}}.}
Euclidean_vector_12,"{\displaystyle \mathbb {R} ^{n},}"
Euclidean_vector_13,{\displaystyle {\overrightarrow {AB}}}
Euclidean_vector_14,"{\displaystyle (1,2,3)+(-2,0,4)=(1-2,2+0,3+4)=(-1,2,7)\,.}"
Euclidean_vector_15,{\displaystyle \mathbf {u} }
Euclidean_vector_16,{\displaystyle \mathbf {v} }
Euclidean_vector_17,{\displaystyle \mathbf {w} }
Euclidean_vector_18,{\displaystyle {\vec {a}}}
Euclidean_vector_19,{\displaystyle {\underset {^{\sim }}{a}}}
Euclidean_vector_20,{\displaystyle {\stackrel {\longrightarrow }{AB}}}
Euclidean_vector_21,{\displaystyle {\mathfrak {a}}}
Euclidean_vector_22,"{\displaystyle \mathbf {a} =(2,3).}"
Euclidean_vector_23,{\displaystyle {\overrightarrow {OA}}}
Euclidean_vector_24,"{\displaystyle \mathbf {a} =(a_{1},a_{2},a_{3}).}"
Euclidean_vector_25,"{\displaystyle \mathbf {a} =(a_{x},a_{y},a_{z}).}"
Euclidean_vector_26,"{\displaystyle \mathbf {a} =(a_{1},a_{2},a_{3},\cdots ,a_{n-1},a_{n}).}"
Euclidean_vector_27,{\displaystyle \mathbf {a} ={\begin{bmatrix}a_{1}\\a_{2}\\a_{3}\\\end{bmatrix}}=[a_{1}\ a_{2}\ a_{3}]^{\operatorname {T} }.}
Euclidean_vector_28,"{\displaystyle {\mathbf {e} }_{1}=(1,0,0),\ {\mathbf {e} }_{2}=(0,1,0),\ {\mathbf {e} }_{3}=(0,0,1).}"
Euclidean_vector_29,"{\displaystyle \mathbf {a} =(a_{1},a_{2},a_{3})=a_{1}(1,0,0)+a_{2}(0,1,0)+a_{3}(0,0,1),\ }"
Euclidean_vector_30,"{\displaystyle \mathbf {a} =\mathbf {a} _{1}+\mathbf {a} _{2}+\mathbf {a} _{3}=a_{1}{\mathbf {e} }_{1}+a_{2}{\mathbf {e} }_{2}+a_{3}{\mathbf {e} }_{3},}"
Euclidean_vector_31,"{\displaystyle \mathbf {i} ,\mathbf {j} ,\mathbf {k} }"
Euclidean_vector_32,"{\displaystyle \mathbf {\hat {x}} ,\mathbf {\hat {y}} ,\mathbf {\hat {z}} }"
Euclidean_vector_33,{\displaystyle \mathbf {\hat {}} }
Euclidean_vector_34,{\displaystyle \mathbf {a} =\mathbf {a} _{x}+\mathbf {a} _{y}+\mathbf {a} _{z}=a_{x}{\mathbf {i} }+a_{y}{\mathbf {j} }+a_{z}{\mathbf {k} }.}
Euclidean_vector_35,"{\displaystyle \mathbf {\hat {x}} ,\mathbf {\hat {y}} ,\mathbf {\hat {z}} }"
Euclidean_vector_36,"{\displaystyle {\boldsymbol {\hat {\rho }}},{\boldsymbol {\hat {\phi }}},\mathbf {\hat {z}} }"
Euclidean_vector_37,"{\displaystyle \mathbf {\hat {r}} ,{\boldsymbol {\hat {\theta }}},{\boldsymbol {\hat {\phi }}}}"
