name,latex
Exponentiation_0,"{\displaystyle \scriptstyle \left.{\begin{matrix}\scriptstyle {\text{term}}\,+\,{\text{term}}\\\scriptstyle {\text{summand}}\,+\,{\text{summand}}\\\scriptstyle {\text{addend}}\,+\,{\text{addend}}\\\scriptstyle {\text{augend}}\,+\,{\text{addend}}\end{matrix}}\right\}\,=\,}"
Exponentiation_1,{\displaystyle \scriptstyle {\text{sum}}}
Exponentiation_2,"{\displaystyle \scriptstyle \left.{\begin{matrix}\scriptstyle {\text{term}}\,-\,{\text{term}}\\\scriptstyle {\text{minuend}}\,-\,{\text{subtrahend}}\end{matrix}}\right\}\,=\,}"
Exponentiation_3,{\displaystyle \scriptstyle {\text{difference}}}
Exponentiation_4,"{\displaystyle \scriptstyle \left.{\begin{matrix}\scriptstyle {\text{factor}}\,\times \,{\text{factor}}\\\scriptstyle {\text{multiplier}}\,\times \,{\text{multiplicand}}\end{matrix}}\right\}\,=\,}"
Exponentiation_5,{\displaystyle \scriptstyle {\text{product}}}
Exponentiation_6,"{\displaystyle \scriptstyle \left.{\begin{matrix}\scriptstyle {\frac {\scriptstyle {\text{dividend}}}{\scriptstyle {\text{divisor}}}}\\[1ex]\scriptstyle {\frac {\scriptstyle {\text{numerator}}}{\scriptstyle {\text{denominator}}}}\end{matrix}}\right\}\,=\,}"
Exponentiation_7,{\displaystyle \scriptstyle \left\{{\begin{matrix}\scriptstyle {\text{fraction}}\\\scriptstyle {\text{quotient}}\\\scriptstyle {\text{ratio}}\end{matrix}}\right.}
Exponentiation_8,"{\displaystyle \scriptstyle {\text{base}}^{\text{exponent}}\,=\,}"
Exponentiation_9,{\displaystyle \scriptstyle {\text{power}}}
Exponentiation_10,"{\displaystyle \scriptstyle {\sqrt[{\text{degree}}]{\scriptstyle {\text{radicand}}}}\,=\,}"
Exponentiation_11,{\displaystyle \scriptstyle {\text{root}}}
Exponentiation_12,"{\displaystyle \scriptstyle \log _{\text{base}}({\text{anti-logarithm}})\,=\,}"
Exponentiation_13,{\displaystyle \scriptstyle {\text{logarithm}}}
Exponentiation_14,{\displaystyle b^{n}=\underbrace {b\times b\times \dots \times b\times b} _{n{\text{ times}}}.}
Exponentiation_15,{\displaystyle n}
Exponentiation_16,{\displaystyle b^{n}}
Exponentiation_17,{\displaystyle n}
Exponentiation_18,{\displaystyle b}
Exponentiation_19,{\displaystyle {\begin{aligned}b^{n+m}&=\underbrace {b\times \dots \times b} _{n+m{\text{ times}}}\\[1ex]&=\underbrace {b\times \dots \times b} _{n{\text{ times}}}\times \underbrace {b\times \dots \times b} _{m{\text{ times}}}\\[1ex]&=b^{n}\times b^{m}\end{aligned}}}
Exponentiation_20,{\displaystyle b^{0}}
Exponentiation_21,{\displaystyle b\neq 0}
Exponentiation_22,{\displaystyle n}
Exponentiation_23,{\displaystyle b^{0}\times b^{n}=b^{0+n}=b^{n}}
Exponentiation_24,{\displaystyle b^{n}}
Exponentiation_25,{\displaystyle b^{0}=b^{n}/b^{n}=1}
Exponentiation_26,{\displaystyle b^{1}=b}
Exponentiation_27,{\displaystyle (b^{1})^{3}=b^{1}\times b^{1}\times b^{1}=b^{1+1+1}=b^{3}}
Exponentiation_28,{\displaystyle b^{1}=b}
Exponentiation_29,{\displaystyle b^{-1}}
Exponentiation_30,{\displaystyle b^{-1}\times b^{1}=b^{-1+1}=b^{0}=1}
Exponentiation_31,{\displaystyle b^{1}}
Exponentiation_32,{\displaystyle b^{-1}=1/b^{1}}
Exponentiation_33,{\displaystyle b^{-1}=1/b}
Exponentiation_34,{\displaystyle b^{1}=b}
Exponentiation_35,{\displaystyle b^{-n}=1/b^{n}}
Exponentiation_36,{\displaystyle {\sqrt {b}}}
Exponentiation_37,{\displaystyle r}
Exponentiation_38,{\displaystyle b^{r}={\sqrt {b}}}
Exponentiation_39,{\displaystyle {\sqrt {b}}\times {\sqrt {b}}=b}
Exponentiation_40,{\displaystyle r}
Exponentiation_41,{\displaystyle b^{r}\times b^{r}=b}
Exponentiation_42,{\displaystyle b^{r+r}=b}
Exponentiation_43,{\displaystyle b}
Exponentiation_44,{\displaystyle b^{1}}
Exponentiation_45,{\displaystyle b^{r+r}=b^{1}}
Exponentiation_46,{\displaystyle r+r=1}
Exponentiation_47,{\displaystyle r={\frac {1}{2}}}
Exponentiation_48,{\displaystyle {\sqrt {b}}=b^{1/2}}
Exponentiation_49,{\displaystyle b^{1}=b}
Exponentiation_50,{\displaystyle b^{n+1}=b^{n}\cdot b.}
Exponentiation_51,"{\displaystyle b^{m+n}=b^{m}\cdot b^{n},}"
Exponentiation_52,{\displaystyle (b^{m})^{n}=b^{mn}.}
Exponentiation_53,{\displaystyle b^{0}=1.}
Exponentiation_54,{\displaystyle b^{m+n}=b^{m}\cdot b^{n}}
Exponentiation_55,{\displaystyle n=0}
Exponentiation_56,{\displaystyle b^{-n}={\frac {1}{b^{n}}}}
Exponentiation_57,{\displaystyle \infty }
Exponentiation_58,{\displaystyle b^{m+n}=b^{m}\cdot b^{n}}
Exponentiation_59,{\displaystyle m=-n}
Exponentiation_60,{\displaystyle x^{-1}.}
Exponentiation_61,{\displaystyle {\begin{aligned}b^{m+n}&=b^{m}\cdot b^{n}\\\left(b^{m}\right)^{n}&=b^{m\cdot n}\\(b\cdot c)^{n}&=b^{n}\cdot c^{n}\end{aligned}}}
Exponentiation_62,"{\displaystyle b^{p^{q}}=b^{\left(p^{q}\right)},}"
Exponentiation_63,{\displaystyle \left(b^{p}\right)^{q}=b^{pq}.}
Exponentiation_64,{\displaystyle (a+b)^{n}=\sum _{i=0}^{n}{\binom {n}{i}}a^{i}b^{n-i}=\sum _{i=0}^{n}{\frac {n!}{i!(n-i)!}}a^{i}b^{n-i}.}
Exponentiation_65,{\displaystyle 1/0^{-n}}
Exponentiation_66,{\displaystyle 1/0}
Exponentiation_67,{\displaystyle f(x)=cx^{n}}
Exponentiation_68,{\displaystyle c\neq 0}
Exponentiation_69,{\displaystyle n}
Exponentiation_70,{\displaystyle n\geq 1}
Exponentiation_71,{\displaystyle n}
Exponentiation_72,{\displaystyle n}
Exponentiation_73,{\displaystyle c>0}
Exponentiation_74,{\displaystyle n}
Exponentiation_75,{\displaystyle f(x)=cx^{n}}
Exponentiation_76,{\displaystyle x}
