name,latex
Expression_(mathematics)_0,{\displaystyle 8x-5}
Expression_(mathematics)_1,{\displaystyle 8x-5\geq 5x-8}
Expression_(mathematics)_2,{\displaystyle 8x-5\geq 5x-8}
Expression_(mathematics)_3,{\displaystyle 3+8}
Expression_(mathematics)_4,{\displaystyle 8x-5}
Expression_(mathematics)_5,{\displaystyle 7{{x}^{2}}+4x-10}
Expression_(mathematics)_6,{\displaystyle {\frac {x-1}{{{x}^{2}}+12}}}
Expression_(mathematics)_7,"{\displaystyle f(a)+\sum _{k=1}^{n}\left.{\frac {1}{k!}}{\frac {d^{k}}{dt^{k}}}\right|_{t=0}f(u(t))+\int _{0}^{1}{\frac {(1-t)^{n}}{n!}}{\frac {d^{n+1}}{dt^{n+1}}}f(u(t))\,dt.}"
Expression_(mathematics)_8,{\displaystyle x/y}
Expression_(mathematics)_9,"{\displaystyle \left.{\frac {x}{y}}\right|_{x=10,\,y=5}=2.}"
Expression_(mathematics)_10,"{\displaystyle \sum _{n=1}^{3}(2nx),}"
Expression_(mathematics)_11,{\displaystyle \sum _{n=1}^{3}(2nx){\Biggr |}_{x=3}=36.}
Expression_(mathematics)_12,"{\displaystyle \times 4)x+,/y}"
Expression_(mathematics)_13,{\displaystyle \oplus }
