name,latex
Feynman_diagram_0,"{\displaystyle S_{\rm {fi}}=\langle \mathrm {f} |S|\mathrm {i} \rangle \;,}"
Feynman_diagram_1,"{\displaystyle S=\lim _{t_{2}\rightarrow +\infty }\lim _{t_{1}\rightarrow -\infty }U(t_{2},t_{1})\;.}"
Feynman_diagram_2,{\displaystyle S={\mathcal {T}}e^{-i\int _{-\infty }^{+\infty }d\tau H_{V}(\tau )}.}
Feynman_diagram_3,{\displaystyle S=\sum _{n=0}^{\infty }{\frac {(-i)^{n}}{n!}}\left(\prod _{j=1}^{n}\int d^{4}x_{j}\right){\mathcal {T}}\left\{\prod _{j=1}^{n}{\mathcal {H}}_{V}\left(x_{j}\right)\right\}\equiv \sum _{n=0}^{\infty }S^{(n)}\;.}
Feynman_diagram_4,{\displaystyle S=\sum _{n=0}^{\infty }{\frac {i^{n}}{n!}}\left(\prod _{j=1}^{n}\int d^{4}x_{j}\right){\mathcal {T}}\left\{\prod _{j=1}^{n}{\mathcal {L}}_{V}\left(x_{j}\right)\right\}\equiv \sum _{n=0}^{\infty }S^{(n)}\;.}
Feynman_diagram_5,"{\displaystyle {\mathcal {T}}\prod _{j=1}^{n}{\mathcal {L}}_{V}\left(x_{j}\right)=\sum _{\text{A}}(\pm ){\mathcal {N}}\prod _{j=1}^{n}{\mathcal {L}}_{V}\left(x_{j}\right)\;,}"
Feynman_diagram_6,{\displaystyle L_{v}=-g{\bar {\psi }}\gamma ^{\mu }\psi A_{\mu }}
Feynman_diagram_7,{\displaystyle A_{\mu }(x_{i})}
Feynman_diagram_8,"{\displaystyle S^{(2)}={\frac {(ie)^{2}}{2!}}\int d^{4}x\,d^{4}x'\,T{\bar {\psi }}(x)\,\gamma ^{\mu }\,\psi (x)\,A_{\mu }(x)\,{\bar {\psi }}(x')\,\gamma ^{\nu }\,\psi (x')\,A_{\nu }(x').\;}"
Feynman_diagram_9,{\displaystyle N{\bar {\psi }}(x)ie\gamma ^{\mu }\psi (x){\bar {\psi }}(x')ie\gamma ^{\nu }\psi (x')A_{\mu }(x)A_{\nu }(x')}
Feynman_diagram_10,"{\displaystyle N{\bar {\psi }}(x)\gamma ^{\mu }\psi (x){\bar {\psi }}(x')\gamma ^{\nu }\psi (x'){\underline {A_{\mu }(x)A_{\nu }(x')}}\;,}"
Feynman_diagram_11,{\displaystyle {\underline {A_{\mu }(x)A_{\nu }(x')}}=\int {\frac {d^{4}k}{(2\pi )^{4}}}{\frac {-ig_{\mu \nu }}{k^{2}+i0}}e^{-ik(x-x')}}
Feynman_diagram_12,"{\displaystyle N{\bar {\psi }}(x)\,\gamma ^{\mu }\,{\underline {\psi (x)\,{\bar {\psi }}(x')}}\,\gamma ^{\nu }\,\psi (x')\,A_{\mu }(x)\,A_{\nu }(x')\;,}"
Feynman_diagram_13,{\displaystyle {\underline {\psi (x){\bar {\psi }}(x')}}=\int {\frac {d^{4}p}{(2\pi )^{4}}}{\frac {i}{\gamma p-m+i0}}e^{-ip(x-x')}}
Feynman_diagram_14,"{\displaystyle S=\int {\tfrac {1}{2}}\partial _{\mu }\phi \partial ^{\mu }\phi \,d^{d}x\,.}"
Feynman_diagram_15,"{\displaystyle \int _{A}^{B}e^{iS}\,D\phi \,,}"
Feynman_diagram_16,"{\displaystyle \int _{A}^{B}e^{iS}\phi (x_{1})\cdots \phi (x_{n})\,D\phi =\left\langle A\left|\phi (x_{1})\cdots \phi (x_{n})\right|B\right\rangle \,,}"
Feynman_diagram_17,"{\displaystyle {\frac {\displaystyle \int e^{iS}\phi (x_{1})\cdots \phi (x_{n})\,D\phi }{\displaystyle \int e^{iS}\,D\phi }}=\left\langle 0\left|\phi (x_{1})\cdots \phi (x_{n})\right|0\right\rangle \,.}"
Feynman_diagram_18,"{\displaystyle \phi (x)=\int {\frac {dk}{(2\pi )^{d}}}\phi (k)e^{ik\cdot x}=\int _{k}\phi (k)e^{ikx}\,.}"
Feynman_diagram_19,"{\displaystyle S=\sum _{\langle x,y\rangle }{\tfrac {1}{2}}{\big (}\phi (x)-\phi (y){\big )}^{2}\,,}"
