name,latex
Fibonacci_number_0,"{\displaystyle F_{0}=0,\quad F_{1}=1,}"
Fibonacci_number_1,{\displaystyle F_{n}=F_{n-1}+F_{n-2}}
Fibonacci_number_2,{\displaystyle F_{0}=0}
Fibonacci_number_3,"{\displaystyle F_{1}=F_{2}=1,}"
Fibonacci_number_4,{\displaystyle F_{n}=F_{n-1}+F_{n-2}}
Fibonacci_number_5,"{\displaystyle F_{n}={\frac {\varphi ^{n}-\psi ^{n}}{\varphi -\psi }}={\frac {\varphi ^{n}-\psi ^{n}}{\sqrt {5}}},}"
Fibonacci_number_6,"{\displaystyle \varphi ={\frac {1+{\sqrt {5}}}{2}}\approx 1.61803\,39887\ldots }"
Fibonacci_number_7,"{\displaystyle \psi ={\frac {1-{\sqrt {5}}}{2}}=1-\varphi =-{1 \over \varphi }\approx -0.61803\,39887\ldots .}"
Fibonacci_number_8,{\displaystyle \psi =-\varphi ^{-1}}
Fibonacci_number_9,{\displaystyle F_{n}={\frac {\varphi ^{n}-(-\varphi )^{-n}}{\sqrt {5}}}={\frac {\varphi ^{n}-(-\varphi )^{-n}}{2\varphi -1}}.}
Fibonacci_number_11,"{\displaystyle x^{n}=x^{n-1}+x^{n-2},}"
Fibonacci_number_13,{\displaystyle U_{n}=a\varphi ^{n}+b\psi ^{n}}
Fibonacci_number_15,{\displaystyle \left\{{\begin{aligned}a+b&=0\\\varphi a+\psi b&=1\end{aligned}}\right.}
Fibonacci_number_16,"{\displaystyle a={\frac {1}{\varphi -\psi }}={\frac {1}{\sqrt {5}}},\quad b=-a,}"
Fibonacci_number_17,{\displaystyle U_{n}=a\varphi ^{n}+b\psi ^{n}}
Fibonacci_number_20,{\displaystyle {\frac {\varphi ^{n}}{\sqrt {5}}}}
Fibonacci_number_21,"{\displaystyle F_{n}=\left\lfloor {\frac {\varphi ^{n}}{\sqrt {5}}}\right\rceil ,\ n\geq 0.}"
Fibonacci_number_22,"{\displaystyle n(F)=\left\lfloor \log _{\varphi }{\sqrt {5}}F\right\rceil ,\ F\geq 1.}"
Fibonacci_number_23,"{\displaystyle n_{\mathrm {largest} }(F)=\left\lfloor \log _{\varphi }{\sqrt {5}}(F+1/2)\right\rfloor ,\ F\geq 0,}"
Fibonacci_number_24,{\displaystyle \log _{\varphi }(x)=\ln(x)/\ln(\varphi )=\log _{10}(x)/\log _{10}(\varphi )}
Fibonacci_number_25,{\displaystyle \ln(\varphi )=0.481211\ldots }
Fibonacci_number_26,{\displaystyle \log _{10}(\varphi )=0.208987\ldots }
Fibonacci_number_27,{\displaystyle \varphi ^{n}/{\sqrt {5}}}
Fibonacci_number_28,"{\displaystyle n\log _{10}\varphi \approx 0.2090\,n}"
