name,latex
Field_theory_(mathematics)_0,{\displaystyle {\frac {b}{a}}\cdot {\frac {a}{b}}={\frac {ba}{ab}}=1.}
Field_theory_(mathematics)_1,{\displaystyle {\begin{aligned}&{\frac {a}{b}}\cdot \left({\frac {c}{d}}+{\frac {e}{f}}\right)\\[6pt]={}&{\frac {a}{b}}\cdot \left({\frac {c}{d}}\cdot {\frac {f}{f}}+{\frac {e}{f}}\cdot {\frac {d}{d}}\right)\\[6pt]={}&{\frac {a}{b}}\cdot \left({\frac {cf}{df}}+{\frac {ed}{fd}}\right)={\frac {a}{b}}\cdot {\frac {cf+ed}{df}}\\[6pt]={}&{\frac {a(cf+ed)}{bdf}}={\frac {acf}{bdf}}+{\frac {aed}{bdf}}={\frac {ac}{bd}}+{\frac {ae}{bf}}\\[6pt]={}&{\frac {a}{b}}\cdot {\frac {c}{d}}+{\frac {a}{b}}\cdot {\frac {e}{f}}.\end{aligned}}}
Field_theory_(mathematics)_2,{\displaystyle h={\sqrt {p}}}
Field_theory_(mathematics)_3,{\displaystyle {\sqrt[{3}]{2}}}
Field_theory_(mathematics)_7,{\displaystyle {\frac {a}{b}}+{\frac {c}{d}}={\frac {ad+bc}{bd}}.}
Field_theory_(mathematics)_8,"{\displaystyle \sum _{i=k}^{\infty }a_{i}x^{i}\ (k\in \mathbb {Z} ,a_{i}\in F)}"
Field_theory_(mathematics)_9,{\displaystyle \mathbf {R} [X]/\left(X^{2}+1\right)\ {\stackrel {\cong }{\longrightarrow }}\ \mathbf {C} .}
Field_theory_(mathematics)_10,"{\displaystyle \sum _{k=0}^{n-1}a_{k}x^{k},\ \ a_{k}\in E.}"
Field_theory_(mathematics)_11,{\displaystyle x_{1}^{2}+x_{2}^{2}+\dots +x_{n}^{2}=0}
Field_theory_(mathematics)_12,{\displaystyle \operatorname {Gal} \left(\mathbf {Q} _{p}\left(p^{1/p^{\infty }}\right)\right)\cong \operatorname {Gal} \left(\mathbf {F} _{p}((t))\left(t^{1/p^{\infty }}\right)\right).}
Field_theory_(mathematics)_13,{\displaystyle {\sqrt[{n}]{~}}}
Field_theory_(mathematics)_14,{\displaystyle \operatorname {ulim} _{p\to \infty }{\overline {\mathbf {F} }}_{p}\cong \mathbf {C} .}
Field_theory_(mathematics)_16,"{\displaystyle K_{n}^{M}(F)/p=H^{n}(F,\mu _{l}^{\otimes n}).}"
Field_theory_(mathematics)_17,{\displaystyle x=a^{-1}b.}
Field_theory_(mathematics)_18,"{\displaystyle {\frac {f(x)}{g(x)}},}"
Field_theory_(mathematics)_19,{\displaystyle F=\mathbf {Q} ({\sqrt {-d}})}
