name,latex
Free_abelian_group_0,{\displaystyle \mathbb {Z} }
Free_abelian_group_1,{\displaystyle B}
Free_abelian_group_2,{\displaystyle B}
Free_abelian_group_4,{\displaystyle a_{i}}
Free_abelian_group_5,{\displaystyle b_{i}}
Free_abelian_group_6,{\displaystyle B}
Free_abelian_group_7,{\displaystyle B}
Free_abelian_group_8,{\displaystyle B}
Free_abelian_group_9,{\displaystyle B}
Free_abelian_group_10,{\displaystyle B}
Free_abelian_group_11,{\displaystyle B}
Free_abelian_group_12,{\displaystyle B}
Free_abelian_group_13,{\displaystyle B}
Free_abelian_group_14,{\displaystyle S}
Free_abelian_group_15,{\displaystyle S}
Free_abelian_group_16,{\displaystyle +}
Free_abelian_group_17,{\displaystyle +}
Free_abelian_group_18,{\displaystyle x}
Free_abelian_group_19,{\displaystyle y}
Free_abelian_group_20,{\displaystyle z}
Free_abelian_group_21,{\displaystyle S}
Free_abelian_group_22,{\displaystyle x+y=y+x}
Free_abelian_group_23,{\displaystyle (x+y)+z=x+(y+z)}
Free_abelian_group_24,{\displaystyle S}
Free_abelian_group_25,{\displaystyle S}
Free_abelian_group_26,{\displaystyle 0}
Free_abelian_group_27,{\displaystyle x}
Free_abelian_group_28,{\displaystyle x+0=0+x=x}
Free_abelian_group_29,{\displaystyle x}
Free_abelian_group_30,{\displaystyle S}
Free_abelian_group_31,{\displaystyle -x}
Free_abelian_group_32,{\displaystyle x+(-x)=0}
Free_abelian_group_33,{\displaystyle B}
Free_abelian_group_34,{\displaystyle S}
Free_abelian_group_35,{\displaystyle S}
Free_abelian_group_36,{\displaystyle b_{i}}
Free_abelian_group_37,{\displaystyle B}
Free_abelian_group_38,{\displaystyle k_{i}}
Free_abelian_group_39,{\displaystyle k_{i}}
Free_abelian_group_40,{\displaystyle b_{i}}
Free_abelian_group_41,{\displaystyle k_{i}}
Free_abelian_group_42,{\displaystyle -k_{i}}
Free_abelian_group_43,{\displaystyle -b_{i}}
Free_abelian_group_44,{\displaystyle k_{i}}
