name,latex
Function_(mathematics)_0,{\displaystyle X}
Function_(mathematics)_1,{\displaystyle \mathbb {B} }
Function_(mathematics)_2,{\displaystyle \mathbb {B} }
Function_(mathematics)_3,{\displaystyle X}
Function_(mathematics)_4,{\displaystyle \mathbb {B} ^{n}}
Function_(mathematics)_5,{\displaystyle X}
Function_(mathematics)_6,{\displaystyle X}
Function_(mathematics)_7,{\displaystyle \mathbb {Z} }
Function_(mathematics)_8,{\displaystyle \mathbb {Z} }
Function_(mathematics)_9,{\displaystyle X}
Function_(mathematics)_10,{\displaystyle X}
Function_(mathematics)_11,{\displaystyle \mathbb {R} }
Function_(mathematics)_12,{\displaystyle \mathbb {R} }
Function_(mathematics)_13,{\displaystyle X}
Function_(mathematics)_14,{\displaystyle \mathbb {R} ^{n}}
Function_(mathematics)_15,{\displaystyle X}
Function_(mathematics)_16,{\displaystyle X}
Function_(mathematics)_17,{\displaystyle \mathbb {C} }
Function_(mathematics)_18,{\displaystyle \mathbb {C} }
Function_(mathematics)_19,{\displaystyle X}
Function_(mathematics)_20,{\displaystyle \mathbb {C} ^{n}}
Function_(mathematics)_21,{\displaystyle X}
Function_(mathematics)_22,{\displaystyle f(x)=x^{2}+1;}
Function_(mathematics)_23,"{\displaystyle f(x)=x^{2}+1,}"
Function_(mathematics)_24,{\displaystyle f(4)=4^{2}+1=17.}
Function_(mathematics)_25,{\displaystyle y=f(x).}
Function_(mathematics)_26,{\displaystyle f:X\to Y.}
Function_(mathematics)_27,{\displaystyle x\mapsto y}
Function_(mathematics)_28,{\displaystyle y=f(x).}
Function_(mathematics)_29,{\displaystyle x\mapsto x^{2}.}
Function_(mathematics)_30,{\displaystyle f:\mathbb {R} \to \mathbb {R} }
Function_(mathematics)_31,{\displaystyle x\mapsto 1/f(x)}
Function_(mathematics)_32,"{\displaystyle (x,y)}"
Function_(mathematics)_33,{\displaystyle x\in X}
Function_(mathematics)_34,{\displaystyle y\in Y.}
Function_(mathematics)_35,{\displaystyle X\times Y.}
Function_(mathematics)_36,{\displaystyle x}
Function_(mathematics)_37,{\displaystyle X}
Function_(mathematics)_38,{\displaystyle y}
Function_(mathematics)_39,{\displaystyle Y}
Function_(mathematics)_40,"{\displaystyle (x,y)\in R.}"
Function_(mathematics)_41,"{\displaystyle (x,y)\in R}"
Function_(mathematics)_42,"{\displaystyle (x,z)\in R}"
Function_(mathematics)_43,{\displaystyle y=z.}
Function_(mathematics)_44,"{\displaystyle X,}"
Function_(mathematics)_45,"{\displaystyle Y,}"
Function_(mathematics)_46,{\displaystyle R}
Function_(mathematics)_47,"{\displaystyle R\subset \{(x,y)\mid x\in X,y\in Y\}}"
Function_(mathematics)_48,"{\displaystyle \forall x\in X,\exists y\in Y,\left(x,y\right)\in R\qquad }"
Function_(mathematics)_49,"{\displaystyle (x,y)\in R\land (x,z)\in R\implies y=z\qquad }"
Function_(mathematics)_50,"{\displaystyle x\in X,}"
Function_(mathematics)_51,"{\displaystyle (x,y)\in R.}"
Function_(mathematics)_52,"{\displaystyle x\in X,}"
Function_(mathematics)_53,{\displaystyle f(x)}
Function_(mathematics)_54,{\displaystyle f(x)}
Function_(mathematics)_55,{\displaystyle \mathbb {R} }
Function_(mathematics)_56,{\displaystyle f:x\mapsto f(x)}
Function_(mathematics)_57,{\displaystyle x\mapsto 1/f(x)}
Function_(mathematics)_58,{\displaystyle \mathbb {C} }
Function_(mathematics)_59,{\displaystyle z\mapsto 1/\zeta (z)}
Function_(mathematics)_60,"{\displaystyle (x,y)}"
Function_(mathematics)_61,{\displaystyle x\circ y}
Function_(mathematics)_62,"{\displaystyle (1,2,\ldots ,n).}"
Function_(mathematics)_63,"{\displaystyle f(x_{1},\ldots ,x_{n})}"
Function_(mathematics)_64,"{\displaystyle f((x_{1},\ldots ,x_{n})).}"
Function_(mathematics)_65,"{\displaystyle X_{1},\ldots ,X_{n},}"
Function_(mathematics)_66,"{\displaystyle (x_{1},\ldots ,x_{n})}"
Function_(mathematics)_67,"{\displaystyle x_{1}\in X_{1},\ldots ,x_{n}\in X_{n}}"
Function_(mathematics)_68,"{\displaystyle X_{1},\ldots ,X_{n},}"
Function_(mathematics)_69,{\displaystyle X_{1}\times \cdots \times X_{n}.}
Function_(mathematics)_70,"{\displaystyle f:U\to Y,}"
Function_(mathematics)_71,{\displaystyle U\subseteq X_{1}\times \cdots \times X_{n}.}
Function_(mathematics)_72,{\displaystyle X_{i}}
Function_(mathematics)_73,{\displaystyle \mathbb {R} }
Function_(mathematics)_74,{\displaystyle \mathbb {C} }
Function_(mathematics)_75,"{\displaystyle f(x),\quad \sin(3),\quad {\text{or}}\quad f(x^{2}+1).}"
Function_(mathematics)_76,{\displaystyle x^{2}+1}
Function_(mathematics)_77,{\displaystyle f(x)=\sin(x^{2}+1)}
Function_(mathematics)_78,{\displaystyle f(x)}
Function_(mathematics)_79,{\displaystyle x\mapsto x+1}
Function_(mathematics)_80,{\displaystyle \mathbb {R} }
Function_(mathematics)_81,{\displaystyle {\begin{aligned}\operatorname {sqr} \colon \mathbb {Z} &\to \mathbb {Z} \\x&\mapsto x^{2}.\end{aligned}}}
Function_(mathematics)_82,"{\displaystyle f:X\times X\to Y;\;(x,t)\mapsto f(x,t)}"
Function_(mathematics)_83,{\displaystyle X\to Y}
Function_(mathematics)_84,"{\displaystyle x\mapsto f(x,t_{0})}"
Function_(mathematics)_85,"{\displaystyle x\mapsto f(x,t_{0})}"
Function_(mathematics)_86,{\displaystyle f_{x}.}
Function_(mathematics)_87,{\displaystyle f_{n}}
Function_(mathematics)_88,"{\displaystyle x\mapsto f(x,t)}"
Function_(mathematics)_89,{\displaystyle f_{t}}
Function_(mathematics)_90,{\displaystyle f_{t}}
Function_(mathematics)_91,"{\displaystyle f_{t}(x)=f(x,t)}"
Function_(mathematics)_92,"{\displaystyle x,t\in X}"
Function_(mathematics)_93,"{\displaystyle x\mapsto f(x),}"
Function_(mathematics)_94,{\displaystyle a(\cdot )^{2}}
Function_(mathematics)_95,{\displaystyle x\mapsto ax^{2}}
Function_(mathematics)_98,"{\displaystyle (x,y)}"
Function_(mathematics)_99,{\displaystyle x^{2}+y^{2}}
Function_(mathematics)_100,"{\displaystyle f(x,y)=x^{2}+y^{2}}"
Function_(mathematics)_101,"{\displaystyle f(w,x,y)}"
Function_(mathematics)_102,"{\displaystyle f(w,x,y,z)}"
Function_(mathematics)_103,{\displaystyle f}
Function_(mathematics)_104,{\displaystyle x}
Function_(mathematics)_105,{\displaystyle f}
Function_(mathematics)_106,{\displaystyle f(x)}
Function_(mathematics)_107,{\displaystyle f}
Function_(mathematics)_108,{\displaystyle x}
Function_(mathematics)_109,{\displaystyle x}
Function_(mathematics)_110,{\displaystyle f(x)}
Function_(mathematics)_111,{\displaystyle f}
Function_(mathematics)_112,"{\displaystyle A=\{1,2,3\}}"
Function_(mathematics)_113,{\displaystyle f:A\to \mathbb {R} }
Function_(mathematics)_114,"{\displaystyle f(1)=2,f(2)=3,f(3)=4.}"
Function_(mathematics)_115,{\displaystyle f}
Function_(mathematics)_116,{\displaystyle f(n)=n+1}
Function_(mathematics)_117,"{\displaystyle n\in \{1,2,3\}}"
Function_(mathematics)_118,{\displaystyle \mathbb {R} }
Function_(mathematics)_119,"{\displaystyle \mathbb {R} ,}"
Function_(mathematics)_120,{\displaystyle f(x)={\sqrt {1+x^{2}}}}
