name,latex
Fundamental_theorem_of_algebra_0,"{\displaystyle x^{4}=4x-3,}"
Fundamental_theorem_of_algebra_1,"{\displaystyle -1+i{\sqrt {2}},}"
Fundamental_theorem_of_algebra_2,{\displaystyle -1-i{\sqrt {2}}.}
Fundamental_theorem_of_algebra_3,"{\displaystyle \left(x^{2}-(2+\alpha )x+1+{\sqrt {7}}+\alpha \right)\left(x^{2}-(2-\alpha )x+1+{\sqrt {7}}-\alpha \right),}"
Fundamental_theorem_of_algebra_4,{\displaystyle \alpha ={\sqrt {4+2{\sqrt {7}}}}.}
Fundamental_theorem_of_algebra_5,{\displaystyle x^{4}+a^{4}=\left(x^{2}+a{\sqrt {2}}\cdot x+a^{2}\right)\left(x^{2}-a{\sqrt {2}}\cdot x+a^{2}\right).}
Fundamental_theorem_of_algebra_6,"{\displaystyle c(x-r_{1})\cdots (x-r_{n}),}"
Fundamental_theorem_of_algebra_7,"{\displaystyle c,r_{1},\ldots ,r_{n}}"
Fundamental_theorem_of_algebra_8,"{\displaystyle r_{1},\ldots ,r_{n}}"
Fundamental_theorem_of_algebra_9,{\displaystyle r_{1}}
Fundamental_theorem_of_algebra_10,{\displaystyle x-r_{1}}
Fundamental_theorem_of_algebra_11,{\displaystyle n-1}
Fundamental_theorem_of_algebra_12,{\displaystyle {\overline {r}}}
Fundamental_theorem_of_algebra_13,{\displaystyle (x-r)(x-{\overline {r}})}
Fundamental_theorem_of_algebra_14,"{\displaystyle cp_{1}\cdots p_{k},}"
Fundamental_theorem_of_algebra_15,{\displaystyle p_{i}}
Fundamental_theorem_of_algebra_16,"{\displaystyle q=p{\overline {p}},}"
Fundamental_theorem_of_algebra_17,{\displaystyle {\overline {p}}}
Fundamental_theorem_of_algebra_18,{\displaystyle {\overline {p}}}
Fundamental_theorem_of_algebra_19,{\displaystyle {\tfrac {1}{2}}|z^{n}|<|p(z)|<{\tfrac {3}{2}}|z^{n}|}
Fundamental_theorem_of_algebra_20,"{\displaystyle p(x)=(x^{2}-ax-b)q(x)+x\,R_{p(x)}(a,b)+S_{p(x)}(a,b),}"
Fundamental_theorem_of_algebra_21,{\displaystyle p(z)=a+c_{k}(z-z_{0})^{k}+c_{k+1}(z-z_{0})^{k+1}+\cdots +c_{n}(z-z_{0})^{n}.}
Fundamental_theorem_of_algebra_22,{\displaystyle q(z)=a+c_{k}(z-z_{0})^{k}}
