name,latex
Fundamental_theorem_of_calculus_0,"{\displaystyle \int _{a}^{b}f'(t)\,dt=f(b)-f(a)}"
Fundamental_theorem_of_calculus_1,{\displaystyle y=f(x)}
Fundamental_theorem_of_calculus_2,{\displaystyle x\mapsto A(x)}
Fundamental_theorem_of_calculus_3,{\displaystyle A(x+h)-A(x)\approx f(x)\cdot h}
Fundamental_theorem_of_calculus_4,{\displaystyle A(x+h)-A(x)=f(x)\cdot h+{\text{ (Excess)}}}
Fundamental_theorem_of_calculus_5,{\displaystyle f(x)={\frac {A(x+h)-A(x)}{h}}-{\frac {\text{Excess}}{h}}.}
Fundamental_theorem_of_calculus_6,"{\displaystyle |{\text{Excess}}|\leq h\,(f(x{+}h_{1})-f(x{+}h_{2})),}"
Fundamental_theorem_of_calculus_7,{\displaystyle x+h_{1}}
Fundamental_theorem_of_calculus_8,{\displaystyle x+h_{2}}
Fundamental_theorem_of_calculus_9,"{\displaystyle \left|f(x)-{\frac {A(x+h)-A(x)}{h}}\right|={\frac {|{\text{Excess}}|}{h}}\leq {\frac {h(f(x+h_{1})-f(x+h_{2}))}{h}}=f(x{+}h_{1})-f(x{+}h_{2}),}"
Fundamental_theorem_of_calculus_10,{\displaystyle f(x)=\lim _{h\to 0}{\frac {A(x+h)-A(x)}{h}}\ {\stackrel {\text{def}}{=}}\ A'(x).}
Fundamental_theorem_of_calculus_11,{\displaystyle {\tfrac {1}{3600}}}
Fundamental_theorem_of_calculus_12,{\displaystyle {\text{distance traveled}}=\sum \left({\begin{array}{c}{\text{velocity at}}\\{\text{each time}}\end{array}}\right)\times \left({\begin{array}{c}{\text{time}}\\{\text{interval}}\end{array}}\right)=\sum v(t)\times \Delta t.}
Fundamental_theorem_of_calculus_13,{\displaystyle \Delta t}
Fundamental_theorem_of_calculus_14,"{\displaystyle F(x)=\int _{a}^{x}f(t)\,dt.}"
Fundamental_theorem_of_calculus_15,{\displaystyle F'(x)=f(x)}
Fundamental_theorem_of_calculus_16,{\displaystyle f}
Fundamental_theorem_of_calculus_17,{\displaystyle F}
Fundamental_theorem_of_calculus_18,{\displaystyle f}
Fundamental_theorem_of_calculus_19,"{\displaystyle [a,b]}"
Fundamental_theorem_of_calculus_20,{\displaystyle F}
Fundamental_theorem_of_calculus_21,{\displaystyle f}
Fundamental_theorem_of_calculus_22,"{\displaystyle [a,b]}"
Fundamental_theorem_of_calculus_23,"{\displaystyle \int _{a}^{b}f(t)\,dt=F(b)-F(a).}"
Fundamental_theorem_of_calculus_24,{\displaystyle f}
Fundamental_theorem_of_calculus_25,"{\displaystyle [a,b]}"
Fundamental_theorem_of_calculus_26,{\displaystyle F}
Fundamental_theorem_of_calculus_27,"{\displaystyle [a,b]}"
Fundamental_theorem_of_calculus_28,{\displaystyle f}
Fundamental_theorem_of_calculus_29,"{\displaystyle (a,b)}"
Fundamental_theorem_of_calculus_30,{\displaystyle F'(x)=f(x).}
Fundamental_theorem_of_calculus_31,{\displaystyle f}
Fundamental_theorem_of_calculus_32,"{\displaystyle [a,b]}"
Fundamental_theorem_of_calculus_33,"{\displaystyle \int _{a}^{b}f(x)\,dx=F(b)-F(a).}"
Fundamental_theorem_of_calculus_34,{\displaystyle f}
Fundamental_theorem_of_calculus_35,{\displaystyle F}
Fundamental_theorem_of_calculus_36,{\displaystyle f}
Fundamental_theorem_of_calculus_37,{\displaystyle f}
Fundamental_theorem_of_calculus_38,{\displaystyle F}
