name,latex
Gauge_theory_(mathematics)_0,{\displaystyle 8k-3}
Gauge_theory_(mathematics)_1,{\displaystyle k}
Gauge_theory_(mathematics)_2,{\displaystyle k=1}
Gauge_theory_(mathematics)_3,{\displaystyle z\in \mathbb {R} ^{4}}
Gauge_theory_(mathematics)_4,{\displaystyle \rho \in \mathbb {R} _{>0}}
Gauge_theory_(mathematics)_5,{\displaystyle 8-3=5}
Gauge_theory_(mathematics)_6,{\displaystyle \mathbb {CP} ^{3}}
Gauge_theory_(mathematics)_7,{\displaystyle \mathbb {R} ^{4}}
Gauge_theory_(mathematics)_8,{\displaystyle \mathbb {R} ^{4}}
Gauge_theory_(mathematics)_9,{\displaystyle {\mathcal {F}}(E)}
Gauge_theory_(mathematics)_10,{\displaystyle E}
Gauge_theory_(mathematics)_11,{\displaystyle \mathbb {Z} /2\mathbb {Z} }
Gauge_theory_(mathematics)_12,{\displaystyle G}
Gauge_theory_(mathematics)_13,{\displaystyle G}
Gauge_theory_(mathematics)_14,"{\displaystyle (P,X,\pi ,G,\rho )}"
Gauge_theory_(mathematics)_15,{\displaystyle \pi :P\to X}
Gauge_theory_(mathematics)_16,{\displaystyle G}
Gauge_theory_(mathematics)_17,{\displaystyle \rho }
Gauge_theory_(mathematics)_18,{\displaystyle G}
Gauge_theory_(mathematics)_19,{\displaystyle P}
Gauge_theory_(mathematics)_20,{\displaystyle p\in P}
Gauge_theory_(mathematics)_21,{\displaystyle \pi (pg)=\pi (p)}
Gauge_theory_(mathematics)_22,{\displaystyle g\in G}
Gauge_theory_(mathematics)_23,{\displaystyle P}
Gauge_theory_(mathematics)_24,{\displaystyle X}
Gauge_theory_(mathematics)_25,{\displaystyle x\in X}
Gauge_theory_(mathematics)_27,{\displaystyle g\mapsto pg}
Gauge_theory_(mathematics)_28,{\displaystyle P_{x}\cong G}
Gauge_theory_(mathematics)_29,{\displaystyle x}
Gauge_theory_(mathematics)_30,{\displaystyle G}
Gauge_theory_(mathematics)_31,{\displaystyle P}
Gauge_theory_(mathematics)_32,{\displaystyle p\in P_{x}}
Gauge_theory_(mathematics)_33,{\displaystyle x\in X}
Gauge_theory_(mathematics)_34,{\displaystyle G=\operatorname {U} (1)}
Gauge_theory_(mathematics)_35,{\displaystyle \dim P=n+1}
Gauge_theory_(mathematics)_36,{\displaystyle \dim X=n}
Gauge_theory_(mathematics)_37,{\displaystyle P={\mathcal {F}}(TX)}
Gauge_theory_(mathematics)_38,{\displaystyle X}
Gauge_theory_(mathematics)_39,{\displaystyle X}
Gauge_theory_(mathematics)_40,{\displaystyle P}
Gauge_theory_(mathematics)_41,"{\displaystyle \operatorname {GL} (n,\mathbb {R} )}"
Gauge_theory_(mathematics)_42,{\displaystyle \{U_{\alpha }\}}
Gauge_theory_(mathematics)_43,{\displaystyle X}
Gauge_theory_(mathematics)_44,{\displaystyle \varphi _{\alpha }:P_{U_{\alpha }}\to U_{\alpha }\times G}
Gauge_theory_(mathematics)_45,{\displaystyle \pi }
Gauge_theory_(mathematics)_46,{\displaystyle \operatorname {pr} _{1}}
Gauge_theory_(mathematics)_47,{\displaystyle g_{\alpha \beta }:U_{\alpha }\cap U_{\beta }\to G}
Gauge_theory_(mathematics)_48,"{\displaystyle \varphi _{\alpha }\circ \varphi _{\beta }^{-1}(x,g)=(x,g_{\alpha \beta }(x)g)}"
Gauge_theory_(mathematics)_49,{\displaystyle g_{\alpha \beta }(x)g_{\beta \gamma }(x)=g_{\alpha \gamma }(x)}
Gauge_theory_(mathematics)_50,{\displaystyle U_{\alpha }\cap U_{\beta }\cap U_{\gamma }}
Gauge_theory_(mathematics)_51,{\displaystyle U_{\alpha }\times G}
Gauge_theory_(mathematics)_52,{\displaystyle U_{\alpha }\cap U_{\beta }}
Gauge_theory_(mathematics)_53,{\displaystyle \bigsqcup _{\alpha }U_{\alpha }\times G}
Gauge_theory_(mathematics)_54,{\displaystyle P=\bigsqcup _{\alpha }U_{\alpha }\times G/{\sim }}
Gauge_theory_(mathematics)_55,{\displaystyle s_{\alpha }:U_{\alpha }\to P_{U_{\alpha }}}
Gauge_theory_(mathematics)_56,{\displaystyle \pi \circ s_{\alpha }=\operatorname {Id} }
Gauge_theory_(mathematics)_57,"{\displaystyle \varphi _{\alpha }(p)=(\pi (p),{\tilde {s}}_{\alpha }(p))}"
Gauge_theory_(mathematics)_58,{\displaystyle {\tilde {s}}_{\alpha }(p)\in G}
Gauge_theory_(mathematics)_59,{\displaystyle p{\tilde {s}}_{\alpha }(p)^{-1}=s_{\alpha }(\pi (p))}
Gauge_theory_(mathematics)_60,{\displaystyle E}
Gauge_theory_(mathematics)_61,{\displaystyle M}
Gauge_theory_(mathematics)_62,{\displaystyle s}
Gauge_theory_(mathematics)_63,"{\displaystyle (E,X,\pi )}"
Gauge_theory_(mathematics)_64,{\displaystyle \pi :E\to X}
Gauge_theory_(mathematics)_65,{\displaystyle \mathbb {K} ^{r}}
Gauge_theory_(mathematics)_66,"{\displaystyle \mathbb {K} =\mathbb {R} ,\mathbb {C} }"
Gauge_theory_(mathematics)_67,{\displaystyle r}
Gauge_theory_(mathematics)_68,{\displaystyle \{U_{\alpha }\}}
Gauge_theory_(mathematics)_69,{\displaystyle \varphi _{\alpha }:E_{U_{\alpha }}\to U_{\alpha }\times \mathbb {K} ^{r}}
Gauge_theory_(mathematics)_70,{\displaystyle r}
Gauge_theory_(mathematics)_71,{\displaystyle E}
Gauge_theory_(mathematics)_72,{\displaystyle r}
Gauge_theory_(mathematics)_73,"{\displaystyle e_{1},\dots ,e_{r}}"
Gauge_theory_(mathematics)_74,{\displaystyle \mathbb {K} ^{r}}
Gauge_theory_(mathematics)_75,"{\displaystyle {\boldsymbol {e}}_{1},\dots ,{\boldsymbol {e}}_{r}}"
Gauge_theory_(mathematics)_76,"{\displaystyle \varphi _{\alpha }({\boldsymbol {e}}_{i}(x))=(x,e_{i}).}"
Gauge_theory_(mathematics)_77,{\displaystyle r}
Gauge_theory_(mathematics)_78,"{\displaystyle g_{\alpha \beta }:U_{\alpha }\cap U_{\beta }\to \operatorname {GL} (r,\mathbb {K} )}"
Gauge_theory_(mathematics)_79,"{\displaystyle \varphi _{\alpha }\circ \varphi _{\beta }^{-1}(x,v)=(x,g_{\alpha \beta }(x)v).}"
Gauge_theory_(mathematics)_80,"{\displaystyle \operatorname {GL} (r,\mathbb {K} )}"
Gauge_theory_(mathematics)_81,{\displaystyle E}
Gauge_theory_(mathematics)_82,"{\displaystyle \operatorname {GL} (r,\mathbb {K} )}"
Gauge_theory_(mathematics)_83,{\displaystyle G}
Gauge_theory_(mathematics)_84,{\displaystyle P}
Gauge_theory_(mathematics)_85,{\displaystyle \rho }
Gauge_theory_(mathematics)_86,{\displaystyle G}
