name,latex
Geometric_algebra_0,{\displaystyle V}
Geometric_algebra_1,{\displaystyle V}
Geometric_algebra_2,{\displaystyle F}
Geometric_algebra_3,{\displaystyle g:V\times V\to F}
Geometric_algebra_4,"{\displaystyle (V,g)}"
Geometric_algebra_5,"{\displaystyle \operatorname {Cl} (V,g)}"
Geometric_algebra_6,"{\displaystyle \operatorname {Cl} (V,g)}"
Geometric_algebra_7,{\displaystyle g:V\times V\to F}
Geometric_algebra_8,"{\displaystyle (V,g)}"
Geometric_algebra_9,{\displaystyle F}
Geometric_algebra_10,{\displaystyle V}
Geometric_algebra_11,"{\displaystyle a^{2}=g(a,a)1}"
Geometric_algebra_12,{\displaystyle a\in V}
Geometric_algebra_13,{\displaystyle V}
Geometric_algebra_14,"{\displaystyle \operatorname {Cl} (V,g)}"
Geometric_algebra_15,"{\displaystyle \operatorname {Cl} (V,g)}"
Geometric_algebra_16,{\displaystyle V}
Geometric_algebra_17,{\displaystyle F=\mathbb {R} }
Geometric_algebra_18,"{\displaystyle {\mathcal {G}}(p,q)}"
Geometric_algebra_19,"{\displaystyle {\mathcal {G}}(p,q,r)}"
Geometric_algebra_20,{\displaystyle g}
Geometric_algebra_21,"{\displaystyle (p,q)}"
Geometric_algebra_22,"{\displaystyle (p,q,r)}"
Geometric_algebra_23,{\displaystyle \wedge }
Geometric_algebra_24,"{\displaystyle A,B,C\in {\mathcal {G}}(p,q)}"
Geometric_algebra_25,"{\displaystyle AB\in {\mathcal {G}}(p,q)}"
Geometric_algebra_26,{\displaystyle 1A=A1=A}
Geometric_algebra_27,{\displaystyle 1}
Geometric_algebra_28,{\displaystyle A(BC)=(AB)C}
Geometric_algebra_29,{\displaystyle A(B+C)=AB+AC}
Geometric_algebra_30,{\displaystyle (B+C)A=BA+CA}
Geometric_algebra_31,"{\displaystyle a^{2}=g(a,a)1}"
Geometric_algebra_32,{\displaystyle a\in V}
Geometric_algebra_33,{\displaystyle a\wedge a=0}
Geometric_algebra_34,{\displaystyle a\in V}
Geometric_algebra_35,"{\displaystyle g(a,a)}"
Geometric_algebra_36,{\displaystyle g}
Geometric_algebra_37,{\displaystyle a}
Geometric_algebra_38,{\displaystyle a^{2}\neq 0}
Geometric_algebra_39,{\displaystyle a^{-1}}
Geometric_algebra_40,"{\displaystyle g(a,a)^{-1}a}"
Geometric_algebra_41,{\displaystyle u}
Geometric_algebra_42,{\displaystyle V}
Geometric_algebra_43,{\displaystyle u^{2}=1}
Geometric_algebra_44,{\displaystyle \textstyle {\frac {1}{2}}(1+u)}
Geometric_algebra_45,{\displaystyle \mathbb {R} }
Geometric_algebra_46,{\displaystyle V}
Geometric_algebra_47,"{\displaystyle \mathbb {R} \to {\mathcal {G}}(p,q)}"
Geometric_algebra_48,"{\displaystyle V\to {\mathcal {G}}(p,q)}"
Geometric_algebra_49,{\displaystyle \mathbb {R} }
Geometric_algebra_50,{\displaystyle V}
Geometric_algebra_51,{\displaystyle a}
Geometric_algebra_52,{\displaystyle b}
Geometric_algebra_53,{\displaystyle ab}
Geometric_algebra_54,{\displaystyle a\cdot b=0}
