name,latex
Glossary_of_graph_theory#Subgraphs_0,{\displaystyle A}
Glossary_of_graph_theory#Subgraphs_1,{\displaystyle G}
Glossary_of_graph_theory#Subgraphs_2,{\displaystyle v\in G\setminus A}
Glossary_of_graph_theory#Subgraphs_3,{\displaystyle v}
Glossary_of_graph_theory#Subgraphs_4,{\displaystyle A}
Glossary_of_graph_theory#Subgraphs_5,{\displaystyle x\leq y}
Glossary_of_graph_theory#Subgraphs_6,{\displaystyle b_{i}}
Glossary_of_graph_theory#Subgraphs_7,{\displaystyle B_{i}}
Glossary_of_graph_theory#Subgraphs_8,{\displaystyle {\bar {G}}}
Glossary_of_graph_theory#Subgraphs_9,{\displaystyle 2{\sqrt {d-1}}}
Glossary_of_graph_theory#Subgraphs_10,"{\displaystyle K_{3,3}}"
Glossary_of_graph_theory#Subgraphs_11,"{\displaystyle K_{3,3}}"
