name,latex
Group_(mathematics)_0,{\displaystyle 1}
Group_(mathematics)_1,{\displaystyle \mathbb {Z} }
Group_(mathematics)_2,{\displaystyle \mathbb {Z} }
Group_(mathematics)_3,{\displaystyle \mathbb {Z} }
Group_(mathematics)_4,"{\displaystyle \mathbb {Z} =\{\ldots ,-4,-3,-2,-1,0,1,2,3,4,\ldots \}}"
Group_(mathematics)_5,{\displaystyle a}
Group_(mathematics)_6,{\displaystyle b}
Group_(mathematics)_7,{\displaystyle a+b}
Group_(mathematics)_8,{\displaystyle +}
Group_(mathematics)_9,{\displaystyle \mathbb {Z} }
Group_(mathematics)_10,{\displaystyle a}
Group_(mathematics)_11,{\displaystyle b}
Group_(mathematics)_12,{\displaystyle c}
Group_(mathematics)_13,{\displaystyle (a+b)+c=a+(b+c)}
Group_(mathematics)_14,{\displaystyle a}
Group_(mathematics)_15,{\displaystyle b}
Group_(mathematics)_16,{\displaystyle c}
Group_(mathematics)_17,{\displaystyle a}
Group_(mathematics)_18,{\displaystyle b}
Group_(mathematics)_19,{\displaystyle c}
Group_(mathematics)_20,{\displaystyle a}
Group_(mathematics)_21,{\displaystyle 0+a=a}
Group_(mathematics)_22,{\displaystyle a+0=a}
Group_(mathematics)_23,{\displaystyle a}
Group_(mathematics)_24,{\displaystyle b}
Group_(mathematics)_25,{\displaystyle a+b=0}
Group_(mathematics)_26,{\displaystyle b+a=0}
Group_(mathematics)_27,{\displaystyle b}
Group_(mathematics)_28,{\displaystyle a}
Group_(mathematics)_29,{\displaystyle -a}
Group_(mathematics)_30,{\displaystyle +}
Group_(mathematics)_31,{\displaystyle G}
Group_(mathematics)_32,{\displaystyle G}
Group_(mathematics)_33,{\displaystyle \cdot }
Group_(mathematics)_34,{\displaystyle a}
Group_(mathematics)_35,{\displaystyle b}
Group_(mathematics)_36,{\displaystyle G}
Group_(mathematics)_37,{\displaystyle G}
Group_(mathematics)_38,{\displaystyle a\cdot b}
Group_(mathematics)_39,{\displaystyle a}
Group_(mathematics)_40,{\displaystyle b}
Group_(mathematics)_41,{\displaystyle c}
Group_(mathematics)_42,{\displaystyle G}
Group_(mathematics)_43,{\displaystyle (a\cdot b)\cdot c=a\cdot (b\cdot c)}
Group_(mathematics)_44,{\displaystyle e}
Group_(mathematics)_45,{\displaystyle G}
Group_(mathematics)_46,{\displaystyle a}
Group_(mathematics)_47,{\displaystyle G}
Group_(mathematics)_48,{\displaystyle e\cdot a=a}
Group_(mathematics)_49,{\displaystyle a\cdot e=a}
Group_(mathematics)_50,{\displaystyle a}
Group_(mathematics)_51,{\displaystyle G}
Group_(mathematics)_52,{\displaystyle b}
Group_(mathematics)_53,{\displaystyle G}
Group_(mathematics)_54,{\displaystyle a\cdot b=e}
Group_(mathematics)_55,{\displaystyle b\cdot a=e}
Group_(mathematics)_56,{\displaystyle e}
Group_(mathematics)_57,{\displaystyle a}
Group_(mathematics)_58,{\displaystyle b}
Group_(mathematics)_59,{\displaystyle a}
Group_(mathematics)_60,{\displaystyle a^{-1}}
Group_(mathematics)_61,{\displaystyle \mathbb {R} }
Group_(mathematics)_62,{\displaystyle a+b}
Group_(mathematics)_63,{\displaystyle ab}
Group_(mathematics)_64,{\displaystyle \mathbb {R} }
Group_(mathematics)_65,"{\displaystyle (\mathbb {R} ,+)}"
Group_(mathematics)_66,"{\displaystyle (\mathbb {R} ,+,\cdot )}"
Group_(mathematics)_67,{\displaystyle \mathbb {R} }
Group_(mathematics)_68,{\displaystyle \mathbb {R} }
Group_(mathematics)_69,{\displaystyle \mathbb {R} }
Group_(mathematics)_70,{\displaystyle \mathbb {R} }
Group_(mathematics)_71,{\displaystyle \mathbb {R} ^{\times }}
Group_(mathematics)_73,{\displaystyle 0}
Group_(mathematics)_74,{\displaystyle x}
Group_(mathematics)_75,{\displaystyle -x}
Group_(mathematics)_76,{\displaystyle 1}
Group_(mathematics)_77,{\displaystyle x}
Group_(mathematics)_78,{\displaystyle x^{-1}}
Group_(mathematics)_79,{\displaystyle ab}
Group_(mathematics)_80,{\displaystyle a\cdot b}
Group_(mathematics)_81,{\displaystyle a\cdot b=b\cdot a}
Group_(mathematics)_82,{\displaystyle a}
Group_(mathematics)_83,{\displaystyle b}
Group_(mathematics)_84,{\displaystyle G}
Group_(mathematics)_85,{\displaystyle f\circ g}
Group_(mathematics)_86,{\displaystyle \circ }
Group_(mathematics)_87,{\displaystyle \mathrm {D} _{4}}
Group_(mathematics)_88,{\displaystyle \mathrm {id} }
Group_(mathematics)_89,{\displaystyle r_{1}}
Group_(mathematics)_90,{\displaystyle r_{2}}
Group_(mathematics)_91,{\displaystyle r_{3}}
Group_(mathematics)_92,{\displaystyle f_{\mathrm {v} }}
Group_(mathematics)_93,{\displaystyle f_{\mathrm {h} }}
Group_(mathematics)_94,{\displaystyle f_{\mathrm {d} }}
Group_(mathematics)_95,{\displaystyle f_{\mathrm {c} }}
Group_(mathematics)_96,{\displaystyle r_{1}}
Group_(mathematics)_97,{\displaystyle r_{2}}
Group_(mathematics)_98,{\displaystyle r_{3}}
Group_(mathematics)_99,{\displaystyle f_{\mathrm {v} }}
Group_(mathematics)_100,{\displaystyle f_{\mathrm {h} }}
Group_(mathematics)_101,{\displaystyle f_{\mathrm {d} }}
Group_(mathematics)_102,{\displaystyle f_{\mathrm {c} }}
Group_(mathematics)_103,{\displaystyle r_{1}}
Group_(mathematics)_104,{\displaystyle f_{\mathrm {h} }}
Group_(mathematics)_105,{\displaystyle \mathrm {D} _{4}}
Group_(mathematics)_106,{\displaystyle a}
Group_(mathematics)_107,{\displaystyle b}
Group_(mathematics)_108,{\displaystyle b\circ a}
Group_(mathematics)_109,{\displaystyle b}
Group_(mathematics)_110,{\displaystyle a}
Group_(mathematics)_111,{\displaystyle r_{3}}
Group_(mathematics)_112,{\displaystyle f_{\mathrm {h} }}
Group_(mathematics)_113,{\displaystyle f_{\mathrm {d} }}
Group_(mathematics)_114,{\displaystyle f_{\mathrm {h} }\circ r_{3}=f_{\mathrm {d} }.}
Group_(mathematics)_115,{\displaystyle \mathrm {D} _{4}}
Group_(mathematics)_116,{\displaystyle \circ }
Group_(mathematics)_117,{\displaystyle \mathrm {id} }
Group_(mathematics)_118,{\displaystyle r_{1}}
Group_(mathematics)_119,{\displaystyle r_{2}}
Group_(mathematics)_120,{\displaystyle r_{3}}
Group_(mathematics)_121,{\displaystyle f_{\mathrm {v} }}
Group_(mathematics)_122,{\displaystyle f_{\mathrm {h} }}
Group_(mathematics)_123,{\displaystyle f_{\mathrm {d} }}
Group_(mathematics)_124,{\displaystyle f_{\mathrm {c} }}
Group_(mathematics)_125,{\displaystyle \mathrm {id} }
Group_(mathematics)_126,{\displaystyle \mathrm {id} }
Group_(mathematics)_127,{\displaystyle r_{1}}
Group_(mathematics)_128,{\displaystyle r_{2}}
Group_(mathematics)_129,{\displaystyle r_{3}}
Group_(mathematics)_130,{\displaystyle f_{\mathrm {v} }}
Group_(mathematics)_131,{\displaystyle f_{\mathrm {h} }}
Group_(mathematics)_132,{\displaystyle f_{\mathrm {d} }}
Group_(mathematics)_133,{\displaystyle f_{\mathrm {c} }}
Group_(mathematics)_134,{\displaystyle r_{1}}
Group_(mathematics)_135,{\displaystyle r_{1}}
Group_(mathematics)_136,{\displaystyle r_{2}}
Group_(mathematics)_137,{\displaystyle r_{3}}
Group_(mathematics)_138,{\displaystyle \mathrm {id} }
Group_(mathematics)_139,{\displaystyle f_{\mathrm {c} }}
