name,latex
Indian_mathematics_0,{\displaystyle {\sqrt {2}}\approx 1+{\frac {1}{3}}+{\frac {1}{3\cdot 4}}-{\frac {1}{3\cdot 4\cdot 34}}=1.4142156\ldots }
Indian_mathematics_1,{\displaystyle {\sqrt {2}}\approx 1+{\frac {24}{60}}+{\frac {51}{60^{2}}}+{\frac {10}{60^{3}}}=1.41421297\ldots }
Indian_mathematics_2,{\displaystyle {n \choose 0}+{n \choose 1}+{n \choose 2}+\cdots +{n \choose n-1}+{n \choose n}=2^{n}}
Indian_mathematics_3,{\displaystyle \sin ^{2}(x)+\cos ^{2}(x)=1}
Indian_mathematics_4,{\displaystyle \sin(x)=\cos \left({\frac {\pi }{2}}-x\right)}
Indian_mathematics_5,{\displaystyle {\frac {1-\cos(2x)}{2}}=\sin ^{2}(x)}
Indian_mathematics_6,"{\displaystyle A={\sqrt {(s-a)(s-b)(s-c)(s-d)}}\,}"
Indian_mathematics_7,{\displaystyle s={\frac {a+b+c+d}{2}}.}
Indian_mathematics_8,"{\displaystyle a,b,c}"
Indian_mathematics_9,"{\displaystyle a={\frac {u^{2}}{v}}+v,\ \ b={\frac {u^{2}}{w}}+w,\ \ c={\frac {u^{2}}{v}}+{\frac {u^{2}}{w}}-(v+w)}"
Indian_mathematics_10,"{\displaystyle u,v,}"
Indian_mathematics_11,{\displaystyle w}
Indian_mathematics_12,{\displaystyle a+0=\ a}
Indian_mathematics_13,{\displaystyle a\times 0=0}
Indian_mathematics_14,{\displaystyle {\frac {0}{0}}=0}
Indian_mathematics_15,{\displaystyle \ ax^{2}+bx=c}
Indian_mathematics_16,{\displaystyle x={\frac {{\sqrt {4ac+b^{2}}}-b}{2a}}}
Indian_mathematics_17,"{\displaystyle \ x^{2}-Ny^{2}=1,}"
Indian_mathematics_18,{\displaystyle N}
Indian_mathematics_19,{\displaystyle \ (x^{2}-Ny^{2})(x'^{2}-Ny'^{2})=(xx'+Nyy')^{2}-N(xy'+x'y)^{2}}
Indian_mathematics_20,"{\displaystyle x=x_{1},\ \ y=y_{1}\ \ }"
Indian_mathematics_21,"{\displaystyle \ \ x^{2}-Ny^{2}=k_{1},}"
Indian_mathematics_22,"{\displaystyle x=x_{2},\ \ y=y_{2}\ \ }"
Indian_mathematics_23,"{\displaystyle \ \ x^{2}-Ny^{2}=k_{2},}"
