name,latex
Infinitesimal_calculus_0,"{\displaystyle \int _{a}^{b}f'(t)\,dt=f(b)-f(a)}"
Infinitesimal_calculus_1,{\displaystyle x\approx y}
Infinitesimal_calculus_2,{\displaystyle \sin(y)-\sin(x)\approx (y-x)\cos(y).}
Infinitesimal_calculus_3,{\displaystyle dx}
Infinitesimal_calculus_4,{\displaystyle dy}
Infinitesimal_calculus_5,{\displaystyle dy/dx}
Infinitesimal_calculus_6,{\displaystyle m={\frac {\text{rise}}{\text{run}}}={\frac {{\text{change in }}y}{{\text{change in }}x}}={\frac {\Delta y}{\Delta x}}.}
Infinitesimal_calculus_7,{\displaystyle m={\frac {f(a+h)-f(a)}{(a+h)-a}}={\frac {f(a+h)-f(a)}{h}}.}
Infinitesimal_calculus_8,{\displaystyle \lim _{h\to 0}{f(a+h)-f(a) \over {h}}.}
Infinitesimal_calculus_9,{\displaystyle {\begin{aligned}f'(3)&=\lim _{h\to 0}{(3+h)^{2}-3^{2} \over {h}}\\&=\lim _{h\to 0}{9+6h+h^{2}-9 \over {h}}\\&=\lim _{h\to 0}{6h+h^{2} \over {h}}\\&=\lim _{h\to 0}(6+h)\\&=6\end{aligned}}}
Infinitesimal_calculus_10,{\displaystyle {\begin{aligned}y&=x^{2}\\{\frac {dy}{dx}}&=2x.\end{aligned}}}
Infinitesimal_calculus_11,{\displaystyle {\frac {d}{dx}}(x^{2})=2x.}
Infinitesimal_calculus_12,{\displaystyle {\begin{aligned}g(t)&=t^{2}+2t+4\\{d \over dt}g(t)&=2t+2\end{aligned}}}
Infinitesimal_calculus_13,{\displaystyle \mathrm {Distance} =\mathrm {Speed} \cdot \mathrm {Time} }
Infinitesimal_calculus_14,{\displaystyle \int }
Infinitesimal_calculus_15,"{\displaystyle \int _{a}^{b}f(x)\,dx.}"
Infinitesimal_calculus_16,"{\displaystyle \int f(x)\,dx.}"
Infinitesimal_calculus_17,"{\displaystyle \int 2x\,dx=x^{2}+C.}"
Infinitesimal_calculus_18,"{\displaystyle \int _{a}^{b}f(x)\,dx=F(b)-F(a).}"
Infinitesimal_calculus_19,"{\displaystyle {\frac {d}{dx}}\int _{a}^{x}f(t)\,dt=f(x).}"
