name,latex
Integer_0,{\displaystyle \mathbb {Z} }
Integer_1,{\displaystyle \mathbb {Z} }
Integer_2,{\displaystyle \mathbb {Z} }
Integer_3,{\displaystyle \mathbb {Z} }
Integer_4,{\displaystyle \mathbb {N} }
Integer_5,{\displaystyle \mathbb {Z} }
Integer_6,{\displaystyle \mathbb {Q} }
Integer_7,{\displaystyle \mathbb {R} }
Integer_8,{\displaystyle \mathbb {Z} }
Integer_9,{\displaystyle \mathbb {Z} }
Integer_10,{\displaystyle \mathbb {Z} ^{+}}
Integer_11,{\displaystyle \mathbb {Z} _{+}}
Integer_12,{\displaystyle \mathbb {Z} ^{>}}
Integer_13,{\displaystyle \mathbb {Z} ^{0+}}
Integer_14,{\displaystyle \mathbb {Z} ^{\geq }}
Integer_15,{\displaystyle \mathbb {Z} ^{\neq }}
Integer_16,{\displaystyle \mathbb {Z} ^{*}}
Integer_17,{\displaystyle \mathbb {Z} }
Integer_18,{\displaystyle \mathbb {Z} _{p}}
Integer_19,{\displaystyle \mathbb {Z} }
Integer_20,{\displaystyle 0=\mathbb {Z} /1\mathbb {Z} }
Integer_21,{\displaystyle \mathbb {Z} /1\mathbb {Z} }
Integer_22,{\displaystyle \mathbb {Z} /p^{n}\mathbb {Z} }
Integer_23,{\displaystyle \mathbb {Z} (p^{\infty })}
Integer_24,{\displaystyle \mathbb {T} }
Integer_25,{\displaystyle \mathbb {Z} }
Integer_26,{\displaystyle \mathbb {Z} [1/p]}
Integer_27,{\displaystyle \mathbb {R} }
Integer_28,{\displaystyle \mathbb {Z} _{p}}
Integer_29,{\displaystyle \mathbb {Q} _{p}}
Integer_30,{\displaystyle \mathbb {T} _{p}}
Integer_31,{\displaystyle \mathbb {Z} }
Integer_32,{\displaystyle \mathbb {Z} }
Integer_33,{\displaystyle \mathbb {Z} }
Integer_34,{\displaystyle \mathbb {Z} }
Integer_35,{\displaystyle \mathbb {Z} }
Integer_36,{\displaystyle \mathbb {Z} }
Integer_37,{\displaystyle \mathbb {Z} }
Integer_38,{\displaystyle \mathbb {Z} }
Integer_39,{\displaystyle \mathbb {Z} }
Integer_40,{\displaystyle \mathbb {Z} }
Integer_41,{\displaystyle \mathbb {Z} }
Integer_42,{\displaystyle \mathbb {Z} }
Integer_43,{\displaystyle \mathbb {Z} }
