name,latex
Integral_equation_0,"{\displaystyle f(x_{1},x_{2},x_{3},...,x_{n};u(x_{1},x_{2},x_{3},...,x_{n});I^{1}(u),I^{2}(u),I^{3}(u),...,I^{m}(u))=0}"
Integral_equation_1,{\displaystyle I^{i}(u)}
Integral_equation_2,"{\displaystyle f(x_{1},x_{2},x_{3},...,x_{n};u(x_{1},x_{2},x_{3},...,x_{n});D^{1}(u),D^{2}(u),D^{3}(u),...,D^{m}(u))=0}"
Integral_equation_3,{\displaystyle D^{i}(u)}
Integral_equation_4,"{\displaystyle u(x)=f(x)+\lambda \int _{\alpha (x)}^{\beta (x)}K(x,t)\cdot u(t)dt}"
Integral_equation_5,"{\displaystyle u^{2}(x),\,\,cos(u(x)),\,{\text{or }}\,e^{u(x)}}"
Integral_equation_6,"{\displaystyle u(x)=f(x)+\int _{\alpha (x)}^{\beta (x)}K(x,t)\cdot u^{2}(t)dt}"
Integral_equation_7,"{\displaystyle u(x)=f(x)+\lambda \int _{a}^{x}K(x,t)\,F(x,t,u(t))\,dt,}"
Integral_equation_8,"{\displaystyle f(x)=F(x,\int _{a}^{b}K(x,y,f(x),f(y))\,dy)}"
Integral_equation_9,"{\displaystyle f(x)=g(x)+\int _{a}^{b}K(x,y,f(x),f(y))\,dy}"
Integral_equation_10,"{\displaystyle f(x)=g(x)+\int _{a}^{b}k(x,y,f(y))\,dy}"
Integral_equation_11,"{\displaystyle f(x)=g(x)+\int _{a}^{b}k(x,y)\,G(y,f(y))\,dy}"
Integral_equation_12,"{\displaystyle f(x)=\int _{a}^{b}K(x,t)\,u(t)\,dt}"
Integral_equation_13,"{\displaystyle g(t)u(t)+\lambda \int _{a}^{b}K(t,x)u(x)\,dx=f(t)}"
Integral_equation_14,{\displaystyle \mathbb {R} ^{n}}
Integral_equation_15,"{\displaystyle f(x)=\int _{a}^{b}K(x,t)\,u(t)\,dt}"
Integral_equation_16,"{\displaystyle u(x)=f(x)+\lambda \int _{a}^{b}K(x,t)\,u(t)\,dt.}"
Integral_equation_17,"{\displaystyle ({\mathcal {F}}y)(t):=\int _{t_{0}}^{T}K(t,s)\,y(s)\,ds.}"
Integral_equation_18,{\displaystyle y(t)=g(t)+\lambda ({\mathcal {F}}y)(t).}
Integral_equation_19,"{\displaystyle f(x)=\int _{a}^{x}K(x,t)\,u(t)\,dt}"
Integral_equation_20,"{\displaystyle u(x)=f(x)+\lambda \int _{a}^{x}K(x,t)\,u(t)\,dt.}"
Integral_equation_21,{\displaystyle {\mathcal {V}}:C(I)\to C(I)}
Integral_equation_22,"{\displaystyle ({\mathcal {V}}\phi )(t):=\int _{t_{0}}^{t}K(t,s)\,\phi (s)\,ds}"
Integral_equation_23,"{\displaystyle t\in I=[t_{0},T]}"
Integral_equation_24,"{\displaystyle D:=\{(t,s):0\leq s\leq t\leq T\leq \infty \}}"
Integral_equation_25,{\displaystyle ({\mathcal {V}}y)(t)=g(t)}
Integral_equation_26,{\displaystyle g(0)=0}
Integral_equation_27,{\displaystyle y(t)}
Integral_equation_28,{\displaystyle g(t)}
Integral_equation_29,{\displaystyle I}
Integral_equation_30,{\displaystyle t\in I}
Integral_equation_31,{\displaystyle y(t)=g(t)+({\mathcal {V}}y)(t).}
Integral_equation_32,"{\displaystyle u(t,x)=g(t,x)+({\mathcal {T}}u)(t,x)}"
Integral_equation_33,{\displaystyle x\in \Omega }
Integral_equation_34,{\displaystyle \Omega }
Integral_equation_35,{\displaystyle \mathbb {R} ^{d}}
Integral_equation_36,{\displaystyle {\mathcal {T}}:C(I\times \Omega )\to C(I\times \Omega )}
Integral_equation_37,"{\displaystyle ({\mathcal {T}}u)(t,x):=\int _{0}^{t}\int _{\Omega }K(t,s,x,\xi )\,G(u(s,\xi ))\,d\xi \,ds.}"
Integral_equation_38,"{\displaystyle [a,b]=I}"
Integral_equation_39,{\displaystyle f}
Integral_equation_40,{\displaystyle f}
