name,latex
Inverse_function_0,{\displaystyle X}
Inverse_function_1,{\displaystyle \mathbb {B} }
Inverse_function_2,{\displaystyle \mathbb {B} }
Inverse_function_3,{\displaystyle X}
Inverse_function_4,{\displaystyle \mathbb {B} ^{n}}
Inverse_function_5,{\displaystyle X}
Inverse_function_6,{\displaystyle X}
Inverse_function_7,{\displaystyle \mathbb {Z} }
Inverse_function_8,{\displaystyle \mathbb {Z} }
Inverse_function_9,{\displaystyle X}
Inverse_function_10,{\displaystyle X}
Inverse_function_11,{\displaystyle \mathbb {R} }
Inverse_function_12,{\displaystyle \mathbb {R} }
Inverse_function_13,{\displaystyle X}
Inverse_function_14,{\displaystyle \mathbb {R} ^{n}}
Inverse_function_15,{\displaystyle X}
Inverse_function_16,{\displaystyle X}
Inverse_function_17,{\displaystyle \mathbb {C} }
Inverse_function_18,{\displaystyle \mathbb {C} }
Inverse_function_19,{\displaystyle X}
Inverse_function_20,{\displaystyle \mathbb {C} ^{n}}
Inverse_function_21,{\displaystyle X}
Inverse_function_22,{\displaystyle f^{-1}.}
Inverse_function_23,{\displaystyle f\colon X\to Y}
Inverse_function_24,{\displaystyle f^{-1}\colon Y\to X}
Inverse_function_25,{\displaystyle y\in Y}
Inverse_function_26,{\displaystyle x\in X}
Inverse_function_27,{\displaystyle f^{-1}\colon \mathbb {R} \to \mathbb {R} }
Inverse_function_28,{\displaystyle f^{-1}(y)={\frac {y+7}{5}}.}
Inverse_function_29,{\displaystyle g(f(x))=x}
Inverse_function_30,{\displaystyle x\in X}
Inverse_function_31,{\displaystyle f(g(y))=y}
Inverse_function_32,{\displaystyle y\in Y}
Inverse_function_33,{\displaystyle g(f(x))=x}
Inverse_function_34,{\displaystyle x\in X}
Inverse_function_35,{\displaystyle f(g(y))=y}
Inverse_function_36,{\displaystyle y\in Y}
Inverse_function_37,{\displaystyle f^{-1}(y)=({\text{the unique element }}x\in X{\text{ such that }}f(x)=y)}
Inverse_function_38,{\displaystyle f^{-1}\left(f(x)\right)=x}
Inverse_function_39,{\displaystyle x\in X}
Inverse_function_40,{\displaystyle f\left(f^{-1}(y)\right)=y}
Inverse_function_41,{\displaystyle y\in Y}
Inverse_function_42,{\displaystyle f^{-1}\circ f=\operatorname {id} _{X}}
Inverse_function_43,"{\displaystyle f\circ f^{-1}=\operatorname {id} _{Y},}"
Inverse_function_44,{\displaystyle f^{\langle -1\rangle }}
Inverse_function_45,{\displaystyle \sin ^{-1}(x)=\{(-1)^{n}\arcsin(x)+\pi n:n\in \mathbb {Z} \}}
Inverse_function_46,{\displaystyle (-x)^{2}=x^{2}}
Inverse_function_47,{\displaystyle x\in \mathbb {R} }
Inverse_function_48,"{\displaystyle f\colon [0,\infty )\to [0,\infty );\ x\mapsto x^{2}}"
Inverse_function_49,{\displaystyle x\mapsto {\sqrt {x}}}
Inverse_function_50,{\displaystyle {\sqrt[{p}]{y}}}
Inverse_function_51,{\displaystyle f^{-1}}
Inverse_function_52,{\displaystyle f\colon \mathbb {R} \to \mathbb {R} }
Inverse_function_53,{\displaystyle f^{-1}(y)=({\text{the unique element }}x\in \mathbb {R} {\text{ such that }}f(x)=y)}
