name,latex
Kepler%E2%80%93Poinsot_polyhedron_0,{\displaystyle {\frac {7+3{\sqrt {5}}}{2}}=\phi ^{4}}
Kepler%E2%80%93Poinsot_polyhedron_1,"{\displaystyle 2+{\sqrt {5}}=\phi ^{3},{\frac {3+{\sqrt {5}}}{2}}=\phi ^{2},{\frac {11+5{\sqrt {5}}}{2}}=\phi ^{5}}"
Kepler%E2%80%93Poinsot_polyhedron_2,{\displaystyle \chi =V-E+F=2\ }
Kepler%E2%80%93Poinsot_polyhedron_3,{\displaystyle d_{v}}
Kepler%E2%80%93Poinsot_polyhedron_4,{\displaystyle d_{f}}
Kepler%E2%80%93Poinsot_polyhedron_5,{\displaystyle d_{v}V-E+d_{f}F=2D.}
Kepler%E2%80%93Poinsot_polyhedron_6,"{\displaystyle \left\{{\frac {5}{2}},5\right\}}"
Kepler%E2%80%93Poinsot_polyhedron_7,"{\displaystyle \left\{5,{\frac {5}{2}}\right\}}"
Kepler%E2%80%93Poinsot_polyhedron_8,"{\displaystyle \left\{{\frac {6}{1,3}}\right\}}"
Kepler%E2%80%93Poinsot_polyhedron_9,"{\displaystyle \left\{3,{\frac {5}{2}}\right\}}"
Kepler%E2%80%93Poinsot_polyhedron_10,"{\displaystyle \left\{{\frac {5}{2}},3\right\}}"
Kepler%E2%80%93Poinsot_polyhedron_11,"{\displaystyle \left\{{\frac {10}{3,5}}\right\}}"
Kepler%E2%80%93Poinsot_polyhedron_12,{\displaystyle \varphi }
Kepler%E2%80%93Poinsot_polyhedron_13,{\displaystyle \varphi +1=\varphi ^{2}}
Kepler%E2%80%93Poinsot_polyhedron_14,{\displaystyle {\frac {\text{hull midradius}}{\text{core midradius}}}}
Kepler%E2%80%93Poinsot_polyhedron_15,{\displaystyle {\frac {\text{core midradius}}{\text{hull midradius}}}}
Kepler%E2%80%93Poinsot_polyhedron_16,{\displaystyle {\frac {{\sqrt {5}}+1}{2}}=1.61803...}
Kepler%E2%80%93Poinsot_polyhedron_17,{\displaystyle {\frac {{\sqrt {5}}-1}{2}}=0.61803...}
Kepler%E2%80%93Poinsot_polyhedron_18,{\displaystyle {\frac {3+{\sqrt {5}}}{2}}=2.61803...}
Kepler%E2%80%93Poinsot_polyhedron_19,{\displaystyle {\frac {3-{\sqrt {5}}}{2}}=0.38196...}
