name,latex
Laplace%E2%80%93Runge%E2%80%93Lenz_vector_0,{\displaystyle \left|\mathbf {A} \right|=A}
Laplace%E2%80%93Runge%E2%80%93Lenz_vector_1,{\displaystyle {\mathcal {A}}}
Laplace%E2%80%93Runge%E2%80%93Lenz_vector_2,{\displaystyle \mathbf {F} (r)=-{\frac {k}{r^{2}}}\mathbf {\hat {r}} ;}
Laplace%E2%80%93Runge%E2%80%93Lenz_vector_3,{\displaystyle V(r)=-k/r}
Laplace%E2%80%93Runge%E2%80%93Lenz_vector_4,"{\displaystyle \mathbf {A} =\mathbf {p} \times \mathbf {L} -mk\mathbf {\hat {r}} ,}"
Laplace%E2%80%93Runge%E2%80%93Lenz_vector_5,{\displaystyle \mathbf {\hat {r}} }
Laplace%E2%80%93Runge%E2%80%93Lenz_vector_6,{\displaystyle \mathbf {\hat {r}} ={\frac {\mathbf {r} }{r}}}
Laplace%E2%80%93Runge%E2%80%93Lenz_vector_7,{\displaystyle E={\frac {p^{2}}{2m}}-{\frac {k}{r}}={\frac {1}{2}}mv^{2}-{\frac {k}{r}}.}
Laplace%E2%80%93Runge%E2%80%93Lenz_vector_8,{\displaystyle \mathbf {e} ={\frac {\mathbf {A} }{mk}}={\frac {1}{mk}}(\mathbf {p} \times \mathbf {L} )-\mathbf {\hat {r}} .}
Laplace%E2%80%93Runge%E2%80%93Lenz_vector_9,{\displaystyle L^{2}}
Laplace%E2%80%93Runge%E2%80%93Lenz_vector_10,{\displaystyle u\equiv {\frac {1}{r}}={\frac {km}{L^{2}}}+{\frac {A}{L^{2}}}\cos \theta }
Laplace%E2%80%93Runge%E2%80%93Lenz_vector_11,{\displaystyle \theta }
Laplace%E2%80%93Runge%E2%80%93Lenz_vector_12,"{\displaystyle \mathbf {A} \cdot \mathbf {r} =A\cdot r\cdot \cos \theta =\mathbf {r} \cdot \left(\mathbf {p} \times \mathbf {L} \right)-mkr,}"
