name,latex
Lattice_theory_0,"{\displaystyle a,b}"
Lattice_theory_2,{\displaystyle {\begin{aligned}&aRb\\\Rightarrow {}&bRa\end{aligned}}}
Lattice_theory_3,{\displaystyle {\begin{aligned}aRb{\text{ and }}&bRa\\\Rightarrow a={}&b\end{aligned}}}
Lattice_theory_4,{\displaystyle {\begin{aligned}a\neq {}&b\Rightarrow \\aRb{\text{ or }}&bRa\end{aligned}}}
Lattice_theory_5,{\displaystyle {\begin{aligned}\min S\\{\text{exists}}\end{aligned}}}
Lattice_theory_6,{\displaystyle {\begin{aligned}a\vee b\\{\text{exists}}\end{aligned}}}
Lattice_theory_7,{\displaystyle {\begin{aligned}a\wedge b\\{\text{exists}}\end{aligned}}}
Lattice_theory_8,{\displaystyle aRa}
Lattice_theory_9,{\displaystyle {\text{not }}aRa}
Lattice_theory_10,{\displaystyle {\begin{aligned}aRb\Rightarrow \\{\text{not }}bRa\end{aligned}}}
Lattice_theory_11,{\displaystyle R}
Lattice_theory_12,"{\displaystyle a,b,c,}"
Lattice_theory_13,{\displaystyle aRb}
Lattice_theory_14,{\displaystyle bRc}
Lattice_theory_15,{\displaystyle aRc.}
Lattice_theory_16,"{\displaystyle (L,\leq )}"
Lattice_theory_17,"{\displaystyle \{a,b\}\subseteq L}"
Lattice_theory_18,{\displaystyle a\vee b}
Lattice_theory_19,{\displaystyle a\wedge b}
Lattice_theory_20,"{\displaystyle \,\wedge \,}"
Lattice_theory_21,"{\displaystyle \,\vee \,}"
Lattice_theory_22,{\displaystyle a_{1}\leq a_{2}}
Lattice_theory_23,{\displaystyle b_{1}\leq b_{2}}
Lattice_theory_24,{\displaystyle a_{1}\vee b_{1}\leq a_{2}\vee b_{2}}
Lattice_theory_25,{\displaystyle a_{1}\wedge b_{1}\leq a_{2}\wedge b_{2}.}
Lattice_theory_26,"{\displaystyle H\subseteq L,}"
Lattice_theory_27,{\displaystyle H.}
Lattice_theory_28,{\displaystyle H}
Lattice_theory_29,"{\displaystyle (L,\vee ,\wedge )}"
Lattice_theory_30,{\displaystyle L}
Lattice_theory_31,{\displaystyle \vee }
Lattice_theory_32,{\displaystyle \wedge }
Lattice_theory_33,{\displaystyle L}
Lattice_theory_34,"{\displaystyle a,b\in L}"
Lattice_theory_35,{\displaystyle a\vee (a\wedge b)=a}
Lattice_theory_36,{\displaystyle a\wedge (a\vee b)=a}
Lattice_theory_37,{\displaystyle a\vee a=a}
Lattice_theory_38,{\displaystyle a\wedge a=a}
Lattice_theory_39,"{\displaystyle (L,\vee )}"
Lattice_theory_40,"{\displaystyle (L,\wedge )}"
Lattice_theory_41,{\displaystyle \vee }
Lattice_theory_42,{\displaystyle \wedge .}
Lattice_theory_43,"{\displaystyle (L,\vee ,\wedge )}"
Lattice_theory_44,"{\displaystyle (L,\vee ,\wedge ),}"
Lattice_theory_45,{\displaystyle \leq }
Lattice_theory_46,{\displaystyle L}
Lattice_theory_47,"{\displaystyle a\leq b{\text{ if }}a=a\wedge b,{\text{ or }}}"
Lattice_theory_48,"{\displaystyle a\leq b{\text{ if }}b=a\vee b,}"
Lattice_theory_49,"{\displaystyle a,b\in L.}"
Lattice_theory_50,{\displaystyle a=a\wedge b{\text{ implies }}b=b\vee (b\wedge a)=(a\wedge b)\vee b=a\vee b}
Lattice_theory_51,{\displaystyle \vee }
Lattice_theory_52,{\displaystyle \wedge .}
Lattice_theory_53,"{\displaystyle 1,}"
Lattice_theory_54,{\displaystyle \top }
Lattice_theory_55,{\displaystyle 0}
