name,latex
Leonhard_Euler_0,{\displaystyle \pi }
Leonhard_Euler_1,{\displaystyle f(x)}
Leonhard_Euler_2,{\displaystyle i}
Leonhard_Euler_3,{\displaystyle {\sqrt {-1}}}
Leonhard_Euler_4,{\displaystyle \Sigma }
Leonhard_Euler_5,{\displaystyle \Delta }
Leonhard_Euler_6,{\displaystyle e}
Leonhard_Euler_7,{\displaystyle e^{x}=\sum _{n=0}^{\infty }{x^{n} \over n!}=\lim _{n\to \infty }\left({\frac {1}{0!}}+{\frac {x}{1!}}+{\frac {x^{2}}{2!}}+\cdots +{\frac {x^{n}}{n!}}\right).}
Leonhard_Euler_8,{\displaystyle \sum _{n=1}^{\infty }{1 \over n^{2}}=\lim _{n\to \infty }\left({\frac {1}{1^{2}}}+{\frac {1}{2^{2}}}+{\frac {1}{3^{2}}}+\cdots +{\frac {1}{n^{2}}}\right)={\frac {\pi ^{2}}{6}}.}
Leonhard_Euler_9,"{\displaystyle \gamma =\lim _{n\rightarrow \infty }\left(1+{\frac {1}{2}}+{\frac {1}{3}}+{\frac {1}{4}}+\cdots +{\frac {1}{n}}-\ln(n)\right)\approx 0.5772,}"
Leonhard_Euler_10,{\displaystyle e^{i\varphi }=\cos \varphi +i\sin \varphi }
Leonhard_Euler_11,{\displaystyle e^{i\pi }+1=0}
Leonhard_Euler_13,{\displaystyle V-E+F=2}
Leonhard_Euler_14,{\displaystyle {\textbf {F}}={\frac {d}{dt}}(m{\textbf {v}})}
Leonhard_Euler_15,"{\displaystyle ds=\sum _{i}(k_{i}p_{i}-k_{i})+1,}"
Leonhard_Euler_16,{\displaystyle {\frac {a+b^{n}}{n}}=x}
