name,latex
Lie_group_0,{\displaystyle \mathbb {Z} }
Lie_group_1,{\displaystyle \mathbb {Z} }
Lie_group_2,{\displaystyle \mathbb {Z} }
Lie_group_3,{\displaystyle G}
Lie_group_4,{\displaystyle {\text{GL}}_{n}(\mathbb {R} )}
Lie_group_5,{\displaystyle {\text{GL}}_{n}(\mathbb {C} )}
Lie_group_6,{\displaystyle n\times n}
Lie_group_7,{\displaystyle \mathbb {R} }
Lie_group_8,{\displaystyle \mathbb {C} }
Lie_group_9,{\displaystyle \mathbb {R} ^{3}}
Lie_group_10,"{\displaystyle \mu :G\times G\to G\quad \mu (x,y)=xy}"
Lie_group_11,"{\displaystyle (x,y)\mapsto x^{-1}y}"
Lie_group_12,"{\displaystyle \operatorname {GL} (2,\mathbf {R} )=\left\{A={\begin{pmatrix}a&b\\c&d\end{pmatrix}}:\,\det A=ad-bc\neq 0\right\}.}"
Lie_group_13,{\displaystyle \mathbb {R} ^{4}}
Lie_group_14,{\displaystyle \varphi }
Lie_group_15,"{\displaystyle \operatorname {SO} (2,\mathbf {R} )=\left\{{\begin{pmatrix}\cos \varphi &-\sin \varphi \\\sin \varphi &\cos \varphi \end{pmatrix}}:\,\varphi \in \mathbf {R} /2\pi \mathbf {Z} \right\}.}"
Lie_group_16,{\displaystyle 2\times 2}
Lie_group_17,"{\displaystyle A=\left({\begin{array}{cc}a&b\\0&1\end{array}}\right),\quad a>0,\,b\in \mathbb {R} .}"
Lie_group_18,"{\displaystyle H=\left\{\left({\begin{matrix}e^{2\pi i\theta }&0\\0&e^{2\pi ia\theta }\end{matrix}}\right):\,\theta \in \mathbb {R} \right\}\subset \mathbb {T} ^{2}=\left\{\left({\begin{matrix}e^{2\pi i\theta }&0\\0&e^{2\pi i\phi }\end{matrix}}\right):\,\theta ,\phi \in \mathbb {R} \right\},}"
Lie_group_19,{\displaystyle a\in \mathbb {R} \setminus \mathbb {Q} }
Lie_group_20,{\displaystyle \mathbb {T} ^{2}}
