name,latex
Logarithm_0,"{\displaystyle \scriptstyle \left.{\begin{matrix}\scriptstyle {\text{term}}\,+\,{\text{term}}\\\scriptstyle {\text{summand}}\,+\,{\text{summand}}\\\scriptstyle {\text{addend}}\,+\,{\text{addend}}\\\scriptstyle {\text{augend}}\,+\,{\text{addend}}\end{matrix}}\right\}\,=\,}"
Logarithm_1,{\displaystyle \scriptstyle {\text{sum}}}
Logarithm_2,"{\displaystyle \scriptstyle \left.{\begin{matrix}\scriptstyle {\text{term}}\,-\,{\text{term}}\\\scriptstyle {\text{minuend}}\,-\,{\text{subtrahend}}\end{matrix}}\right\}\,=\,}"
Logarithm_3,{\displaystyle \scriptstyle {\text{difference}}}
Logarithm_4,"{\displaystyle \scriptstyle \left.{\begin{matrix}\scriptstyle {\text{factor}}\,\times \,{\text{factor}}\\\scriptstyle {\text{multiplier}}\,\times \,{\text{multiplicand}}\end{matrix}}\right\}\,=\,}"
Logarithm_5,{\displaystyle \scriptstyle {\text{product}}}
Logarithm_6,"{\displaystyle \scriptstyle \left.{\begin{matrix}\scriptstyle {\frac {\scriptstyle {\text{dividend}}}{\scriptstyle {\text{divisor}}}}\\[1ex]\scriptstyle {\frac {\scriptstyle {\text{numerator}}}{\scriptstyle {\text{denominator}}}}\end{matrix}}\right\}\,=\,}"
Logarithm_7,{\displaystyle \scriptstyle \left\{{\begin{matrix}\scriptstyle {\text{fraction}}\\\scriptstyle {\text{quotient}}\\\scriptstyle {\text{ratio}}\end{matrix}}\right.}
Logarithm_8,"{\displaystyle \scriptstyle {\text{base}}^{\text{exponent}}\,=\,}"
Logarithm_9,{\displaystyle \scriptstyle {\text{power}}}
Logarithm_10,"{\displaystyle \scriptstyle {\sqrt[{\text{degree}}]{\scriptstyle {\text{radicand}}}}\,=\,}"
Logarithm_11,{\displaystyle \scriptstyle {\text{root}}}
Logarithm_12,"{\displaystyle \scriptstyle \log _{\text{base}}({\text{anti-logarithm}})\,=\,}"
Logarithm_13,{\displaystyle \scriptstyle {\text{logarithm}}}
Logarithm_14,"{\displaystyle \log _{b}(xy)=\log _{b}x+\log _{b}y,}"
Logarithm_15,{\displaystyle b^{y}=x.}
Logarithm_16,{\displaystyle 2^{3}=8.}
Logarithm_17,{\displaystyle y=\log _{b}x}
Logarithm_18,{\displaystyle x=b^{y}}
Logarithm_19,"{\displaystyle \log _{b}(xy)=\log _{b}x+\log _{b}y,}"
Logarithm_20,{\displaystyle b^{y}=x}
Logarithm_21,{\displaystyle x\mapsto b^{x}}
Logarithm_24,"{\displaystyle x=b^{\,\log _{b}x}}"
Logarithm_25,"{\displaystyle y=b^{\,\log _{b}y}}"
Logarithm_34,{\displaystyle \log _{b}x={\frac {\log _{k}x}{\log _{k}b}}.}
Logarithm_35,{\displaystyle \log _{b}x={\frac {\log _{10}x}{\log _{10}b}}={\frac {\log _{e}x}{\log _{e}b}}.}
Logarithm_36,"{\displaystyle b=x^{\frac {1}{y}},}"
Logarithm_37,"{\displaystyle x=b^{\,\log _{b}x}=b^{y}}"
Logarithm_38,{\displaystyle {\tfrac {1}{y}}.}
Logarithm_39,{\displaystyle \ \log _{10}(\ 10\ x\ )\ =\ \log _{10}10\ +\ \log _{10}x\ =\ 1\ +\ \log _{10}x~.}
Logarithm_41,{\displaystyle \log(\cos \theta +i\sin \theta )=i\theta .}
Logarithm_42,{\displaystyle \log _{10}3542=\log _{10}(1000\cdot 3.542)=3+\log _{10}3.542\approx 3+\log _{10}3.54}
Logarithm_43,{\displaystyle \log _{10}3542\approx 3+\log _{10}3.54+0.2(\log _{10}3.55-\log _{10}3.54)}
Logarithm_44,"{\displaystyle cd=10^{\,\log _{10}c}\,10^{\,\log _{10}d}=10^{\,\log _{10}c\,+\,\log _{10}d}}"
Logarithm_45,"{\displaystyle {\frac {c}{d}}=cd^{-1}=10^{\,\log _{10}c\,-\,\log _{10}d}.}"
Logarithm_46,"{\displaystyle c^{d}=\left(10^{\,\log _{10}c}\right)^{d}=10^{\,d\log _{10}c}}"
Logarithm_47,{\displaystyle {\sqrt[{d}]{c}}=c^{\frac {1}{d}}=10^{{\frac {1}{d}}\log _{10}c}.}
Logarithm_48,{\displaystyle \mathbb {R} }
Logarithm_49,{\displaystyle \mathbb {R} _{>0}}
Logarithm_50,{\displaystyle \mathbb {R} }
Logarithm_51,{\displaystyle \mathbb {R} _{>0}}
Logarithm_52,{\displaystyle b^{x}=y}
Logarithm_53,{\displaystyle \log _{b}\colon \mathbb {R} _{>0}\to \mathbb {R} }
Logarithm_54,{\displaystyle b^{x}=y}
Logarithm_55,{\displaystyle \log _{b}(xy)=\log _{b}x+\log _{b}y.}
Logarithm_56,{\displaystyle f(xy)=f(x)+f(y).}
Logarithm_57,{\displaystyle x\mapsto b^{x}}
Logarithm_58,{\displaystyle {\frac {d}{dx}}\log _{b}x={\frac {1}{x\ln b}}.}
Logarithm_59,{\displaystyle {\frac {d}{dx}}\ln f(x)={\frac {f'(x)}{f(x)}}.}
Logarithm_60,"{\displaystyle \int \ln(x)\,dx=x\ln(x)-x+C.}"
Logarithm_61,"{\displaystyle \ln t=\int _{1}^{t}{\frac {1}{x}}\,dx.}"
Logarithm_62,"{\displaystyle \ln(tu)=\int _{1}^{tu}{\frac {1}{x}}\,dx\ {\stackrel {(1)}{=}}\int _{1}^{t}{\frac {1}{x}}\,dx+\int _{t}^{tu}{\frac {1}{x}}\,dx\ {\stackrel {(2)}{=}}\ln(t)+\int _{1}^{u}{\frac {1}{w}}\,dw=\ln(t)+\ln(u).}"
Logarithm_63,"{\displaystyle \ln(t^{r})=\int _{1}^{t^{r}}{\frac {1}{x}}dx=\int _{1}^{t}{\frac {1}{w^{r}}}\left(rw^{r-1}\,dw\right)=r\int _{1}^{t}{\frac {1}{w}}\,dw=r\ln(t).}"
Logarithm_64,"{\displaystyle 1+{\frac {1}{2}}+{\frac {1}{3}}+\cdots +{\frac {1}{n}}=\sum _{k=1}^{n}{\frac {1}{k}},}"
Logarithm_65,"{\displaystyle \sum _{k=1}^{n}{\frac {1}{k}}-\ln(n),}"
Logarithm_66,{\displaystyle {\sqrt {2-{\sqrt {3}}}}}
Logarithm_67,{\displaystyle \log _{2}\left(x^{2}\right)=2\log _{2}|x|.}
Logarithm_68,{\displaystyle {\begin{aligned}\ln(z)&={\frac {(z-1)^{1}}{1}}-{\frac {(z-1)^{2}}{2}}+{\frac {(z-1)^{3}}{3}}-{\frac {(z-1)^{4}}{4}}+\cdots \\&=\sum _{k=1}^{\infty }(-1)^{k+1}{\frac {(z-1)^{k}}{k}}.\end{aligned}}}
Logarithm_69,"{\displaystyle (z-1),\ \ (z-1)-{\frac {(z-1)^{2}}{2}},\ \ (z-1)-{\frac {(z-1)^{2}}{2}}+{\frac {(z-1)^{3}}{3}},\ \ldots }"
Logarithm_70,{\displaystyle \ln(1+z)=z-{\frac {z^{2}}{2}}+{\frac {z^{3}}{3}}-\cdots \approx z.}
Logarithm_71,"{\displaystyle \ln(z)=2\cdot \operatorname {artanh} \,{\frac {z-1}{z+1}}=2\left({\frac {z-1}{z+1}}+{\frac {1}{3}}{\left({\frac {z-1}{z+1}}\right)}^{3}+{\frac {1}{5}}{\left({\frac {z-1}{z+1}}\right)}^{5}+\cdots \right),}"
Logarithm_72,{\displaystyle \ln(z)=2\sum _{k=0}^{\infty }{\frac {1}{2k+1}}\left({\frac {z-1}{z+1}}\right)^{2k+1}.}
Logarithm_73,"{\displaystyle A={\frac {z}{\exp(y)}},}"
Logarithm_74,{\displaystyle \ln(z)=y+\ln(A).}
Logarithm_75,{\displaystyle \textstyle z={\frac {n+1}{n}}}
Logarithm_76,{\displaystyle \ln(n+1)=\ln(n)+2\sum _{k=0}^{\infty }{\frac {1}{2k+1}}\left({\frac {1}{2n+1}}\right)^{2k+1}.}
Logarithm_78,"{\displaystyle \ln(x)\approx {\frac {\pi }{2\,\mathrm {M} \!\left(1,2^{2-m}/x\right)}}-m\ln(2).}"
Logarithm_80,"{\displaystyle x\,2^{m}>2^{p/2}.\,}"
Logarithm_81,{\displaystyle k}
Logarithm_82,"{\displaystyle S=-k\sum _{i}p_{i}\ln(p_{i}).\,}"
Logarithm_83,{\displaystyle {\frac {466}{440}}\approx {\frac {493}{466}}\approx 1.059\approx {\sqrt[{12}]{2}}.}
Logarithm_84,{\displaystyle 2^{\frac {1}{72}}\approx 1.0097}
Logarithm_85,{\displaystyle 2^{\frac {1}{12}}\approx 1.0595}
Logarithm_86,{\displaystyle {\tfrac {5}{4}}=1.25}
Logarithm_87,{\displaystyle {\begin{aligned}2^{\frac {4}{12}}&={\sqrt[{3}]{2}}\\&\approx 1.2599\end{aligned}}}
Logarithm_88,{\displaystyle {\begin{aligned}2^{\frac {6}{12}}&={\sqrt {2}}\\&\approx 1.4142\end{aligned}}}
Logarithm_89,{\displaystyle 2^{\frac {12}{12}}=2}
Logarithm_90,{\displaystyle \log _{\sqrt[{12}]{2}}(r)=12\log _{2}(r)}
Logarithm_91,{\displaystyle {\tfrac {1}{6}}}
Logarithm_92,{\displaystyle 1}
Logarithm_93,{\displaystyle \approx 3.8631}
Logarithm_94,{\displaystyle 4}
Logarithm_95,{\displaystyle 6}
Logarithm_96,{\displaystyle 12}
Logarithm_97,{\displaystyle \log _{\sqrt[{1200}]{2}}(r)=1200\log _{2}(r)}
Logarithm_98,{\displaystyle 16{\tfrac {2}{3}}}
Logarithm_99,{\displaystyle 100}
Logarithm_100,{\displaystyle \approx 386.31}
Logarithm_101,{\displaystyle 400}
Logarithm_102,{\displaystyle 600}
Logarithm_103,{\displaystyle 1200}
