name,latex
Mathematical_function_0,{\displaystyle X}
Mathematical_function_1,{\displaystyle \mathbb {B} }
Mathematical_function_2,{\displaystyle \mathbb {B} }
Mathematical_function_3,{\displaystyle X}
Mathematical_function_4,{\displaystyle \mathbb {B} ^{n}}
Mathematical_function_5,{\displaystyle X}
Mathematical_function_6,{\displaystyle X}
Mathematical_function_7,{\displaystyle \mathbb {Z} }
Mathematical_function_8,{\displaystyle \mathbb {Z} }
Mathematical_function_9,{\displaystyle X}
Mathematical_function_10,{\displaystyle X}
Mathematical_function_11,{\displaystyle \mathbb {R} }
Mathematical_function_12,{\displaystyle \mathbb {R} }
Mathematical_function_13,{\displaystyle X}
Mathematical_function_14,{\displaystyle \mathbb {R} ^{n}}
Mathematical_function_15,{\displaystyle X}
Mathematical_function_16,{\displaystyle X}
Mathematical_function_17,{\displaystyle \mathbb {C} }
Mathematical_function_18,{\displaystyle \mathbb {C} }
Mathematical_function_19,{\displaystyle X}
Mathematical_function_20,{\displaystyle \mathbb {C} ^{n}}
Mathematical_function_21,{\displaystyle X}
Mathematical_function_22,{\displaystyle f(x)=x^{2}+1;}
Mathematical_function_23,"{\displaystyle f(x)=x^{2}+1,}"
Mathematical_function_24,{\displaystyle f(4)=4^{2}+1=17.}
Mathematical_function_25,{\displaystyle y=f(x).}
Mathematical_function_26,{\displaystyle f:X\to Y.}
Mathematical_function_27,{\displaystyle x\mapsto y}
Mathematical_function_28,{\displaystyle y=f(x).}
Mathematical_function_29,{\displaystyle x\mapsto x^{2}.}
Mathematical_function_30,{\displaystyle f:\mathbb {R} \to \mathbb {R} }
Mathematical_function_31,{\displaystyle x\mapsto 1/f(x)}
Mathematical_function_32,"{\displaystyle (x,y)}"
Mathematical_function_33,{\displaystyle x\in X}
Mathematical_function_34,{\displaystyle y\in Y.}
Mathematical_function_35,{\displaystyle X\times Y.}
Mathematical_function_36,{\displaystyle x}
Mathematical_function_37,{\displaystyle X}
Mathematical_function_38,{\displaystyle y}
Mathematical_function_39,{\displaystyle Y}
Mathematical_function_40,"{\displaystyle (x,y)\in R.}"
Mathematical_function_41,"{\displaystyle (x,y)\in R}"
Mathematical_function_42,"{\displaystyle (x,z)\in R}"
Mathematical_function_43,{\displaystyle y=z.}
Mathematical_function_44,"{\displaystyle X,}"
Mathematical_function_45,"{\displaystyle Y,}"
Mathematical_function_46,{\displaystyle R}
Mathematical_function_47,"{\displaystyle R\subset \{(x,y)\mid x\in X,y\in Y\}}"
Mathematical_function_48,"{\displaystyle \forall x\in X,\exists y\in Y,\left(x,y\right)\in R\qquad }"
Mathematical_function_49,"{\displaystyle (x,y)\in R\land (x,z)\in R\implies y=z\qquad }"
Mathematical_function_50,"{\displaystyle x\in X,}"
Mathematical_function_51,"{\displaystyle (x,y)\in R.}"
Mathematical_function_52,"{\displaystyle x\in X,}"
Mathematical_function_53,{\displaystyle f(x)}
Mathematical_function_54,{\displaystyle f(x)}
Mathematical_function_55,{\displaystyle \mathbb {R} }
Mathematical_function_56,{\displaystyle f:x\mapsto f(x)}
Mathematical_function_57,{\displaystyle x\mapsto 1/f(x)}
Mathematical_function_58,{\displaystyle \mathbb {C} }
Mathematical_function_59,{\displaystyle z\mapsto 1/\zeta (z)}
Mathematical_function_60,"{\displaystyle (x,y)}"
Mathematical_function_61,{\displaystyle x\circ y}
Mathematical_function_62,"{\displaystyle (1,2,\ldots ,n).}"
Mathematical_function_63,"{\displaystyle f(x_{1},\ldots ,x_{n})}"
Mathematical_function_64,"{\displaystyle f((x_{1},\ldots ,x_{n})).}"
Mathematical_function_65,"{\displaystyle X_{1},\ldots ,X_{n},}"
Mathematical_function_66,"{\displaystyle (x_{1},\ldots ,x_{n})}"
Mathematical_function_67,"{\displaystyle x_{1}\in X_{1},\ldots ,x_{n}\in X_{n}}"
Mathematical_function_68,"{\displaystyle X_{1},\ldots ,X_{n},}"
Mathematical_function_69,{\displaystyle X_{1}\times \cdots \times X_{n}.}
Mathematical_function_70,"{\displaystyle f:U\to Y,}"
Mathematical_function_71,{\displaystyle U\subseteq X_{1}\times \cdots \times X_{n}.}
Mathematical_function_72,{\displaystyle X_{i}}
Mathematical_function_73,{\displaystyle \mathbb {R} }
Mathematical_function_74,{\displaystyle \mathbb {C} }
Mathematical_function_75,"{\displaystyle f(x),\quad \sin(3),\quad {\text{or}}\quad f(x^{2}+1).}"
Mathematical_function_76,{\displaystyle x^{2}+1}
Mathematical_function_77,{\displaystyle f(x)=\sin(x^{2}+1)}
Mathematical_function_78,{\displaystyle f(x)}
Mathematical_function_79,{\displaystyle x\mapsto x+1}
Mathematical_function_80,{\displaystyle \mathbb {R} }
Mathematical_function_81,{\displaystyle {\begin{aligned}\operatorname {sqr} \colon \mathbb {Z} &\to \mathbb {Z} \\x&\mapsto x^{2}.\end{aligned}}}
Mathematical_function_82,"{\displaystyle f:X\times X\to Y;\;(x,t)\mapsto f(x,t)}"
Mathematical_function_83,{\displaystyle X\to Y}
Mathematical_function_84,"{\displaystyle x\mapsto f(x,t_{0})}"
Mathematical_function_85,"{\displaystyle x\mapsto f(x,t_{0})}"
Mathematical_function_86,{\displaystyle f_{x}.}
Mathematical_function_87,{\displaystyle f_{n}}
Mathematical_function_88,"{\displaystyle x\mapsto f(x,t)}"
Mathematical_function_89,{\displaystyle f_{t}}
Mathematical_function_90,{\displaystyle f_{t}}
Mathematical_function_91,"{\displaystyle f_{t}(x)=f(x,t)}"
Mathematical_function_92,"{\displaystyle x,t\in X}"
Mathematical_function_93,"{\displaystyle x\mapsto f(x),}"
Mathematical_function_94,{\displaystyle a(\cdot )^{2}}
Mathematical_function_95,{\displaystyle x\mapsto ax^{2}}
Mathematical_function_98,"{\displaystyle (x,y)}"
Mathematical_function_99,{\displaystyle x^{2}+y^{2}}
Mathematical_function_100,"{\displaystyle f(x,y)=x^{2}+y^{2}}"
Mathematical_function_101,"{\displaystyle f(w,x,y)}"
Mathematical_function_102,"{\displaystyle f(w,x,y,z)}"
Mathematical_function_103,{\displaystyle f}
Mathematical_function_104,{\displaystyle x}
Mathematical_function_105,{\displaystyle f}
Mathematical_function_106,{\displaystyle f(x)}
Mathematical_function_107,{\displaystyle f}
Mathematical_function_108,{\displaystyle x}
Mathematical_function_109,{\displaystyle x}
Mathematical_function_110,{\displaystyle f(x)}
Mathematical_function_111,{\displaystyle f}
Mathematical_function_112,"{\displaystyle A=\{1,2,3\}}"
Mathematical_function_113,{\displaystyle f:A\to \mathbb {R} }
Mathematical_function_114,"{\displaystyle f(1)=2,f(2)=3,f(3)=4.}"
Mathematical_function_115,{\displaystyle f}
Mathematical_function_116,{\displaystyle f(n)=n+1}
Mathematical_function_117,"{\displaystyle n\in \{1,2,3\}}"
Mathematical_function_118,{\displaystyle \mathbb {R} }
Mathematical_function_119,"{\displaystyle \mathbb {R} ,}"
Mathematical_function_120,{\displaystyle f(x)={\sqrt {1+x^{2}}}}
Mathematical_function_121,{\displaystyle f:\mathbb {R} \to \mathbb {R} }
Mathematical_function_122,"{\displaystyle \mathbb {R} ,}"
Mathematical_function_123,{\displaystyle 1+x^{2}}
Mathematical_function_124,{\displaystyle f(x)={\sqrt {1-x^{2}}}}
Mathematical_function_125,"{\displaystyle f(x)=ax^{2}+bx+c,}"
Mathematical_function_126,{\displaystyle f(x)=x^{3}-3x-1}
Mathematical_function_127,{\displaystyle f(x)=(x-1)(x^{3}+1)+2x^{2}-1}
Mathematical_function_128,{\displaystyle x}
Mathematical_function_129,"{\displaystyle f(x)={\frac {x-1}{x+1}},}"
Mathematical_function_130,{\displaystyle f(x)={\frac {1}{x+1}}+{\frac {3}{x}}-{\frac {2}{x-1}}.}
Mathematical_function_131,"{\displaystyle f:X\to Y,}"
Mathematical_function_132,{\displaystyle f^{-1}:Y\to X}
Mathematical_function_133,{\displaystyle y\in Y}
Mathematical_function_134,{\displaystyle x\in X}
Mathematical_function_135,{\displaystyle f:X\to Y}
Mathematical_function_136,{\displaystyle E\subseteq X}
Mathematical_function_137,{\displaystyle F\subseteq Y}
Mathematical_function_138,"{\displaystyle x\in E,}"
Mathematical_function_139,{\displaystyle y\in Y}
Mathematical_function_140,"{\displaystyle x\in E,}"
Mathematical_function_141,"{\displaystyle f:E\to Y,}"
Mathematical_function_142,{\displaystyle x^{2}+y^{2}=1}
Mathematical_function_143,"{\displaystyle y=\pm {\sqrt {1-x^{2}}},}"
Mathematical_function_144,{\displaystyle y^{5}+y+x=0}
Mathematical_function_145,{\displaystyle \mathbb {R} }
Mathematical_function_147,{\displaystyle n\mapsto n!}
Mathematical_function_148,"{\displaystyle n!=n(n-1)!\quad {\text{for}}\quad n>0,}"
Mathematical_function_149,{\displaystyle 0!=1.}
Mathematical_function_150,"{\displaystyle f:X\to Y,}"
Mathematical_function_151,"{\displaystyle G=\{(x,f(x))\mid x\in X\}.}"
Mathematical_function_152,"{\displaystyle (x,y)\in G}"
Mathematical_function_153,"{\displaystyle x\mapsto x^{2},}"
Mathematical_function_154,"{\displaystyle (x,x^{2})}"
Mathematical_function_155,"{\displaystyle x\in \mathbb {R} ,}"
Mathematical_function_156,"{\displaystyle x\mapsto x^{2},}"
Mathematical_function_157,"{\displaystyle (r,\theta )=(x,x^{2}),}"
Mathematical_function_158,"{\displaystyle f:\{1,\ldots ,5\}^{2}\to \mathbb {R} }"
Mathematical_function_159,"{\displaystyle f(x,y)=xy}"
Mathematical_function_162,{\displaystyle X\neq Y}
Mathematical_function_163,"{\displaystyle f:X\to Y,}"
