name,latex
Mathematical_notation_0,{\displaystyle E=mc^{2}}
Mathematical_notation_1,{\displaystyle \aleph }
Mathematical_notation_2,"{\displaystyle r,R,\mathbb {R} ,{\mathcal {R}},{\mathfrak {r}},}"
Mathematical_notation_3,{\displaystyle {\mathfrak {R}}}
Mathematical_notation_4,{\displaystyle \sin }
Mathematical_notation_5,{\displaystyle {\hat {f'_{1}}}}
Mathematical_notation_6,{\displaystyle f_{1}.}
Mathematical_notation_7,"{\displaystyle (+,-,/,\oplus ,\ldots ),}"
Mathematical_notation_8,"{\displaystyle (=,<,\leq ,\sim ,\equiv ,\ldots ),}"
Mathematical_notation_9,"{\displaystyle (\implies ,\land ,\lor ,\ldots ),}"
Mathematical_notation_10,"{\displaystyle (\forall ,\exists ),}"
Mathematical_notation_11,{\displaystyle 3+2}
Mathematical_notation_12,{\displaystyle +}
Mathematical_notation_13,{\displaystyle 5.}
Mathematical_notation_14,{\displaystyle 3+2}
Mathematical_notation_15,{\displaystyle 5}
Mathematical_notation_16,{\displaystyle 3+2=5.}
Mathematical_notation_19,"{\displaystyle x,y,z}"
Mathematical_notation_20,"{\displaystyle a,b,c}"
Mathematical_notation_21,"{\displaystyle f(x),}"
Mathematical_notation_23,{\displaystyle \sum _{n=0}^{\infty }{\frac {{\begin{bmatrix}a&b\\c&d\end{bmatrix}}^{n}}{n!}}.}
