name,latex
Mathematical_proof_0,{\displaystyle x}
Mathematical_proof_1,{\displaystyle x^{2}}
Mathematical_proof_2,{\displaystyle x}
Mathematical_proof_3,{\displaystyle x}
Mathematical_proof_4,{\displaystyle x}
Mathematical_proof_5,{\displaystyle x^{2}=x\cdot x}
Mathematical_proof_6,{\displaystyle x^{2}}
Mathematical_proof_7,{\displaystyle x^{2}}
Mathematical_proof_8,{\displaystyle x}
Mathematical_proof_9,{\displaystyle {\sqrt {2}}}
Mathematical_proof_10,{\displaystyle {\sqrt {2}}}
Mathematical_proof_11,{\displaystyle {\sqrt {2}}={a \over b}}
Mathematical_proof_12,{\displaystyle b{\sqrt {2}}=a}
Mathematical_proof_13,{\displaystyle {\sqrt {2}}}
Mathematical_proof_14,{\displaystyle {\sqrt {2}}}
Mathematical_proof_15,{\displaystyle a^{b}}
Mathematical_proof_16,{\displaystyle {\sqrt {2}}}
Mathematical_proof_17,{\displaystyle {\sqrt {2}}^{\sqrt {2}}}
Mathematical_proof_18,{\displaystyle {\sqrt {2}}^{\sqrt {2}}}
Mathematical_proof_19,{\displaystyle a=b={\sqrt {2}}}
Mathematical_proof_20,{\displaystyle {\sqrt {2}}^{\sqrt {2}}}
Mathematical_proof_21,{\displaystyle a={\sqrt {2}}^{\sqrt {2}}}
Mathematical_proof_22,{\displaystyle b={\sqrt {2}}}
Mathematical_proof_23,{\displaystyle \left({\sqrt {2}}^{\sqrt {2}}\right)^{\sqrt {2}}={\sqrt {2}}^{2}=2}
Mathematical_proof_24,{\displaystyle a^{b}.}
