name,latex
Maxwell%27s_equations_0,"{\displaystyle {\begin{aligned}\nabla \cdot \mathbf {E} \,\,\,&={\frac {\rho }{\varepsilon _{0}}}\\\nabla \cdot \mathbf {B} \,\,\,&=0\\\nabla \times \mathbf {E} &=-{\frac {\partial \mathbf {B} }{\partial t}}\\\nabla \times \mathbf {B} &=\mu _{0}\left(\mathbf {J} +\varepsilon _{0}{\frac {\partial \mathbf {E} }{\partial t}}\right)\end{aligned}}}"
Maxwell%27s_equations_1,{\displaystyle \mathbf {E} }
Maxwell%27s_equations_2,{\displaystyle \mathbf {B} }
Maxwell%27s_equations_3,{\displaystyle \rho }
Maxwell%27s_equations_4,{\displaystyle \mathbf {J} }
Maxwell%27s_equations_5,{\displaystyle \varepsilon _{0}}
Maxwell%27s_equations_6,{\displaystyle \mu _{0}}
Maxwell%27s_equations_7,{\displaystyle c={\frac {1}{\sqrt {\varepsilon _{0}\mu _{0}}}}}
Maxwell%27s_equations_8,"{\displaystyle {\frac {\mathrm {d} }{\mathrm {d} t}}\iint _{\Sigma }\mathbf {B} \cdot \mathrm {d} \mathbf {S} =\iint _{\Sigma }{\frac {\partial \mathbf {B} }{\partial t}}\cdot \mathrm {d} \mathbf {S} \,,}"
Maxwell%27s_equations_9,{\displaystyle {\vphantom {\int }}_{\scriptstyle \partial \Omega }}
Maxwell%27s_equations_10,{\displaystyle \iiint _{\Omega }}
Maxwell%27s_equations_11,{\displaystyle \oint _{\partial \Sigma }}
Maxwell%27s_equations_12,{\displaystyle \iint _{\Sigma }}
Maxwell%27s_equations_13,"{\displaystyle Q=\iiint _{\Omega }\rho \ \mathrm {d} V,}"
Maxwell%27s_equations_14,"{\displaystyle \Phi _{B}=\iint _{\Sigma }\mathbf {B} \cdot \mathrm {d} \mathbf {S} ,}"
Maxwell%27s_equations_15,"{\displaystyle \Phi _{E}=\iint _{\Sigma }\mathbf {E} \cdot \mathrm {d} \mathbf {S} ,}"
Maxwell%27s_equations_16,"{\displaystyle I=\iint _{\Sigma }\mathbf {J} \cdot \mathrm {d} \mathbf {S} ,}"
Maxwell%27s_equations_17,"{\displaystyle {\vphantom {\oint }}_{\scriptstyle \partial \Omega }\mathbf {E} \cdot \mathrm {d} \mathbf {S} ={\frac {1}{\varepsilon _{0}}}\iiint _{\Omega }\rho \,\mathrm {d} V}"
Maxwell%27s_equations_18,{\displaystyle \nabla \cdot \mathbf {E} ={\frac {\rho }{\varepsilon _{0}}}}
Maxwell%27s_equations_19,{\displaystyle {\vphantom {\oint }}_{\scriptstyle \partial \Omega }\mathbf {B} \cdot \mathrm {d} \mathbf {S} =0}
Maxwell%27s_equations_20,{\displaystyle \nabla \cdot \mathbf {B} =0}
Maxwell%27s_equations_21,{\displaystyle \oint _{\partial \Sigma }\mathbf {E} \cdot \mathrm {d} {\boldsymbol {\ell }}=-{\frac {\mathrm {d} }{\mathrm {d} t}}\iint _{\Sigma }\mathbf {B} \cdot \mathrm {d} \mathbf {S} }
Maxwell%27s_equations_22,{\displaystyle \nabla \times \mathbf {E} =-{\frac {\partial \mathbf {B} }{\partial t}}}
Maxwell%27s_equations_23,{\displaystyle {\begin{aligned}\oint _{\partial \Sigma }&\mathbf {B} \cdot \mathrm {d} {\boldsymbol {\ell }}=\mu _{0}\left(\iint _{\Sigma }\mathbf {J} \cdot \mathrm {d} \mathbf {S} +\varepsilon _{0}{\frac {\mathrm {d} }{\mathrm {d} t}}\iint _{\Sigma }\mathbf {E} \cdot \mathrm {d} \mathbf {S} \right)\\\end{aligned}}}
Maxwell%27s_equations_24,{\displaystyle \nabla \times \mathbf {B} =\mu _{0}\left(\mathbf {J} +\varepsilon _{0}{\frac {\partial \mathbf {E} }{\partial t}}\right)}
Maxwell%27s_equations_25,"{\displaystyle {\vphantom {\oint }}_{\scriptstyle \partial \Omega }\mathbf {E} \cdot \mathrm {d} \mathbf {S} =4\pi \iiint _{\Omega }\rho \,\mathrm {d} V}"
Maxwell%27s_equations_26,{\displaystyle \nabla \cdot \mathbf {E} =4\pi \rho }
Maxwell%27s_equations_27,{\displaystyle {\vphantom {\oint }}_{\scriptstyle \partial \Omega }\mathbf {B} \cdot \mathrm {d} \mathbf {S} =0}
Maxwell%27s_equations_28,{\displaystyle \nabla \cdot \mathbf {B} =0}
Maxwell%27s_equations_29,{\displaystyle \oint _{\partial \Sigma }\mathbf {E} \cdot \mathrm {d} {\boldsymbol {\ell }}=-{\frac {1}{c}}{\frac {\mathrm {d} }{\mathrm {d} t}}\iint _{\Sigma }\mathbf {B} \cdot \mathrm {d} \mathbf {S} }
Maxwell%27s_equations_30,{\displaystyle \nabla \times \mathbf {E} =-{\frac {1}{c}}{\frac {\partial \mathbf {B} }{\partial t}}}
Maxwell%27s_equations_31,{\displaystyle {\begin{aligned}\oint _{\partial \Sigma }&\mathbf {B} \cdot \mathrm {d} {\boldsymbol {\ell }}={\frac {1}{c}}\left(4\pi \iint _{\Sigma }\mathbf {J} \cdot \mathrm {d} \mathbf {S} +{\frac {\mathrel {\mathrm {d} }}{\mathrm {d} t}}\iint _{\Sigma }\mathbf {E} \cdot \mathrm {d} \mathbf {S} \right)\end{aligned}}}
Maxwell%27s_equations_32,{\displaystyle \nabla \times \mathbf {B} ={\frac {1}{c}}\left(4\pi \mathbf {J} +{\frac {\partial \mathbf {E} }{\partial t}}\right)}
Maxwell%27s_equations_33,"{\displaystyle {\vphantom {\oint }}_{\scriptstyle \partial \Omega }\mathbf {E} \cdot \mathrm {d} \mathbf {S} =\iiint _{\Omega }\nabla \cdot \mathbf {E} \,\mathrm {d} V}"
Maxwell%27s_equations_34,"{\displaystyle \iiint _{\Omega }\left(\nabla \cdot \mathbf {E} -{\frac {\rho }{\varepsilon _{0}}}\right)\,\mathrm {d} V=0}"
Maxwell%27s_equations_35,"{\displaystyle {\vphantom {\oint }}_{\scriptstyle \partial \Omega }\mathbf {B} \cdot \mathrm {d} \mathbf {S} =\iiint _{\Omega }\nabla \cdot \mathbf {B} \,\mathrm {d} V=0.}"
Maxwell%27s_equations_36,{\displaystyle \nabla \cdot \mathbf {B} =0}
Maxwell%27s_equations_37,"{\displaystyle \oint _{\partial \Sigma }\mathbf {B} \cdot \mathrm {d} {\boldsymbol {\ell }}=\iint _{\Sigma }(\nabla \times \mathbf {B} )\cdot \mathrm {d} \mathbf {S} ,}"
Maxwell%27s_equations_38,{\displaystyle \iint _{\Sigma }\left(\nabla \times \mathbf {B} -\mu _{0}\left(\mathbf {J} +\varepsilon _{0}{\frac {\partial \mathbf {E} }{\partial t}}\right)\right)\cdot \mathrm {d} \mathbf {S} =0.}
Maxwell%27s_equations_39,{\displaystyle 0=\nabla \cdot (\nabla \times \mathbf {B} )=\nabla \cdot \left(\mu _{0}\left(\mathbf {J} +\varepsilon _{0}{\frac {\partial \mathbf {E} }{\partial t}}\right)\right)=\mu _{0}\left(\nabla \cdot \mathbf {J} +\varepsilon _{0}{\frac {\partial }{\partial t}}\nabla \cdot \mathbf {E} \right)=\mu _{0}\left(\nabla \cdot \mathbf {J} +{\frac {\partial \rho }{\partial t}}\right)}
Maxwell%27s_equations_40,{\displaystyle {\frac {\partial \rho }{\partial t}}+\nabla \cdot \mathbf {J} =0.}
Maxwell%27s_equations_41,{\displaystyle {\frac {d}{dt}}Q_{\Omega }={\frac {d}{dt}}\iiint _{\Omega }\rho \mathrm {d} V=-}
Maxwell%27s_equations_42,{\displaystyle {\scriptstyle \partial \Omega }}
Maxwell%27s_equations_43,{\displaystyle \mathbf {J} \cdot {\rm {d}}\mathbf {S} =-I_{\partial \Omega }.}
Maxwell%27s_equations_44,"{\displaystyle {\begin{aligned}\nabla \cdot \mathbf {E} &=0,&\nabla \times \mathbf {E} &=-{\frac {\partial \mathbf {B} }{\partial t}},\\\nabla \cdot \mathbf {B} &=0,&\nabla \times \mathbf {B} &=\mu _{0}\varepsilon _{0}{\frac {\partial \mathbf {E} }{\partial t}}.\end{aligned}}}"
Maxwell%27s_equations_45,"{\displaystyle {\begin{aligned}\mu _{0}\varepsilon _{0}{\frac {\partial ^{2}\mathbf {E} }{\partial t^{2}}}-\nabla ^{2}\mathbf {E} =0,\\\mu _{0}\varepsilon _{0}{\frac {\partial ^{2}\mathbf {B} }{\partial t^{2}}}-\nabla ^{2}\mathbf {B} =0.\end{aligned}}}"
Maxwell%27s_equations_46,{\displaystyle \mu _{0}\varepsilon _{0}}
Maxwell%27s_equations_47,{\displaystyle c=(\mu _{0}\varepsilon _{0})^{-1/2}}
