name,latex
Measure_theory_0,{\displaystyle A}
Measure_theory_1,"{\displaystyle B,}"
Measure_theory_2,{\displaystyle A}
Measure_theory_3,{\displaystyle B.}
Measure_theory_4,{\displaystyle \mu }
Measure_theory_5,{\displaystyle X}
Measure_theory_6,{\displaystyle \Sigma }
Measure_theory_7,{\displaystyle \sigma }
Measure_theory_8,{\displaystyle X.}
Measure_theory_9,{\displaystyle \mu }
Measure_theory_10,{\displaystyle \Sigma }
Measure_theory_11,"{\displaystyle E\in \Sigma ,\ \ \mu (E)\geq 0.}"
Measure_theory_13,{\displaystyle \sigma }
Measure_theory_14,{\displaystyle \{E_{k}\}_{k=1}^{\infty }}
Measure_theory_15,{\displaystyle \mu \left(\bigcup _{k=1}^{\infty }E_{k}\right)=\sum _{k=1}^{\infty }\mu (E_{k}).}
Measure_theory_16,{\displaystyle E}
Measure_theory_20,{\displaystyle \mu }
Measure_theory_21,"{\displaystyle \pm \infty ,}"
Measure_theory_22,{\displaystyle \mu }
Measure_theory_23,"{\displaystyle (X,\Sigma )}"
Measure_theory_24,{\displaystyle \Sigma }
Measure_theory_25,"{\displaystyle (X,\Sigma ,\mu )}"
Measure_theory_26,{\displaystyle \mu (X)=1.}
Measure_theory_27,{\displaystyle \mu (S)}
Measure_theory_28,{\displaystyle S.}
Measure_theory_29,{\displaystyle \mathbb {R} }
Measure_theory_30,{\displaystyle \mathbb {R} }
Measure_theory_31,"{\displaystyle \mu ([0,1])=1}"
Measure_theory_32,{\displaystyle S.}
Measure_theory_33,{\displaystyle a}
Measure_theory_34,{\displaystyle \mu }
Measure_theory_35,{\displaystyle E_{1}}
Measure_theory_36,{\displaystyle E_{2}}
Measure_theory_37,{\displaystyle E_{1}\subseteq E_{2}}
Measure_theory_38,{\displaystyle \mu (E_{1})\leq \mu (E_{2}).}
Measure_theory_39,"{\displaystyle E_{1},E_{2},E_{3},\ldots }"
Measure_theory_40,{\displaystyle E_{n}}
Measure_theory_41,{\displaystyle \Sigma :}
Measure_theory_42,{\displaystyle \mu \left(\bigcup _{i=1}^{\infty }E_{i}\right)\leq \sum _{i=1}^{\infty }\mu (E_{i}).}
Measure_theory_43,"{\displaystyle E_{1},E_{2},E_{3},\ldots }"
Measure_theory_44,{\displaystyle E_{1}\subseteq E_{2}\subseteq E_{3}\subseteq \ldots }
Measure_theory_45,{\displaystyle E_{n}}
Measure_theory_46,{\displaystyle \mu \left(\bigcup _{i=1}^{\infty }E_{i}\right)~=~\lim _{i\to \infty }\mu (E_{i})=\sup _{i\geq 1}\mu (E_{i}).}
Measure_theory_47,"{\displaystyle E_{1},E_{2},E_{3},\ldots }"
Measure_theory_48,{\displaystyle E_{1}\supseteq E_{2}\supseteq E_{3}\supseteq \ldots }
Measure_theory_49,{\displaystyle E_{n}}
Measure_theory_50,{\displaystyle E_{n}}
Measure_theory_51,{\displaystyle \mu \left(\bigcap _{i=1}^{\infty }E_{i}\right)=\lim _{i\to \infty }\mu (E_{i})=\inf _{i\geq 1}\mu (E_{i}).}
Measure_theory_52,{\displaystyle E_{n}}
Measure_theory_53,"{\displaystyle n\in \mathbb {N} ,}"
Measure_theory_54,"{\displaystyle E_{n}=[n,\infty )\subseteq \mathbb {R} ,}"
Measure_theory_55,{\displaystyle X}
Measure_theory_56,{\displaystyle \mu (X)=0.}
Measure_theory_57,{\displaystyle Y}
Measure_theory_58,"{\displaystyle X,}"
Measure_theory_59,{\displaystyle X}
Measure_theory_60,{\displaystyle Y}
Measure_theory_61,{\displaystyle \mu (Y)}
Measure_theory_62,{\displaystyle \mu (X).}
Measure_theory_63,"{\displaystyle f:X\to [0,+\infty ]}"
Measure_theory_64,"{\displaystyle (\Sigma ,{\cal {B}}([0,+\infty ]))}"
Measure_theory_65,{\displaystyle \mu \{x\in X:f(x)\geq t\}=\mu \{x\in X:f(x)>t\}}
Measure_theory_66,"{\displaystyle t\in [-\infty ,\infty ].}"
Measure_theory_67,{\displaystyle F(t):=\mu \{x\in X:f(x)>t\}}
Measure_theory_68,{\displaystyle G(t):=\mu \{x\in X:f(x)\geq t\}}
Measure_theory_69,"{\displaystyle t,}"
Measure_theory_70,{\displaystyle t<0}
Measure_theory_71,"{\displaystyle \{x\in X:f(x)\geq t\}=X=\{x\in X:f(x)>t\},}"
Measure_theory_72,"{\displaystyle F(t)=G(t),}"
Measure_theory_73,{\displaystyle t}
Measure_theory_74,{\displaystyle \mu \{x\in X:f(x)>t\}=+\infty }
Measure_theory_75,"{\displaystyle \mu \{x\in X:f(x)\geq t\}=+\infty ,}"
Measure_theory_76,"{\displaystyle F(t)=G(t),}"
Measure_theory_77,{\displaystyle \mu \{x\in X:f(x)>t\}=+\infty }
Measure_theory_78,{\displaystyle t}
Measure_theory_79,"{\displaystyle t_{0}\in \{-\infty \}\cup [0,+\infty )}"
Measure_theory_80,{\displaystyle F}
Measure_theory_81,{\displaystyle t}
Measure_theory_82,{\displaystyle t_{0}\geq 0}
Measure_theory_83,{\displaystyle \mu \{x\in X:f(x)\geq t\}=+\infty }
Measure_theory_84,{\displaystyle t<t_{0}.}
Measure_theory_85,{\displaystyle t_{0}\geq 0}
