name,latex
Multiple_(mathematics)_0,{\displaystyle b/a}
Multiple_(mathematics)_1,{\displaystyle 14=7\times 2;}
Multiple_(mathematics)_2,{\displaystyle 49=7\times 7;}
Multiple_(mathematics)_3,{\displaystyle -21=7\times (-3);}
Multiple_(mathematics)_4,{\displaystyle 0=7\times 0;}
Multiple_(mathematics)_5,"{\displaystyle 3=7\times (3/7),\quad 3/7}"
Multiple_(mathematics)_6,"{\displaystyle -6=7\times (-6/7),\quad -6/7}"
Multiple_(mathematics)_7,{\displaystyle 0=0\cdot b}
Multiple_(mathematics)_8,{\displaystyle n}
Multiple_(mathematics)_9,{\displaystyle n}
Multiple_(mathematics)_10,{\displaystyle n}
Multiple_(mathematics)_11,{\displaystyle n\times 1}
Multiple_(mathematics)_12,{\displaystyle n}
Multiple_(mathematics)_13,{\displaystyle a}
Multiple_(mathematics)_14,{\displaystyle b}
Multiple_(mathematics)_15,"{\displaystyle x,}"
Multiple_(mathematics)_16,{\displaystyle a+b}
Multiple_(mathematics)_17,{\displaystyle a-b}
Multiple_(mathematics)_18,{\displaystyle x}
