name,latex
Multiplication_0,"{\displaystyle \scriptstyle \left.{\begin{matrix}\scriptstyle {\text{term}}\,+\,{\text{term}}\\\scriptstyle {\text{summand}}\,+\,{\text{summand}}\\\scriptstyle {\text{addend}}\,+\,{\text{addend}}\\\scriptstyle {\text{augend}}\,+\,{\text{addend}}\end{matrix}}\right\}\,=\,}"
Multiplication_1,{\displaystyle \scriptstyle {\text{sum}}}
Multiplication_2,"{\displaystyle \scriptstyle \left.{\begin{matrix}\scriptstyle {\text{term}}\,-\,{\text{term}}\\\scriptstyle {\text{minuend}}\,-\,{\text{subtrahend}}\end{matrix}}\right\}\,=\,}"
Multiplication_3,{\displaystyle \scriptstyle {\text{difference}}}
Multiplication_4,"{\displaystyle \scriptstyle \left.{\begin{matrix}\scriptstyle {\text{factor}}\,\times \,{\text{factor}}\\\scriptstyle {\text{multiplier}}\,\times \,{\text{multiplicand}}\end{matrix}}\right\}\,=\,}"
Multiplication_5,{\displaystyle \scriptstyle {\text{product}}}
Multiplication_6,"{\displaystyle \scriptstyle \left.{\begin{matrix}\scriptstyle {\frac {\scriptstyle {\text{dividend}}}{\scriptstyle {\text{divisor}}}}\\[1ex]\scriptstyle {\frac {\scriptstyle {\text{numerator}}}{\scriptstyle {\text{denominator}}}}\end{matrix}}\right\}\,=\,}"
Multiplication_7,{\displaystyle \scriptstyle \left\{{\begin{matrix}\scriptstyle {\text{fraction}}\\\scriptstyle {\text{quotient}}\\\scriptstyle {\text{ratio}}\end{matrix}}\right.}
Multiplication_8,"{\displaystyle \scriptstyle {\text{base}}^{\text{exponent}}\,=\,}"
Multiplication_9,{\displaystyle \scriptstyle {\text{power}}}
Multiplication_10,"{\displaystyle \scriptstyle {\sqrt[{\text{degree}}]{\scriptstyle {\text{radicand}}}}\,=\,}"
Multiplication_11,{\displaystyle \scriptstyle {\text{root}}}
Multiplication_12,"{\displaystyle \scriptstyle \log _{\text{base}}({\text{anti-logarithm}})\,=\,}"
Multiplication_13,{\displaystyle \scriptstyle {\text{logarithm}}}
Multiplication_14,{\displaystyle a\times b=\underbrace {b+\cdots +b} _{a{\text{ times}}}.}
Multiplication_15,{\displaystyle 3\times 4}
Multiplication_16,{\displaystyle 3\times 4=4+4+4=12.}
Multiplication_17,{\displaystyle 4\times 3=3+3+3+3=12.}
Multiplication_18,{\displaystyle \times }
Multiplication_19,"{\displaystyle 2\times 3=6,}"
Multiplication_20,"{\displaystyle 3\times 4=12,}"
Multiplication_21,"{\displaystyle 2\times 3\times 5=6\times 5=30,}"
Multiplication_22,{\displaystyle 2\times 2\times 2\times 2\times 2=32.}
Multiplication_23,{\displaystyle 5\cdot 2}
Multiplication_24,{\displaystyle xy}
Multiplication_25,{\displaystyle x}
Multiplication_26,{\displaystyle y}
Multiplication_27,{\displaystyle 5x}
Multiplication_28,{\displaystyle x}
Multiplication_29,{\displaystyle 5(2)}
Multiplication_30,{\displaystyle (5)2}
Multiplication_31,{\displaystyle (5)(2)}
Multiplication_32,{\displaystyle 3xy^{2}}
Multiplication_33,{\displaystyle 2\times \pi }
Multiplication_34,{\displaystyle \pi }
Multiplication_35,{\displaystyle 5133\times 486\times \pi }
Multiplication_36,"{\displaystyle r,s\in \mathbb {N} }"
Multiplication_37,{\displaystyle r\cdot s\equiv \sum _{i=1}^{s}r=\underbrace {r+r+\cdots +r} _{s{\text{ times}}}\equiv \sum _{j=1}^{r}s=\underbrace {s+s+\cdots +s} _{r{\text{ times}}}.}
Multiplication_38,{\displaystyle {\begin{array}{|c|c c|}\hline \times &+&-\\\hline +&+&-\\-&-&+\\\hline \end{array}}}
Multiplication_39,"{\displaystyle {\frac {z}{n}}\cdot {\frac {z'}{n'}}={\frac {z\cdot z'}{n\cdot n'}},}"
Multiplication_40,"{\displaystyle n,n'\neq 0}"
Multiplication_41,{\displaystyle \pi }
Multiplication_42,"{\displaystyle \{3,\;3.1,\;3.14,\;3,141,\ldots \}.}"
Multiplication_43,{\displaystyle a=\sup _{x\in A}x}
Multiplication_44,"{\displaystyle b=\sup _{y\in B}y,}"
Multiplication_45,"{\displaystyle a\cdot b=\sup _{x\in A,y\in B}x\cdot y.}"
Multiplication_46,{\displaystyle i^{2}=-1}
Multiplication_47,"{\displaystyle {\begin{aligned}(a+b\,i)\cdot (c+d\,i)&=a\cdot c+a\cdot d\,i+b\,i\cdot c+b\cdot d\cdot i^{2}\\&=(a\cdot c-b\cdot d)+(a\cdot d+b\cdot c)\,i\end{aligned}}}"
Multiplication_48,"{\displaystyle a+b\,i=r\cdot (\cos(\varphi )+i\sin(\varphi ))=r\cdot e^{i\varphi }}"
