name,latex
Noether%27s_second_theorem_13,"{\displaystyle I=(i_{1},\dots ,i_{k})}"
Noether%27s_second_theorem_16,{\displaystyle \sum _{|I|=0}^{r}f_{I}g^{I}=fg+f_{i}g^{i}+f_{ij}g^{ij}+\dots +f_{i_{1}...i_{r}}g^{i_{1}...i_{r}}.}
Noether%27s_second_theorem_18,"{\displaystyle \delta L={\frac {\partial L}{\partial u^{\sigma }}}\delta u^{\sigma }+{\frac {\partial L}{\partial u_{i}^{\sigma }}}\delta u_{i}^{\sigma }+\dots +{\frac {\partial L}{\partial u_{i_{1}...i_{r}}^{\sigma }}}\delta u_{i_{1}...i_{r}}^{\sigma }=\sum _{|I|=0}^{r}{\frac {\partial L}{\partial u_{I}^{\sigma }}}\delta u_{I}^{\sigma },}"
Noether%27s_second_theorem_19,{\displaystyle \delta L=E_{\sigma }\delta u^{\sigma }+d_{i}\left(\sum _{|I|=0}^{r-1}P_{\sigma }^{iI}\delta u_{I}^{\sigma }\right)}
Noether%27s_second_theorem_20,{\displaystyle E_{\sigma }={\frac {\partial L}{\partial u^{\sigma }}}-d_{i}{\frac {\partial L}{\partial u_{i}^{\sigma }}}+\dots +(-1)^{r}d_{i_{1}}\dots d_{i_{r}}{\frac {\partial L}{\partial u_{i_{1}...i_{r}}^{\sigma }}}=\sum _{|I|=0}^{r}(-1)^{|I|}d_{I}{\frac {\partial L}{\partial u_{I}^{\sigma }}}}
Noether%27s_second_theorem_22,{\displaystyle P_{\sigma }^{I}=\sum _{|J|=0}^{r-|I|}(-1)^{|J|}d_{J}{\frac {\partial L}{\partial u_{IJ}^{\sigma }}}}
Noether%27s_second_theorem_28,{\displaystyle \delta x^{i}\neq 0}
Noether%27s_second_theorem_29,{\displaystyle \delta x^{i}=0}
Noether%27s_second_theorem_30,"{\displaystyle \delta _{\lambda }u^{\sigma }=R_{a}^{\sigma }\lambda ^{a}+R_{a}^{\sigma ,i}\lambda _{i}^{a}+\dots +R_{a}^{\sigma ,i_{1}...i_{s}}\lambda _{i_{1}...i_{s}}^{a}=\sum _{|I|=0}^{s}R_{a}^{\sigma ,I}\lambda _{I}^{a},}"
Noether%27s_second_theorem_31,"{\displaystyle R_{a}^{\sigma ,I}}"
Noether%27s_second_theorem_32,{\displaystyle \lambda ^{a}=\lambda ^{a}(x)}
Noether%27s_second_theorem_33,"{\displaystyle a,b,\dots }"
Noether%27s_second_theorem_34,"{\displaystyle 1,\dots ,q}"
Noether%27s_second_theorem_35,{\displaystyle q}
Noether%27s_second_theorem_36,{\displaystyle \delta _{\lambda }L=0}
Noether%27s_second_theorem_37,{\displaystyle \lambda ^{a}(x)}
Noether%27s_second_theorem_38,{\displaystyle \delta _{\lambda }L=d_{i}K_{\lambda }^{i}}
Noether%27s_second_theorem_39,"{\displaystyle K_{\lambda }^{i}=K_{a}^{i}\lambda ^{a}+K_{a}^{i,j}\lambda _{j}^{a}+K_{a}^{i,j_{1}j_{2}}\lambda _{j_{1}j_{2}}^{a}\dots }"
Noether%27s_second_theorem_41,{\displaystyle \delta _{\lambda }u^{\sigma }}
Noether%27s_second_theorem_42,{\displaystyle q}
Noether%27s_second_theorem_43,{\displaystyle q}
Noether%27s_second_theorem_46,"{\displaystyle 0=E_{\sigma }\delta _{\lambda }u^{\sigma }+d_{i}W_{\lambda }^{i},\quad W_{\lambda }^{i}=\sum _{|I|=0}^{r}P_{\sigma }^{iI}\delta _{\lambda }u^{\sigma },}"
Noether%27s_second_theorem_47,"{\displaystyle E_{\sigma }\delta _{\lambda }u^{\sigma }=\sum _{|I|=0}^{s}E_{\sigma }R_{a}^{\sigma ,I}\lambda _{I}^{a}=Q_{a}\lambda ^{a}+d_{i}\left(\sum _{|I|=0}^{s-1}Q_{a}^{iI}\lambda _{I}^{a}\right),}"
Noether%27s_second_theorem_48,"{\displaystyle Q_{a}^{I}=\sum _{|J|=0}^{s-|I|}(-1)^{|J|}d_{J}\left(E_{\sigma }R_{a}^{\sigma ,IJ}\right),}"
