name,latex
Noether%27s_theorem_0,"{\displaystyle \int _{a}^{b}f'(t)\,dt=f(b)-f(a)}"
Noether%27s_theorem_1,{\displaystyle q}
Noether%27s_theorem_2,{\displaystyle \varphi :q\mapsto q+\delta q}
Noether%27s_theorem_3,{\displaystyle q(t)}
Noether%27s_theorem_4,{\displaystyle S}
Noether%27s_theorem_5,{\displaystyle \varphi }
Noether%27s_theorem_6,{\displaystyle \tau }
Noether%27s_theorem_7,{\displaystyle S}
Noether%27s_theorem_8,"{\displaystyle [t_{0},t_{1}]}"
Noether%27s_theorem_9,{\displaystyle \Delta S}
Noether%27s_theorem_10,{\displaystyle \varphi }
Noether%27s_theorem_11,{\displaystyle L}
Noether%27s_theorem_13,{\displaystyle q}
Noether%27s_theorem_14,{\displaystyle {\dot {q}}}
Noether%27s_theorem_15,{\displaystyle {\dot {q}}}
Noether%27s_theorem_16,{\displaystyle \delta q/\tau }
Noether%27s_theorem_17,{\displaystyle \delta q}
Noether%27s_theorem_18,{\displaystyle \tau }
Noether%27s_theorem_19,{\displaystyle \delta q/\tau \gg \delta q}
Noether%27s_theorem_20,{\displaystyle {\dot {q}}\rightarrow {\dot {q}}\pm \delta q/\tau }
Noether%27s_theorem_21,{\displaystyle \Delta L\approx {\bigl (}\partial L/\partial {\dot {q}}{\bigr )}\Delta {\dot {q}}}
Noether%27s_theorem_22,{\displaystyle \Delta S=\int \Delta L\approx \int {\frac {\partial L}{\partial {\dot {q}}}}\Delta {\dot {q}}\approx \int {\frac {\partial L}{\partial {\dot {q}}}}\left(\pm {\frac {\delta q}{\tau }}\right)\approx \ \pm {\frac {\partial L}{\partial {\dot {q}}}}\delta q=\pm {\frac {\partial L}{\partial {\dot {q}}}}\varphi .}
Noether%27s_theorem_23,{\displaystyle t_{0}}
Noether%27s_theorem_24,{\displaystyle t_{1}}
Noether%27s_theorem_25,{\displaystyle \Delta S}
Noether%27s_theorem_26,"{\displaystyle \left({\frac {\partial L}{\partial {\dot {q}}}}\varphi \right)(t_{0})=\left({\frac {\partial L}{\partial {\dot {q}}}}\varphi \right)(t_{1}),}"
Noether%27s_theorem_27,{\displaystyle \left(\partial L/\partial {\dot {q}}\right)\varphi }
Noether%27s_theorem_28,{\displaystyle q}
Noether%27s_theorem_29,{\displaystyle \left(\partial L/\partial {\dot {q}}\right)=p}
Noether%27s_theorem_30,{\displaystyle q_{r}}
Noether%27s_theorem_31,{\displaystyle q_{r}\mapsto q_{r}+\varphi _{r}}
Noether%27s_theorem_33,{\displaystyle t\mapsto t+T}
Noether%27s_theorem_34,{\displaystyle \Delta S}
Noether%27s_theorem_35,"{\displaystyle \Delta S\approx \pm \left(TL+\int {\frac {\partial L}{\partial {\dot {q}}_{r}}}\Delta {\dot {q}}_{r}\right)\approx \pm T\left(L-{\frac {\partial L}{\partial {\dot {q}}_{r}}}{\dot {q}}_{r}\right),}"
Noether%27s_theorem_37,{\displaystyle q(t)}
Noether%27s_theorem_38,"{\displaystyle \psi (q_{r},t)}"
Noether%27s_theorem_39,"{\displaystyle [t_{0},t_{1}]}"
Noether%27s_theorem_40,{\displaystyle U}
Noether%27s_theorem_41,"{\displaystyle (q_{r},t)}"
Noether%27s_theorem_42,{\displaystyle t_{0}}
Noether%27s_theorem_43,{\displaystyle t_{1}}
Noether%27s_theorem_44,{\displaystyle \partial U}
Noether%27s_theorem_45,{\displaystyle \Delta S}
Noether%27s_theorem_46,{\displaystyle j_{r}}
Noether%27s_theorem_47,{\displaystyle \partial U}
Noether%27s_theorem_48,{\displaystyle \Delta S}
Noether%27s_theorem_49,{\displaystyle j_{r}}
Noether%27s_theorem_50,{\displaystyle \partial U}
Noether%27s_theorem_51,{\displaystyle {\frac {dX}{dt}}={\dot {X}}=0~.}
Noether%27s_theorem_52,"{\displaystyle I=\int L(\mathbf {q} ,{\dot {\mathbf {q} }},t)\,dt~,}"
Noether%27s_theorem_53,{\displaystyle {\dot {\mathbf {q} }}={\frac {d\mathbf {q} }{dt}}~.}
Noether%27s_theorem_54,{\displaystyle {\frac {d}{dt}}\left({\frac {\partial L}{\partial {\dot {\mathbf {q} }}}}\right)={\frac {\partial L}{\partial \mathbf {q} }}~.}
Noether%27s_theorem_55,"{\displaystyle {\frac {d}{dt}}\left({\frac {\partial L}{\partial {\dot {q}}_{k}}}\right)={\frac {dp_{k}}{dt}}=0~,}"
Noether%27s_theorem_56,{\displaystyle p_{k}={\frac {\partial L}{\partial {\dot {q}}_{k}}}}
Noether%27s_theorem_57,"{\displaystyle {\begin{aligned}t&\rightarrow t^{\prime }=t+\delta t\\\mathbf {q} &\rightarrow \mathbf {q} ^{\prime }=\mathbf {q} +\delta \mathbf {q} ~,\end{aligned}}}"
Noether%27s_theorem_58,"{\displaystyle {\begin{aligned}\delta t&=\sum _{r}\varepsilon _{r}T_{r}\\\delta \mathbf {q} &=\sum _{r}\varepsilon _{r}\mathbf {Q} _{r}~,\end{aligned}}}"
Noether%27s_theorem_59,{\displaystyle \left({\frac {\partial L}{\partial {\dot {\mathbf {q} }}}}\cdot {\dot {\mathbf {q} }}-L\right)T_{r}-{\frac {\partial L}{\partial {\dot {\mathbf {q} }}}}\cdot \mathbf {Q} _{r}}
Noether%27s_theorem_60,{\displaystyle H={\frac {\partial L}{\partial {\dot {\mathbf {q} }}}}\cdot {\dot {\mathbf {q} }}-L.}
Noether%27s_theorem_61,{\displaystyle p_{k}={\frac {\partial L}{\partial {\dot {q_{k}}}}}.}
Noether%27s_theorem_62,"{\displaystyle \mathbf {r} \rightarrow \mathbf {r} +\delta \theta \,\mathbf {n} \times \mathbf {r} .}"
Noether%27s_theorem_63,{\displaystyle \mathbf {Q} =\mathbf {n} \times \mathbf {r} .}
Noether%27s_theorem_64,{\displaystyle {\frac {\partial L}{\partial {\dot {\mathbf {q} }}}}\cdot \mathbf {Q} =\mathbf {p} \cdot \left(\mathbf {n} \times \mathbf {r} \right)=\mathbf {n} \cdot \left(\mathbf {r} \times \mathbf {p} \right)=\mathbf {n} \cdot \mathbf {L} .}
Noether%27s_theorem_65,{\displaystyle \varphi }
Noether%27s_theorem_66,"{\displaystyle T(\mathbf {x} ,t)}"
Noether%27s_theorem_67,"{\displaystyle {\mathcal {S}}=\int {\mathcal {L}}\left(\varphi ,\partial _{\mu }\varphi ,x^{\mu }\right)\,d^{4}x}"
Noether%27s_theorem_68,{\displaystyle \varphi }
Noether%27s_theorem_69,"{\displaystyle \varphi \mapsto \varphi +\varepsilon \Psi ,}"
Noether%27s_theorem_70,{\displaystyle \Psi }
Noether%27s_theorem_71,{\displaystyle x^{\mu }}
Noether%27s_theorem_72,{\displaystyle \varphi }
Noether%27s_theorem_73,{\displaystyle \Psi }
Noether%27s_theorem_74,{\displaystyle {\mathcal {S}}}
Noether%27s_theorem_75,{\displaystyle {\mathcal {L}}}
Noether%27s_theorem_76,"{\displaystyle {\mathcal {L}}\mapsto {\mathcal {L}}+\varepsilon \partial _{\mu }\Lambda ^{\mu },}"
Noether%27s_theorem_77,"{\displaystyle r=1,2,\ldots ,N,}"
Noether%27s_theorem_78,"{\displaystyle \varphi \mapsto \varphi +\varepsilon _{r}\Psi _{r},}"
Noether%27s_theorem_79,{\displaystyle {\mathcal {L}}\mapsto {\mathcal {L}}+\varepsilon _{r}\partial _{\mu }\Lambda _{r}^{\mu }.}
Noether%27s_theorem_80,{\displaystyle N}
Noether%27s_theorem_81,"{\displaystyle j_{r}^{\nu }=\Lambda _{r}^{\nu }-{\frac {\partial {\mathcal {L}}}{\partial \varphi _{,\nu }}}\cdot \Psi _{r}}"
Noether%27s_theorem_82,{\displaystyle \nu }
Noether%27s_theorem_83,{\displaystyle r}
Noether%27s_theorem_84,"{\displaystyle \partial _{\nu }j^{\nu }=0,}"
Noether%27s_theorem_85,"{\displaystyle L\left({\boldsymbol {\varphi }},\partial _{\mu }{\boldsymbol {\varphi }},x^{\mu }\right)}"
Noether%27s_theorem_86,{\displaystyle x^{\mu }\mapsto x^{\mu }+\varepsilon _{r}\delta _{r}^{\mu }}
Noether%27s_theorem_87,{\displaystyle \delta }
Noether%27s_theorem_88,{\displaystyle \varphi (x^{\mu })\mapsto \varphi \left(x^{\mu }-\varepsilon _{r}\delta _{r}^{\mu }\right)}
Noether%27s_theorem_89,{\displaystyle x^{\mu }}
Noether%27s_theorem_90,{\displaystyle x^{\mu }-\varepsilon X^{\mu }}
Noether%27s_theorem_91,{\displaystyle x^{\mu }}
Noether%27s_theorem_92,{\displaystyle \Psi _{r}=-\delta _{r}^{\mu }\partial _{\mu }\varphi .}
Noether%27s_theorem_93,{\displaystyle {\mathcal {L}}\left(x^{\mu }\right)\mapsto {\mathcal {L}}\left(x^{\mu }-\varepsilon _{r}\delta _{r}^{\mu }\right)}
Noether%27s_theorem_94,{\displaystyle \Lambda _{r}^{\mu }=-\delta _{r}^{\mu }{\mathcal {L}}}
Noether%27s_theorem_95,{\displaystyle \mu }
Noether%27s_theorem_96,{\displaystyle r}
Noether%27s_theorem_97,{\displaystyle \mu }
Noether%27s_theorem_98,{\displaystyle T}
Noether%27s_theorem_99,"{\displaystyle T_{\mu }{}^{\nu }=-\delta _{\mu }^{\nu }{\mathcal {L}}+\delta _{\mu }^{\sigma }\partial _{\sigma }\varphi {\frac {\partial {\mathcal {L}}}{\partial \varphi _{,\nu }}}=\left({\frac {\partial {\mathcal {L}}}{\partial \varphi _{,\nu }}}\right)\cdot \varphi _{,\mu }-\delta _{\mu }^{\nu }{\mathcal {L}}}"
Noether%27s_theorem_100,"{\displaystyle T_{\mu }{}^{\nu }{}_{,\nu }=0}"
Noether%27s_theorem_101,{\displaystyle \mu }
Noether%27s_theorem_102,{\displaystyle \sigma }
Noether%27s_theorem_103,{\displaystyle T}
Noether%27s_theorem_104,"{\displaystyle \psi \rightarrow e^{i\theta }\psi \ ,\ \psi ^{*}\rightarrow e^{-i\theta }\psi ^{*}~,}"
Noether%27s_theorem_105,{\displaystyle L=\partial _{\nu }\psi \partial _{\mu }\psi ^{*}\eta ^{\nu \mu }+m^{2}\psi \psi ^{*}.}
Noether%27s_theorem_106,"{\displaystyle j^{\nu }=i\left({\frac {\partial \psi }{\partial x^{\mu }}}\psi ^{*}-{\frac {\partial \psi ^{*}}{\partial x^{\mu }}}\psi \right)\eta ^{\nu \mu }~,}"
Noether%27s_theorem_107,"{\displaystyle I=\int _{t_{1}}^{t_{2}}L[\mathbf {q} [t],{\dot {\mathbf {q} }}[t],t]\,dt}"
Noether%27s_theorem_108,{\displaystyle {\frac {d}{dt}}{\frac {\partial L}{\partial {\dot {\mathbf {q} }}}}[t]={\frac {\partial L}{\partial \mathbf {q} }}[t].}
Noether%27s_theorem_109,"{\displaystyle {\begin{aligned}t&\rightarrow t'=t+\varepsilon T\\\mathbf {q} [t]&\rightarrow \mathbf {q} '[t']=\varphi [\mathbf {q} [t],\varepsilon ]=\varphi [\mathbf {q} [t'-\varepsilon T],\varepsilon ]\end{aligned}}}"
Noether%27s_theorem_110,"{\displaystyle {\dot {\mathbf {q} }}[t]\rightarrow {\dot {\mathbf {q} }}'[t']={\frac {d}{dt}}\varphi [\mathbf {q} [t],\varepsilon ]={\frac {\partial \varphi }{\partial \mathbf {q} }}[\mathbf {q} [t'-\varepsilon T],\varepsilon ]{\dot {\mathbf {q} }}[t'-\varepsilon T].}"
