name,latex
Ordinal_number_0,{\displaystyle f(\alpha )=\omega (1+\alpha )}
Ordinal_number_1,{\displaystyle f}
Ordinal_number_2,{\displaystyle \omega ^{\omega }}
Ordinal_number_3,{\displaystyle \omega }
Ordinal_number_4,{\displaystyle \omega +1}
Ordinal_number_5,{\displaystyle \omega +2}
Ordinal_number_6,{\displaystyle \omega }
Ordinal_number_7,{\displaystyle \omega }
Ordinal_number_8,{\displaystyle \omega }
Ordinal_number_9,{\displaystyle \Omega }
Ordinal_number_10,{\displaystyle a\mapsto T_{<a}}
Ordinal_number_11,{\displaystyle T_{<a}:=\{x\in T\mid x<a\}}
Ordinal_number_12,"{\displaystyle \lambda =[0,\lambda )}"
Ordinal_number_13,{\displaystyle \alpha \cup \{\alpha \}}
Ordinal_number_14,{\displaystyle \langle \alpha _{\iota }|\iota <\gamma \rangle }
Ordinal_number_15,{\displaystyle \gamma }
Ordinal_number_16,{\displaystyle \alpha _{\iota }<\alpha _{\rho }}
Ordinal_number_17,"{\displaystyle \iota <\rho ,}"
Ordinal_number_18,"{\displaystyle \{\alpha _{\iota }|\iota <\gamma \},}"
Ordinal_number_19,{\displaystyle \alpha }
Ordinal_number_20,{\displaystyle \alpha }
Ordinal_number_21,{\displaystyle \alpha }
Ordinal_number_22,{\displaystyle \gamma }
Ordinal_number_23,{\displaystyle \gamma }
Ordinal_number_24,{\displaystyle \beta <\gamma }
Ordinal_number_25,{\displaystyle \beta }
Ordinal_number_26,{\displaystyle \beta <\gamma }
Ordinal_number_27,{\displaystyle \gamma }
Ordinal_number_28,{\displaystyle \omega \cdot \gamma }
Ordinal_number_29,{\displaystyle \gamma }
Ordinal_number_30,{\displaystyle \omega ^{\gamma }}
Ordinal_number_31,{\displaystyle \gamma }
Ordinal_number_32,{\displaystyle \alpha }
Ordinal_number_33,{\displaystyle \omega ^{\alpha }=\alpha }
Ordinal_number_34,{\displaystyle \varepsilon _{\gamma }}
Ordinal_number_35,{\displaystyle C}
Ordinal_number_36,{\displaystyle \alpha }
Ordinal_number_37,{\displaystyle \beta }
Ordinal_number_38,{\displaystyle C}
Ordinal_number_39,{\displaystyle \alpha <\beta }
Ordinal_number_40,{\displaystyle F}
