name,latex
Ordinary_differential_equation_0,"{\displaystyle a_{0}(x)y+a_{1}(x)y'+a_{2}(x)y''+\cdots +a_{n}(x)y^{(n)}+b(x)=0,}"
Ordinary_differential_equation_1,{\displaystyle a_{0}(x)}
Ordinary_differential_equation_2,{\displaystyle a_{n}(x)}
Ordinary_differential_equation_3,{\displaystyle b(x)}
Ordinary_differential_equation_4,"{\displaystyle y',\ldots ,y^{(n)}}"
Ordinary_differential_equation_5,"{\displaystyle m{\frac {\mathrm {d} ^{2}x(t)}{\mathrm {d} t^{2}}}=F(x(t))\,}"
Ordinary_differential_equation_6,"{\displaystyle ({\dot {y}},{\ddot {y}},{\overset {...}{y}})}"
Ordinary_differential_equation_7,"{\displaystyle F\left(x,y,y',\ldots ,y^{(n-1)}\right)=y^{(n)}}"
Ordinary_differential_equation_8,"{\displaystyle F\left(x,y,y',y'',\ \ldots ,\ y^{(n)}\right)=0}"
Ordinary_differential_equation_9,{\displaystyle F}
Ordinary_differential_equation_10,{\displaystyle y^{(n)}=\sum _{i=0}^{n-1}a_{i}(x)y^{(i)}+r(x)}
Ordinary_differential_equation_11,"{\displaystyle \mathbf {y} ^{(n)}=\mathbf {F} \left(x,\mathbf {y} ,\mathbf {y} ',\mathbf {y} '',\ldots ,\mathbf {y} ^{(n-1)}\right)}"
Ordinary_differential_equation_12,"{\displaystyle {\begin{pmatrix}y_{1}^{(n)}\\y_{2}^{(n)}\\\vdots \\y_{m}^{(n)}\end{pmatrix}}={\begin{pmatrix}f_{1}\left(x,\mathbf {y} ,\mathbf {y} ',\mathbf {y} '',\ldots ,\mathbf {y} ^{(n-1)}\right)\\f_{2}\left(x,\mathbf {y} ,\mathbf {y} ',\mathbf {y} '',\ldots ,\mathbf {y} ^{(n-1)}\right)\\\vdots \\f_{m}\left(x,\mathbf {y} ,\mathbf {y} ',\mathbf {y} '',\ldots ,\mathbf {y} ^{(n-1)}\right)\end{pmatrix}}}"
Ordinary_differential_equation_13,"{\displaystyle \mathbf {F} \left(x,\mathbf {y} ,\mathbf {y} ',\mathbf {y} '',\ldots ,\mathbf {y} ^{(n)}\right)={\boldsymbol {0}}}"
Ordinary_differential_equation_14,"{\displaystyle {\begin{pmatrix}f_{1}(x,\mathbf {y} ,\mathbf {y} ',\mathbf {y} '',\ldots ,\mathbf {y} ^{(n)})\\f_{2}(x,\mathbf {y} ,\mathbf {y} ',\mathbf {y} '',\ldots ,\mathbf {y} ^{(n)})\\\vdots \\f_{m}(x,\mathbf {y} ,\mathbf {y} ',\mathbf {y} '',\ldots ,\mathbf {y} ^{(n)})\end{pmatrix}}={\begin{pmatrix}0\\0\\\vdots \\0\end{pmatrix}}}"
Ordinary_differential_equation_15,"{\displaystyle \mathbf {F} \left(x,\mathbf {y} ,\mathbf {y} '\right)={\boldsymbol {0}}}"
Ordinary_differential_equation_16,"{\displaystyle {\frac {\partial \mathbf {F} (x,\mathbf {u} ,\mathbf {v} )}{\partial \mathbf {v} }}}"
Ordinary_differential_equation_17,"{\displaystyle F\left(x,y,y',\ldots ,y^{(n)}\right)=0}"
Ordinary_differential_equation_18,"{\displaystyle F(x,u,u',\ \ldots ,\ u^{(n)})=0\quad x\in I.}"
Ordinary_differential_equation_19,"{\displaystyle u(x)=v(x)\quad x\in I.\,}"
Ordinary_differential_equation_20,"{\displaystyle y'=-{\text{sgn}}(y){\sqrt {|y|}},\,\,y(0)=1}"
