name,latex
Parity_(mathematics)_0,{\displaystyle x=2k}
Parity_(mathematics)_1,{\displaystyle x=2k+1.}
Parity_(mathematics)_2,{\displaystyle 2\ |\ x}
Parity_(mathematics)_3,{\displaystyle 2\not |\ x}
Parity_(mathematics)_4,{\displaystyle \{2k:k\in \mathbb {Z} \}}
Parity_(mathematics)_5,{\displaystyle \{2k+1:k\in \mathbb {Z} \}}
Parity_(mathematics)_6,{\displaystyle \mathbb {Z} }
Parity_(mathematics)_7,{\displaystyle \mathbb {Z} /2\mathbb {Z} }
Parity_(mathematics)_8,{\displaystyle \mathbb {Z} }
Parity_(mathematics)_9,{\displaystyle \mathbb {Z} /2\mathbb {Z} }
Parity_(mathematics)_10,{\displaystyle 0+I}
Parity_(mathematics)_11,{\displaystyle 1+I}
