name,latex
Path_integral_formulation_0,{\displaystyle i\hbar {\frac {d}{dt}}|\Psi \rangle ={\hat {H}}|\Psi \rangle }
Path_integral_formulation_1,{\displaystyle \varepsilon H=p(t){\big (}q(t+\varepsilon )-q(t){\big )}-\varepsilon L}
Path_integral_formulation_2,"{\displaystyle p={\frac {\partial L}{\partial {\dot {q}}}},}"
Path_integral_formulation_3,{\displaystyle {\dot {q}}}
Path_integral_formulation_4,"{\displaystyle \varepsilon L=\varepsilon p{\dot {q}}-\varepsilon H,}"
Path_integral_formulation_5,"{\displaystyle {\dot {q}}={\frac {\partial H}{\partial p}},}"
Path_integral_formulation_6,"{\displaystyle e^{i{\big [}p{\big (}q(t+\varepsilon )-q(t){\big )}-\varepsilon H(p,q){\big ]}}.}"
Path_integral_formulation_7,"{\displaystyle e^{-ipq(t)},}"
Path_integral_formulation_8,"{\displaystyle e^{-i\varepsilon H(p,q)},}"
Path_integral_formulation_9,"{\displaystyle e^{ipq(t+\varepsilon )},}"
Path_integral_formulation_10,"{\displaystyle e^{i\varepsilon S},}"
Path_integral_formulation_11,{\displaystyle t_{a}=t_{0}<t_{1}<\cdots <t_{n-1}<t_{n}<t_{n+1}=t_{b}}
Path_integral_formulation_12,{\displaystyle \varepsilon =\Delta t={\frac {t_{b}-t_{a}}{n+1}}.}
Path_integral_formulation_13,"{\displaystyle \int \limits _{-\infty }^{+\infty }\cdots \int \limits _{-\infty }^{+\infty }\exp \left({\frac {i}{\hbar }}\int _{t_{a}}^{t_{b}}L{\big (}x(t),v(t){\big )}\,dt\right)\,dx_{0}\,\cdots \,dx_{n},}"
Path_integral_formulation_14,"{\displaystyle L(x,{\dot {x}})=T-V={\frac {1}{2}}m|{\dot {x}}|^{2}-V(x)}"
Path_integral_formulation_15,"{\displaystyle \exp \left({\frac {i}{\hbar }}\varepsilon \sum _{j=1}^{n+1}L\left({\tilde {x}}_{j},{\frac {x_{j}-x_{j-1}}{\varepsilon }},j\right)\right)}"
Path_integral_formulation_16,"{\displaystyle \psi (x,t)={\frac {1}{Z}}\int _{\mathbf {x} (0)=x}{\mathcal {D}}\mathbf {x} \,e^{iS[\mathbf {x} ,{\dot {\mathbf {x} }}]}\psi _{0}(\mathbf {x} (t))\,}"
Path_integral_formulation_17,{\displaystyle {\mathcal {D}}\mathbf {x} }
Path_integral_formulation_18,{\displaystyle \mathbf {x} }
Path_integral_formulation_19,{\displaystyle \mathbf {x} (0)=x}
Path_integral_formulation_20,{\displaystyle Z}
Path_integral_formulation_21,{\displaystyle S}
Path_integral_formulation_22,"{\displaystyle S[\mathbf {x} ,{\dot {\mathbf {x} }}]=\int dt\,L(\mathbf {x} (t),{\dot {\mathbf {x} }}(t))}"
Path_integral_formulation_23,"{\displaystyle S=\int {\frac {{\dot {x}}^{2}}{2}}\,dt,}"
Path_integral_formulation_24,"{\displaystyle K(x-y;T)=\int _{x(0)=x}^{x(T)=y}\exp \left(-\int _{0}^{T}{\frac {{\dot {x}}^{2}}{2}}\,dt\right)\,{\mathcal {D}}x.}"
Path_integral_formulation_25,"{\displaystyle K(x,y;T)=\int _{x(0)=x}^{x(T)=y}\prod _{t}\exp \left(-{\tfrac {1}{2}}\left({\frac {x(t+\varepsilon )-x(t)}{\varepsilon }}\right)^{2}\varepsilon \right)\,{\mathcal {D}}x,}"
