name,latex
Pi_0,{\displaystyle {\tfrac {22}{7}}}
Pi_1,{\displaystyle \pi ={\frac {C}{d}}}
Pi_6,{\displaystyle \pi =\int _{-1}^{1}{\frac {dx}{\sqrt {1-x^{2}}}}.}
Pi_7,"{\displaystyle \{\dots ,-2\pi i,0,2\pi i,4\pi i,\dots \}=\{2\pi ki\mid k\in \mathbb {Z} \}}"
Pi_9,{\displaystyle {\sqrt[{3}]{31}}}
Pi_10,{\displaystyle {\sqrt {10}}}
Pi_11,{\displaystyle \pi =3+\textstyle {\cfrac {1}{7+\textstyle {\cfrac {1}{15+\textstyle {\cfrac {1}{1+\textstyle {\cfrac {1}{292+\textstyle {\cfrac {1}{1+\textstyle {\cfrac {1}{1+\textstyle {\cfrac {1}{1+\ddots }}}}}}}}}}}}}}}
Pi_12,{\displaystyle {\begin{aligned}\pi &=3+{\cfrac {1^{2}}{6+{\cfrac {3^{2}}{6+{\cfrac {5^{2}}{6+{\cfrac {7^{2}}{6+\ddots }}}}}}}}={\cfrac {4}{1+{\cfrac {1^{2}}{2+{\cfrac {3^{2}}{2+{\cfrac {5^{2}}{2+\ddots }}}}}}}}={\cfrac {4}{1+{\cfrac {1^{2}}{3+{\cfrac {2^{2}}{5+{\cfrac {3^{2}}{7+\ddots }}}}}}}}\end{aligned}}}
Pi_13,"{\displaystyle z=r\cdot (\cos \varphi +i\sin \varphi ),}"
Pi_14,{\displaystyle i^{2}=-1}
Pi_15,"{\displaystyle e^{i\varphi }=\cos \varphi +i\sin \varphi ,}"
Pi_16,{\displaystyle \phi =\pi }
Pi_17,{\displaystyle e^{i\pi }+1=0.}
Pi_18,{\displaystyle z^{n}=1}
Pi_19,"{\displaystyle e^{2\pi ik/n}\qquad (k=0,1,2,\dots ,n-1).}"
Pi_21,{\displaystyle {\sqrt {10}}}
Pi_22,{\displaystyle 3.1415926<\pi <3.1415927}
Pi_28,{\displaystyle {\frac {2}{\pi }}={\frac {\sqrt {2}}{2}}\cdot {\frac {\sqrt {2+{\sqrt {2}}}}{2}}\cdot {\frac {\sqrt {2+{\sqrt {2+{\sqrt {2}}}}}}{2}}\cdots }
Pi_29,{\displaystyle {\frac {\pi }{2}}={\Big (}{\frac {2}{1}}\cdot {\frac {2}{3}}{\Big )}\cdot {\Big (}{\frac {4}{3}}\cdot {\frac {4}{5}}{\Big )}\cdot {\Big (}{\frac {6}{5}}\cdot {\frac {6}{7}}{\Big )}\cdot {\Big (}{\frac {8}{7}}\cdot {\frac {8}{9}}{\Big )}\cdots }
Pi_30,{\displaystyle \arctan z=z-{\frac {z^{3}}{3}}+{\frac {z^{5}}{5}}-{\frac {z^{7}}{7}}+\cdots }
Pi_32,{\displaystyle z=1}
Pi_33,{\displaystyle z=1}
Pi_35,{\displaystyle {\frac {\pi }{4}}=4\arctan {\frac {1}{5}}-\arctan {\frac {1}{239}}.}
Pi_36,{\displaystyle \arctan x={\frac {x}{1+x^{2}}}+{\frac {2}{3}}{\frac {x^{3}}{(1+x^{2})^{2}}}+{\frac {2\cdot 4}{3\cdot 5}}{\frac {x^{5}}{(1+x^{2})^{3}}}+\cdots }
Pi_38,{\displaystyle \pi ={\frac {4}{1}}-{\frac {4}{3}}+{\frac {4}{5}}-{\frac {4}{7}}+{\frac {4}{9}}-{\frac {4}{11}}+{\frac {4}{13}}-\cdots }
Pi_39,{\displaystyle \pi =3+{\frac {4}{2\times 3\times 4}}-{\frac {4}{4\times 5\times 6}}+{\frac {4}{6\times 7\times 8}}-{\frac {4}{8\times 9\times 10}}+\cdots }
Pi_40,{\displaystyle \pi ={\frac {4}{1}}-{\frac {4}{3}}+{\frac {4}{5}}-{\frac {4}{7}}+{\frac {4}{9}}-{\frac {4}{11}}+{\frac {4}{13}}+\cdots }
Pi_41,{\displaystyle \pi ={3}+{\frac {4}{2\times 3\times 4}}-{\frac {4}{4\times 5\times 6}}+{\frac {4}{6\times 7\times 8}}-\cdots }
Pi_42,{\displaystyle {\frac {\pi ^{2}}{6}}={\frac {1}{1^{2}}}+{\frac {1}{2^{2}}}+{\frac {1}{3^{2}}}+{\frac {1}{4^{2}}}+\cdots }
Pi_43,{\displaystyle \delta .\pi }
Pi_47,"{\displaystyle \textstyle a_{0}=1,\quad b_{0}={\frac {1}{\sqrt {2}}},\quad t_{0}={\frac {1}{4}},\quad p_{0}=1.}"
Pi_48,"{\displaystyle \textstyle a_{n+1}={\frac {a_{n}+b_{n}}{2}},\quad \quad b_{n+1}={\sqrt {a_{n}b_{n}}},}"
Pi_49,"{\displaystyle \textstyle t_{n+1}=t_{n}-p_{n}(a_{n}-a_{n+1})^{2},\quad \quad p_{n+1}=2p_{n}.}"
Pi_50,{\displaystyle \textstyle \pi \approx {\frac {(a_{n}+b_{n})^{2}}{4t_{n}}}.}
Pi_51,{\displaystyle {\frac {1}{\pi }}={\frac {2{\sqrt {2}}}{9801}}\sum _{k=0}^{\infty }{\frac {(4k)!(1103+26390k)}{k!^{4}\left(396^{4k}\right)}}.}
Pi_52,"{\displaystyle {\frac {1}{\pi }}={\frac {\sqrt {10005}}{4270934400}}\sum _{k=0}^{\infty }{\frac {(6k)!(13591409+545140134k)}{(3k)!\,k!^{3}(-640320)^{3k}}}.}"
Pi_53,"{\displaystyle \pi ^{k}=\sum _{n=1}^{\infty }{\frac {1}{n^{k}}}\left({\frac {a}{q^{n}-1}}+{\frac {b}{q^{2n}-1}}+{\frac {c}{q^{4n}-1}}\right),}"
Pi_54,{\displaystyle \pi \approx {\frac {2n\ell }{xt}}.}
Pi_55,{\displaystyle W_{n}=\sum _{k=1}^{n}X_{k}}
Pi_56,{\displaystyle \pi =\lim _{n\to \infty }{\frac {2n}{E[|W_{n}|]^{2}}}.}
Pi_57,{\displaystyle \pi =\sum _{k=0}^{\infty }{\frac {1}{16^{k}}}\left({\frac {4}{8k+1}}-{\frac {2}{8k+4}}-{\frac {1}{8k+5}}-{\frac {1}{8k+6}}\right).}
