name,latex
Probability_theory_1,{\displaystyle X({\text{tails}})=1}
Probability_theory_2,{\displaystyle {\tfrac {3}{6}}={\tfrac {1}{2}}}
Probability_theory_3,{\displaystyle \Omega }
Probability_theory_4,"{\displaystyle x\in \Omega \,}"
Probability_theory_5,"{\displaystyle f(x)\,}"
Probability_theory_6,"{\displaystyle f(x)\in [0,1]{\mbox{ for all }}x\in \Omega \,;}"
Probability_theory_7,"{\displaystyle \sum _{x\in \Omega }f(x)=1\,.}"
Probability_theory_8,"{\displaystyle E\,}"
Probability_theory_9,"{\displaystyle \Omega \,}"
Probability_theory_10,"{\displaystyle E\,}"
Probability_theory_11,"{\displaystyle P(E)=\sum _{x\in E}f(x)\,.}"
Probability_theory_12,"{\displaystyle f(x)\,}"
Probability_theory_13,{\displaystyle \mathbb {R} }
Probability_theory_14,"{\displaystyle F\,}"
Probability_theory_15,"{\displaystyle F(x)=P(X\leq x)\,}"
Probability_theory_16,"{\displaystyle F\,}"
Probability_theory_17,"{\displaystyle \lim _{x\rightarrow -\infty }F(x)=0\,;}"
Probability_theory_18,"{\displaystyle \lim _{x\rightarrow \infty }F(x)=1\,.}"
Probability_theory_19,{\displaystyle X}
Probability_theory_20,{\displaystyle F}
Probability_theory_21,"{\displaystyle F\,}"
Probability_theory_22,"{\displaystyle f(x)={\frac {dF(x)}{dx}}\,.}"
Probability_theory_23,{\displaystyle E\subseteq \mathbb {R} }
Probability_theory_24,"{\displaystyle E\,}"
Probability_theory_25,"{\displaystyle P(X\in E)=\int _{x\in E}dF(x)\,.}"
Probability_theory_26,"{\displaystyle P(X\in E)=\int _{x\in E}f(x)\,dx\,.}"
Probability_theory_27,"{\displaystyle \mathbb {R} \,.}"
Probability_theory_28,{\displaystyle \mathbb {R} ^{n}}
Probability_theory_29,{\displaystyle (\delta [x]+\varphi (x))/2}
Probability_theory_30,{\displaystyle \delta [x]}
Probability_theory_31,"{\displaystyle \Omega \,}"
Probability_theory_32,"{\displaystyle {\mathcal {F}}\,}"
Probability_theory_33,"{\displaystyle P\,}"
Probability_theory_34,"{\displaystyle {\mathcal {F}}\,}"
Probability_theory_35,"{\displaystyle P(\Omega )=1.\,}"
Probability_theory_36,"{\displaystyle {\mathcal {F}}\,}"
Probability_theory_37,"{\displaystyle {\mathcal {F}}\,}"
Probability_theory_38,"{\displaystyle E\,}"
Probability_theory_39,"{\displaystyle {\mathcal {F}}\,}"
Probability_theory_40,"{\displaystyle P(E)=\int _{\omega \in E}\mu _{F}(d\omega )\,}"
Probability_theory_41,"{\displaystyle \mu _{F}\,}"
Probability_theory_42,"{\displaystyle F\,.}"
Probability_theory_43,{\displaystyle \mathbb {R} ^{n}}
Probability_theory_44,"{\displaystyle X_{1},X_{2},\dots ,\,}"
Probability_theory_45,"{\displaystyle X\,}"
Probability_theory_46,"{\displaystyle F_{1},F_{2},\dots \,}"
Probability_theory_47,"{\displaystyle F\,}"
Probability_theory_48,"{\displaystyle X\,}"
Probability_theory_49,"{\displaystyle F\,}"
Probability_theory_50,"{\displaystyle \displaystyle X_{n}\,{\xrightarrow {\mathcal {D}}}\,X}"
Probability_theory_51,"{\displaystyle X_{1},X_{2},\dots \,}"
Probability_theory_52,"{\displaystyle X\,}"
Probability_theory_53,{\displaystyle \lim _{n\rightarrow \infty }P\left(\left|X_{n}-X\right|\geq \varepsilon \right)=0}
Probability_theory_54,"{\displaystyle \displaystyle X_{n}\,{\xrightarrow {P}}\,X}"
Probability_theory_55,"{\displaystyle X_{1},X_{2},\dots \,}"
Probability_theory_56,"{\displaystyle X\,}"
Probability_theory_57,{\displaystyle P(\lim _{n\rightarrow \infty }X_{n}=X)=1}
Probability_theory_58,"{\displaystyle \displaystyle X_{n}\,{\xrightarrow {\mathrm {a.s.} }}\,X}"
Probability_theory_59,{\displaystyle {\overline {X}}_{n}={\frac {1}{n}}{\sum _{k=1}^{n}X_{k}}}
Probability_theory_60,{\displaystyle X_{k}}
Probability_theory_61,{\displaystyle \mu }
Probability_theory_62,{\displaystyle |X_{k}|}
Probability_theory_63,"{\displaystyle \displaystyle {\overline {X}}_{n}\,{\xrightarrow {P}}\,\mu }"
Probability_theory_64,{\displaystyle n\to \infty }
Probability_theory_65,"{\displaystyle \displaystyle {\overline {X}}_{n}\,{\xrightarrow {\mathrm {a.\,s.} }}\,\mu }"
Probability_theory_66,{\displaystyle n\to \infty .}
Probability_theory_67,"{\displaystyle Y_{1},Y_{2},...\,}"
Probability_theory_68,{\displaystyle {\textrm {E}}(Y_{i})=p}
Probability_theory_69,{\displaystyle {\bar {Y}}_{n}}
Probability_theory_70,"{\displaystyle X_{1},X_{2},\dots \,}"
Probability_theory_71,{\displaystyle \mu }
Probability_theory_72,"{\displaystyle \sigma ^{2}>0.\,}"
Probability_theory_73,"{\displaystyle Z_{n}={\frac {\sum _{i=1}^{n}(X_{i}-\mu )}{\sigma {\sqrt {n}}}}\,}"
