name,latex
Pythagorean_theorem_0,{\displaystyle a^{2}+b^{2}=c^{2}}
Pythagorean_theorem_1,{\displaystyle a^{2}+b^{2}=c^{2}.}
Pythagorean_theorem_2,{\displaystyle a+b}
Pythagorean_theorem_3,{\displaystyle (a+b)^{2}}
Pythagorean_theorem_4,{\displaystyle 2ab+c^{2}}
Pythagorean_theorem_5,{\displaystyle 2ab}
Pythagorean_theorem_6,{\displaystyle (a+b)^{2}}
Pythagorean_theorem_7,{\displaystyle 2ab+a^{2}+b^{2}}
Pythagorean_theorem_8,{\displaystyle (a+b)^{2}}
Pythagorean_theorem_9,{\displaystyle 2ab+c^{2}}
Pythagorean_theorem_10,{\displaystyle 2ab+a^{2}+b^{2}}
Pythagorean_theorem_11,{\displaystyle a^{2}+b^{2}=c^{2}.}
Pythagorean_theorem_12,{\displaystyle a^{2}}
Pythagorean_theorem_13,{\displaystyle b^{2}}
Pythagorean_theorem_14,{\displaystyle 2ab+a^{2}+b^{2}}
Pythagorean_theorem_15,"{\displaystyle (b+a)^{2}=c^{2}+4{\frac {ab}{2}}=c^{2}+2ab,}"
Pythagorean_theorem_16,{\displaystyle c^{2}=(b+a)^{2}-2ab=b^{2}+2ab+a^{2}-2ab=a^{2}+b^{2}.}
Pythagorean_theorem_17,{\displaystyle {\tfrac {1}{2}}ab}
Pythagorean_theorem_18,{\displaystyle (b-a)^{2}+4{\frac {ab}{2}}=(b-a)^{2}+2ab=b^{2}-2ab+a^{2}+2ab=a^{2}+b^{2}.}
Pythagorean_theorem_19,{\displaystyle c^{2}=a^{2}+b^{2}.}
Pythagorean_theorem_20,{\displaystyle A\times B^{2}.}
Pythagorean_theorem_21,{\displaystyle {\frac {BC}{AB}}={\frac {BH}{BC}}{\text{ and }}{\frac {AC}{AB}}={\frac {AH}{AC}}.}
Pythagorean_theorem_22,{\displaystyle BC^{2}=AB\times BH{\text{ and }}AC^{2}=AB\times AH.}
Pythagorean_theorem_23,"{\displaystyle BC^{2}+AC^{2}=AB\times BH+AB\times AH=AB(AH+BH)=AB^{2},}"
Pythagorean_theorem_24,{\displaystyle BC^{2}+AC^{2}=AB^{2}.}
Pythagorean_theorem_25,{\displaystyle \triangle ABC}
Pythagorean_theorem_26,"{\displaystyle \sin \alpha ={\frac {a}{c}},}"
Pythagorean_theorem_27,"{\displaystyle \sin \beta ={\frac {b}{c}},}"
Pythagorean_theorem_28,"{\displaystyle c=b\sin \beta +a\sin \alpha ={\frac {b^{2}}{c}}+{\frac {a^{2}}{c}},}"
Pythagorean_theorem_29,{\displaystyle c^{2}=a^{2}+b^{2}.}
Pythagorean_theorem_30,{\displaystyle {\frac {1}{2}}(b+a)^{2}.}
Pythagorean_theorem_31,{\displaystyle {\frac {1}{2}}}
Pythagorean_theorem_32,{\displaystyle {\frac {dy}{dx}}={\frac {x}{y}}.}
Pythagorean_theorem_33,"{\displaystyle y\,dy=x\,dx}"
Pythagorean_theorem_34,"{\displaystyle \int y\,dy=\int x\,dx\,,}"
Pythagorean_theorem_35,{\displaystyle y^{2}=x^{2}+C.}
Pythagorean_theorem_36,{\displaystyle y^{2}=x^{2}+a^{2}.}
Pythagorean_theorem_37,"{\displaystyle a,b,c}"
Pythagorean_theorem_38,{\displaystyle d}
Pythagorean_theorem_39,{\displaystyle c}
Pythagorean_theorem_40,{\displaystyle a^{2}+b^{2}=c^{2}}
Pythagorean_theorem_41,"{\displaystyle a,b}"
Pythagorean_theorem_42,{\displaystyle d}
Pythagorean_theorem_43,{\displaystyle {\frac {1}{a^{2}}}+{\frac {1}{b^{2}}}={\frac {1}{d^{2}}}}
Pythagorean_theorem_44,{\displaystyle {\frac {1}{(xz)^{2}}}+{\frac {1}{(yz)^{2}}}={\frac {1}{(xy)^{2}}}}
Pythagorean_theorem_45,{\displaystyle x^{2}+y^{2}=z^{2}}
Pythagorean_theorem_46,"{\displaystyle x,y,z}"
