name,latex
Quantum_mechanic_0,{\displaystyle i\hbar {\frac {d}{dt}}|\Psi \rangle ={\hat {H}}|\Psi \rangle }
Quantum_mechanic_1,{\displaystyle \psi }
Quantum_mechanic_2,{\displaystyle {\mathcal {H}}}
Quantum_mechanic_3,"{\displaystyle \langle \psi ,\psi \rangle =1}"
Quantum_mechanic_4,{\displaystyle \psi }
Quantum_mechanic_5,{\displaystyle e^{i\alpha }\psi }
Quantum_mechanic_6,{\displaystyle L^{2}(\mathbb {C} )}
Quantum_mechanic_7,{\displaystyle \mathbb {C} ^{2}}
Quantum_mechanic_8,{\displaystyle \lambda }
Quantum_mechanic_9,"{\displaystyle |\langle {\vec {\lambda }},\psi \rangle |^{2}}"
Quantum_mechanic_10,{\displaystyle {\vec {\lambda }}}
Quantum_mechanic_11,"{\displaystyle \langle \psi ,P_{\lambda }\psi \rangle }"
Quantum_mechanic_12,{\displaystyle P_{\lambda }}
Quantum_mechanic_13,{\displaystyle \lambda }
Quantum_mechanic_14,{\displaystyle {\vec {\lambda }}}
Quantum_mechanic_16,{\displaystyle i\hbar {\frac {\partial }{\partial t}}\psi (t)=H\psi (t).}
Quantum_mechanic_17,{\displaystyle H}
Quantum_mechanic_18,{\displaystyle \hbar }
Quantum_mechanic_19,{\displaystyle i\hbar }
Quantum_mechanic_20,{\displaystyle \psi (t)=e^{-iHt/\hbar }\psi (0).}
Quantum_mechanic_21,{\displaystyle U(t)=e^{-iHt/\hbar }}
Quantum_mechanic_22,{\displaystyle \psi (0)}
Quantum_mechanic_23,{\displaystyle \psi (t)}
Quantum_mechanic_24,{\displaystyle {\hat {X}}}
Quantum_mechanic_25,{\displaystyle {\hat {P}}}
Quantum_mechanic_26,"{\displaystyle [{\hat {X}},{\hat {P}}]=i\hbar .}"
Quantum_mechanic_27,{\displaystyle X}
Quantum_mechanic_28,{\displaystyle P}
Quantum_mechanic_29,"{\displaystyle \sigma _{X}={\textstyle {\sqrt {\left\langle X^{2}\right\rangle -\left\langle X\right\rangle ^{2}}}},}"
Quantum_mechanic_30,{\displaystyle \sigma _{P}={\sqrt {\left\langle P^{2}\right\rangle -\left\langle P\right\rangle ^{2}}}.}
Quantum_mechanic_31,{\displaystyle \sigma _{X}\sigma _{P}\geq {\frac {\hbar }{2}}.}
Quantum_mechanic_32,{\displaystyle A}
Quantum_mechanic_33,{\displaystyle B}
Quantum_mechanic_34,"{\displaystyle [A,B]=AB-BA,}"
Quantum_mechanic_35,"{\displaystyle \sigma _{A}\sigma _{B}\geq {\tfrac {1}{2}}\left|{\bigl \langle }[A,B]{\bigr \rangle }\right|.}"
Quantum_mechanic_36,{\displaystyle i/\hbar }
Quantum_mechanic_37,{\displaystyle p_{i}}
Quantum_mechanic_38,{\displaystyle -i\hbar {\frac {\partial }{\partial x}}}
Quantum_mechanic_39,{\displaystyle -\hbar ^{2}}
Quantum_mechanic_40,{\displaystyle {\mathcal {H}}_{A}}
Quantum_mechanic_41,{\displaystyle {\mathcal {H}}_{B}}
Quantum_mechanic_42,{\displaystyle {\mathcal {H}}_{AB}={\mathcal {H}}_{A}\otimes {\mathcal {H}}_{B}.}
Quantum_mechanic_43,{\displaystyle \psi _{A}}
Quantum_mechanic_44,{\displaystyle \psi _{B}}
Quantum_mechanic_45,{\displaystyle \psi _{A}\otimes \psi _{B}.}
Quantum_mechanic_46,{\displaystyle {\mathcal {H}}_{AB}}
Quantum_mechanic_47,{\displaystyle \psi _{A}}
Quantum_mechanic_48,{\displaystyle \phi _{A}}
Quantum_mechanic_49,{\displaystyle A}
Quantum_mechanic_50,{\displaystyle \psi _{B}}
Quantum_mechanic_51,{\displaystyle \phi _{B}}
Quantum_mechanic_52,{\displaystyle B}
Quantum_mechanic_53,{\displaystyle {\tfrac {1}{\sqrt {2}}}\left(\psi _{A}\otimes \psi _{B}+\phi _{A}\otimes \phi _{B}\right)}
Quantum_mechanic_54,{\displaystyle H}
Quantum_mechanic_55,{\displaystyle U(t)=e^{-iHt/\hbar }}
Quantum_mechanic_56,{\displaystyle t}
Quantum_mechanic_57,{\displaystyle U(t)}
Quantum_mechanic_58,{\displaystyle H}
Quantum_mechanic_59,{\displaystyle A}
Quantum_mechanic_60,{\displaystyle H}
