name,latex
Quantum_mechanics_0,{\displaystyle i\hbar {\frac {d}{dt}}|\Psi \rangle ={\hat {H}}|\Psi \rangle }
Quantum_mechanics_1,{\displaystyle \psi }
Quantum_mechanics_2,{\displaystyle {\mathcal {H}}}
Quantum_mechanics_3,"{\displaystyle \langle \psi ,\psi \rangle =1}"
Quantum_mechanics_4,{\displaystyle \psi }
Quantum_mechanics_5,{\displaystyle e^{i\alpha }\psi }
Quantum_mechanics_6,{\displaystyle L^{2}(\mathbb {C} )}
Quantum_mechanics_7,{\displaystyle \mathbb {C} ^{2}}
Quantum_mechanics_8,{\displaystyle \lambda }
Quantum_mechanics_9,"{\displaystyle |\langle {\vec {\lambda }},\psi \rangle |^{2}}"
Quantum_mechanics_10,{\displaystyle {\vec {\lambda }}}
Quantum_mechanics_11,"{\displaystyle \langle \psi ,P_{\lambda }\psi \rangle }"
Quantum_mechanics_12,{\displaystyle P_{\lambda }}
Quantum_mechanics_13,{\displaystyle \lambda }
Quantum_mechanics_14,{\displaystyle {\vec {\lambda }}}
Quantum_mechanics_16,{\displaystyle i\hbar {\frac {\partial }{\partial t}}\psi (t)=H\psi (t).}
Quantum_mechanics_17,{\displaystyle H}
Quantum_mechanics_18,{\displaystyle \hbar }
Quantum_mechanics_19,{\displaystyle i\hbar }
Quantum_mechanics_20,{\displaystyle \psi (t)=e^{-iHt/\hbar }\psi (0).}
Quantum_mechanics_21,{\displaystyle U(t)=e^{-iHt/\hbar }}
Quantum_mechanics_22,{\displaystyle \psi (0)}
Quantum_mechanics_23,{\displaystyle \psi (t)}
Quantum_mechanics_24,{\displaystyle {\hat {X}}}
Quantum_mechanics_25,{\displaystyle {\hat {P}}}
Quantum_mechanics_26,"{\displaystyle [{\hat {X}},{\hat {P}}]=i\hbar .}"
Quantum_mechanics_27,{\displaystyle X}
Quantum_mechanics_28,{\displaystyle P}
Quantum_mechanics_29,"{\displaystyle \sigma _{X}={\textstyle {\sqrt {\left\langle X^{2}\right\rangle -\left\langle X\right\rangle ^{2}}}},}"
Quantum_mechanics_30,{\displaystyle \sigma _{P}={\sqrt {\left\langle P^{2}\right\rangle -\left\langle P\right\rangle ^{2}}}.}
Quantum_mechanics_31,{\displaystyle \sigma _{X}\sigma _{P}\geq {\frac {\hbar }{2}}.}
Quantum_mechanics_32,{\displaystyle A}
Quantum_mechanics_33,{\displaystyle B}
Quantum_mechanics_34,"{\displaystyle [A,B]=AB-BA,}"
Quantum_mechanics_35,"{\displaystyle \sigma _{A}\sigma _{B}\geq {\tfrac {1}{2}}\left|{\bigl \langle }[A,B]{\bigr \rangle }\right|.}"
Quantum_mechanics_36,{\displaystyle i/\hbar }
Quantum_mechanics_37,{\displaystyle p_{i}}
Quantum_mechanics_38,{\displaystyle -i\hbar {\frac {\partial }{\partial x}}}
Quantum_mechanics_39,{\displaystyle -\hbar ^{2}}
Quantum_mechanics_40,{\displaystyle {\mathcal {H}}_{A}}
Quantum_mechanics_41,{\displaystyle {\mathcal {H}}_{B}}
Quantum_mechanics_42,{\displaystyle {\mathcal {H}}_{AB}={\mathcal {H}}_{A}\otimes {\mathcal {H}}_{B}.}
Quantum_mechanics_43,{\displaystyle \psi _{A}}
Quantum_mechanics_44,{\displaystyle \psi _{B}}
Quantum_mechanics_45,{\displaystyle \psi _{A}\otimes \psi _{B}.}
Quantum_mechanics_46,{\displaystyle {\mathcal {H}}_{AB}}
Quantum_mechanics_47,{\displaystyle \psi _{A}}
Quantum_mechanics_48,{\displaystyle \phi _{A}}
Quantum_mechanics_49,{\displaystyle A}
Quantum_mechanics_50,{\displaystyle \psi _{B}}
Quantum_mechanics_51,{\displaystyle \phi _{B}}
Quantum_mechanics_52,{\displaystyle B}
Quantum_mechanics_53,{\displaystyle {\tfrac {1}{\sqrt {2}}}\left(\psi _{A}\otimes \psi _{B}+\phi _{A}\otimes \phi _{B}\right)}
Quantum_mechanics_54,{\displaystyle H}
Quantum_mechanics_55,{\displaystyle U(t)=e^{-iHt/\hbar }}
Quantum_mechanics_56,{\displaystyle t}
Quantum_mechanics_57,{\displaystyle U(t)}
