name,latex
Rational_number_0,{\displaystyle \mathbb {Q} }
Rational_number_1,{\displaystyle \mathbb {R} }
Rational_number_2,{\displaystyle \mathbb {C} }
Rational_number_3,{\displaystyle \mathbb {Z} }
Rational_number_4,{\displaystyle \mathbb {N} }
Rational_number_5,{\displaystyle {\tfrac {p}{q}}}
Rational_number_6,{\displaystyle {\tfrac {3}{7}}}
Rational_number_7,{\displaystyle -5={\tfrac {-5}{1}}}
Rational_number_8,{\displaystyle \mathbb {Q} .}
Rational_number_9,{\displaystyle {\sqrt {2}}}
Rational_number_10,"{\displaystyle (p_{1},q_{1})\sim (p_{2},q_{2})\iff p_{1}q_{2}=p_{2}q_{1}.}"
Rational_number_11,{\displaystyle {\tfrac {p}{q}}}
Rational_number_12,{\displaystyle \mathbb {Q} }
Rational_number_13,{\displaystyle \mathbb {Q} }
Rational_number_14,{\displaystyle \mathbb {Q} }
Rational_number_15,"{\displaystyle {\tfrac {a}{b}},}"
Rational_number_16,"{\displaystyle {\tfrac {a}{b}},}"
Rational_number_17,"{\displaystyle {\tfrac {n}{1}},}"
Rational_number_18,{\displaystyle {\frac {a}{b}}={\frac {c}{d}}}
Rational_number_19,{\displaystyle ad=bc}
Rational_number_20,{\displaystyle {\frac {a}{b}}={\frac {c}{d}}}
Rational_number_21,{\displaystyle a=c}
Rational_number_22,{\displaystyle b=d}
Rational_number_23,{\displaystyle {\frac {a}{b}}<{\frac {c}{d}}}
Rational_number_24,{\displaystyle ad<bc.}
Rational_number_25,{\displaystyle {\frac {a}{b}}+{\frac {c}{d}}={\frac {ad+bc}{bd}}.}
Rational_number_26,{\displaystyle {\frac {a}{b}}-{\frac {c}{d}}={\frac {ad-bc}{bd}}.}
Rational_number_27,{\displaystyle {\frac {a}{b}}\cdot {\frac {c}{d}}={\frac {ac}{bd}}.}
Rational_number_28,{\displaystyle {\tfrac {a}{b}}}
Rational_number_29,{\displaystyle -\left({\frac {a}{b}}\right)={\frac {-a}{b}}.}
Rational_number_30,{\displaystyle {\tfrac {a}{b}}}
Rational_number_31,{\displaystyle {\tfrac {a}{b}}}
Rational_number_32,{\displaystyle \left({\frac {a}{b}}\right)^{-1}={\frac {b}{a}}.}
Rational_number_33,{\displaystyle {\tfrac {a}{b}}}
Rational_number_34,{\displaystyle {\tfrac {b}{a}}}
Rational_number_35,"{\displaystyle {\tfrac {-b}{-a}},}"
Rational_number_36,"{\displaystyle {\frac {\,{\dfrac {a}{b}}\,}{\dfrac {c}{d}}}={\frac {ad}{bc}}.}"
Rational_number_37,{\displaystyle {\tfrac {a}{b}}}
Rational_number_38,{\displaystyle {\tfrac {c}{d}}}
Rational_number_39,{\displaystyle {\tfrac {a}{b}}}
Rational_number_40,{\displaystyle {\tfrac {c}{d}}:}
Rational_number_41,{\displaystyle {\frac {ad}{bc}}={\frac {a}{b}}\cdot {\frac {d}{c}}.}
Rational_number_42,{\displaystyle \left({\frac {a}{b}}\right)^{n}={\frac {a^{n}}{b^{n}}}.}
Rational_number_43,{\displaystyle {\tfrac {a}{b}}.}
Rational_number_44,{\displaystyle \left({\frac {a}{b}}\right)^{0}=1.}
Rational_number_45,{\displaystyle \left({\frac {a}{b}}\right)^{-n}={\frac {b^{n}}{a^{n}}}.}
Rational_number_46,{\displaystyle {\tfrac {a}{b}}}
Rational_number_47,{\displaystyle {\tfrac {b^{n}}{a^{n}}}}
Rational_number_48,{\displaystyle {\tfrac {-b^{n}}{-a^{n}}}.}
Rational_number_49,"{\displaystyle a_{0}+{\cfrac {1}{a_{1}+{\cfrac {1}{a_{2}+{\cfrac {1}{\ddots +{\cfrac {1}{a_{n}}}}}}}}},}"
Rational_number_50,{\displaystyle {\tfrac {a}{b}}}
Rational_number_51,{\displaystyle {\tfrac {8}{3}}}
Rational_number_52,{\displaystyle 2{\tfrac {2}{3}}}
Rational_number_53,{\displaystyle 2.{\overline {6}}}
Rational_number_54,{\displaystyle 2.(6)}
Rational_number_55,{\displaystyle 2+{\tfrac {1}{1+{\tfrac {1}{2}}}}}
Rational_number_56,"{\displaystyle [2;1,2]}"
Rational_number_57,{\displaystyle 2+{\tfrac {1}{2}}+{\tfrac {1}{6}}}
Rational_number_58,{\displaystyle 2^{3}\times 3^{-1}}
Rational_number_59,{\displaystyle 3'6}
