name,latex
Real_number_0,{\displaystyle \mathbb {R} }
Real_number_1,"{\displaystyle a+b,}"
Real_number_2,"{\displaystyle ab,}"
Real_number_3,{\displaystyle a\cdot b}
Real_number_4,"{\displaystyle a\times b,}"
Real_number_5,{\displaystyle a+b=b+a}
Real_number_6,{\displaystyle ab=ba}
Real_number_7,{\displaystyle (a+b)+c=a+(b+c)}
Real_number_8,{\displaystyle (ab)c=a(bc)}
Real_number_9,{\displaystyle a(b+c)=ab+ac}
Real_number_10,{\displaystyle a+0=a}
Real_number_11,{\displaystyle a\times 1=a}
Real_number_12,{\displaystyle -a.}
Real_number_13,{\displaystyle a+(-a)=0}
Real_number_14,{\displaystyle a^{-1}}
Real_number_15,{\displaystyle {\frac {1}{a}}.}
Real_number_16,{\displaystyle aa^{-1}=1}
Real_number_17,{\displaystyle a<b.}
Real_number_18,"{\displaystyle a<b,}"
Real_number_19,{\displaystyle a=b}
Real_number_20,{\displaystyle b<a}
Real_number_21,{\displaystyle a<b}
Real_number_22,"{\displaystyle b<c,}"
Real_number_23,{\displaystyle a<c.}
Real_number_24,{\displaystyle a<b}
Real_number_25,{\displaystyle a+c<b+c}
Real_number_26,{\displaystyle 0<ab}
Real_number_27,{\displaystyle 0<a}
Real_number_28,{\displaystyle 0<b.}
Real_number_29,{\displaystyle 0\cdot a=0}
Real_number_30,{\displaystyle 0<1}
Real_number_31,{\displaystyle 0<a^{2}}
Real_number_32,{\displaystyle a-b=a+(-b).}
Real_number_34,{\displaystyle a/b}
Real_number_35,{\displaystyle {\frac {a}{b}}=ab^{-1}.}
Real_number_36,"{\displaystyle |a|,}"
Real_number_37,"{\displaystyle |a|=\max(a,-a).}"
Real_number_38,{\displaystyle a<b}
Real_number_39,"{\displaystyle a>b,}"
Real_number_40,{\displaystyle a>b}
Real_number_41,{\displaystyle b<a.}
Real_number_42,"{\displaystyle a\leq b,}"
Real_number_43,"{\displaystyle (a<b){\text{ or }}(a=b),}"
Real_number_44,{\displaystyle {\text{not }}(b<a).}
Real_number_45,"{\displaystyle a\geq b,}"
Real_number_46,"{\displaystyle (b<a){\text{ or }}(a=b),}"
Real_number_47,{\displaystyle {\text{not }}(a<b).}
Real_number_48,{\displaystyle -n}
Real_number_49,{\displaystyle n}
Real_number_50,{\displaystyle -n}
Real_number_51,{\displaystyle n.}
Real_number_52,{\displaystyle p/q}
Real_number_53,{\displaystyle q\neq 0}
Real_number_54,{\displaystyle \mathbb {Q} }
Real_number_55,{\displaystyle \mathbb {R} .}
Real_number_56,"{\displaystyle {\sqrt {2}},}"
Real_number_57,{\displaystyle \mathbb {N} }
Real_number_58,"{\displaystyle \mathbb {Z} ,}"
Real_number_59,{\displaystyle \mathbb {Z} }
Real_number_60,"{\displaystyle \mathbb {Q} ,}"
Real_number_61,{\displaystyle \mathbb {Q} }
Real_number_62,{\displaystyle \mathbb {R} .}
Real_number_63,{\displaystyle \mathbb {N} \subset \mathbb {Q} \subset \mathbb {R} .}
