name,latex
Repeating_decimal_0,{\displaystyle x=a.b{\overline {c}}}
Repeating_decimal_1,{\displaystyle a}
Repeating_decimal_2,{\displaystyle b}
Repeating_decimal_3,{\displaystyle c}
Repeating_decimal_4,{\displaystyle n=\lceil {\log _{10}b}\rceil }
Repeating_decimal_5,{\displaystyle b}
Repeating_decimal_6,{\displaystyle 10^{n}}
Repeating_decimal_7,{\displaystyle 10^{n}x=ab.{\bar {c}}.}
Repeating_decimal_8,{\displaystyle c=0}
Repeating_decimal_9,{\displaystyle c\neq 0}
Repeating_decimal_10,{\displaystyle k\in \mathbb {N} }
Repeating_decimal_11,{\displaystyle x=y.{\bar {c}}}
Repeating_decimal_12,{\displaystyle y\in \mathbb {Z} }
Repeating_decimal_13,"{\displaystyle c=d_{1}d_{2}\,...d_{k}}"
Repeating_decimal_14,{\displaystyle d_{i}}
Repeating_decimal_15,{\displaystyle x=y+\sum _{n=1}^{\infty }{\frac {c}{{(10^{k})}^{n}}}=y+\left(c\sum _{n=0}^{\infty }{\frac {1}{{(10^{k})}^{n}}}\right)-c.}
Repeating_decimal_16,{\displaystyle \textstyle \sum _{n=0}^{\infty }{\frac {1}{{(10^{k})}^{n}}}={\frac {1}{1-10^{-k}}}}
Repeating_decimal_17,{\displaystyle x=y-c+{\frac {10^{k}c}{10^{k}-1}}.}
Repeating_decimal_18,{\displaystyle x}
Repeating_decimal_19,{\displaystyle y-c}
Repeating_decimal_21,{\displaystyle x}
Repeating_decimal_22,"{\displaystyle \operatorname {ord} _{n}(b):=\min\{L\in \mathbb {N} \,\mid \,b^{L}\equiv 1{\bmod {n}}\}}"
Repeating_decimal_23,"{\displaystyle \lambda (n):=\max\{\operatorname {ord} _{n}(b)\,\mid \,\gcd(b,n)=1\}}"
Repeating_decimal_24,{\displaystyle {\frac {10^{11-1}-1}{11}}=909090909}
Repeating_decimal_25,{\displaystyle a^{m}\equiv 1{\pmod {n}}}
Repeating_decimal_26,{\displaystyle {\frac {1}{p^{k}q^{\ell }r^{m}\cdots }}}
Repeating_decimal_27,"{\displaystyle \operatorname {LCM} (T_{p^{k}},T_{q^{\ell }},T_{r^{m}},\ldots )}"
Repeating_decimal_28,"{\displaystyle {\frac {1}{2^{a}\cdot 5^{b}p^{k}q^{\ell }\cdots }}\,,}"
Repeating_decimal_29,"{\displaystyle {\frac {5^{a-b}}{10^{a}p^{k}q^{\ell }\cdots }}\,,}"
Repeating_decimal_30,"{\displaystyle {\frac {2^{b-a}}{10^{b}p^{k}q^{\ell }\cdots }}\,,}"
Repeating_decimal_31,"{\displaystyle {\frac {1}{10^{a}p^{k}q^{\ell }\cdots }}\,,}"
Repeating_decimal_32,{\displaystyle x}
Repeating_decimal_33,{\displaystyle =0.333333\ldots }
Repeating_decimal_34,{\displaystyle 10x}
Repeating_decimal_35,{\displaystyle =3.333333\ldots }
Repeating_decimal_36,{\displaystyle 9x}
Repeating_decimal_37,{\displaystyle =3}
Repeating_decimal_38,{\displaystyle x}
Repeating_decimal_39,{\displaystyle ={\frac {3}{9}}={\frac {1}{3}}}
Repeating_decimal_40,{\displaystyle x}
Repeating_decimal_41,{\displaystyle =\ \ \ \ 0.836363636\ldots }
Repeating_decimal_42,{\displaystyle 10x}
Repeating_decimal_43,{\displaystyle =\ \ \ \ 8.36363636\ldots }
Repeating_decimal_44,{\displaystyle 1000x}
Repeating_decimal_45,{\displaystyle =836.36363636\ldots }
Repeating_decimal_46,{\displaystyle 990x}
Repeating_decimal_47,{\displaystyle =828}
Repeating_decimal_48,{\displaystyle x}
Repeating_decimal_49,{\displaystyle ={\frac {828}{990}}={\frac {18\cdot 46}{18\cdot 55}}={\frac {46}{55}}}
Repeating_decimal_50,{\displaystyle {\begin{aligned}x&=0.000000100000010000001\ldots \\10^{7}x&=1.000000100000010000001\ldots \\\left(10^{7}-1\right)x=9999999x&=1\\x&={\frac {1}{10^{7}-1}}={\frac {1}{9999999}}\end{aligned}}}
